,R_x,f_1,f_2,Generation,Rank
0,8-14-5-2-1-0*2-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12-13*0-1-2-5-14-6*9-13-12-10-11-3-1-0*8-14-6-9-10-11-3-4*0-1-4-3-5-7-9-10-12-13*,10.12314635718891,235.0,428,0.0
1,8-14-5-2-1-0*2-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12-13*0-1-2-5-14-6*9-13-12-10-11-3-1-0*8-14-6-9-10-11-3-4*0-1-4-3-5-7-9-10*,10.12830431979368,228.0,424,0.0
2,8-14-5-2-1-0*2-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12*0-1-2-5-14-6*9-13-12-10-11-3-1-0*8-14-6-9-10-11-3-4*0-1-4-3-5-7-9-10*,10.131528046421664,226.0,410,0.0
3,8-14-5-2-1-0*2-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12-13*0-1-2-5-14-6*9-13-12-10-11-3-1-0*8-14-6-9-10-11-3-4*0-1-4-3-5-7-9*,10.136041263700838,223.0,403,0.0
4,8-14-5-2-1-0*2-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12*0-1-2-5-14-6*9-13-12-10-11-3-1-0*8-14-6-9-10-11-3-4*0-1-4-3-5-7-9*,10.13926499032882,221.0,375,0.0
5,0-1-2-5-7-9-10-12*8-14-5-2-1-0*0-1-2-5-14-6*0-1-4-3-5-7-9-13*9-13-12-10-11-3-1-0*2-1-4-3-5-7-14-6*8-14-6-9-10-11*,10.14635718891038,215.0,373,0.0
1,8-14-6-9-10-11-3-4*4-3-5-7-9-13-12-10-11*0-1-2-5-14-6*8-14-5-3-1-0*0-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12-13*2-1-3-4*,10.154738878143132,205.0,359,0.0
8,0-1-2-5-7-9-10-12*8-14-5-2-1*0-1-2-5-14-6*0-1-4-3-5-7-9-10*9-13-12-10-11-3-1-0*2-1-4-3-5-7-14-6*8-14-6-9-10-11*,10.1605415860735,204.0,396,0.0
9,0-1-2-5-7-9-10-12*8-14-5-3*0-1-4-3-5-7-9-10*0-1-2-5-14-6*9-13-12-10-11-3-1-0*2-1-4-3-5-7-14-6*8-14-6-9-10-11*,10.168923275306254,203.0,329,0.0
10,0-1-2-5-7-9-10-12*8-14-5-2*0-1-2-5-14-6*0-1-4-3-5-7-9-10*9-13-12-10-11-3-1-0*2-1-4-3-5-7-14-6*8-14-6-9-10-11*,10.170212765957446,202.0,366,0.0
11,0-1-2-5-7-9-10-12*8-14-5-2-1*0-1-2-5-14-6*0-1-4-3-5-7-9*9-13-12-10-11-3-1-0*2-1-4-3-5-7-14-6*8-14-6-9-10-11*,10.1785944551902,199.0,344,0.0
12,0-1-2-5-7-9-10-12*8-14-5-3*0-1-4-3-5-7-9*0-1-2-5-14-6*9-13-12-10-11-3-1-0*2-1-4-3-5-7-14-6*8-14-6-9-10-11*,10.186976144422951,198.0,349,0.0
13,0-1-2-5-7-9-10-12*8-14-5-2*0-1-2-5-14-6*0-1-4-3-5-7-9*9-13-12-10-11-3-1-0*2-1-4-3-5-7-14-6*8-14-6-9-10-11*,10.188265635074146,197.0,352,0.0
14,0-1-2-5-7-9-10-12*8-14-5-7*0-1-4-3-5-7-9*0-1-2-5-14-6*9-13-12-10-11-3-1-0*2-1-4-3-5-7-14-6*8-14-6-9-10-11*,10.194068343004512,196.0,421,0.0
15,0-1-2-5-7-9-10-12*8-14-5*0-1-4-3-5-7-9*0-1-2-5-14-6*9-13-12-10-11-3-1-0*2-1-4-3-5-7-14-6*8-14-6-9-10-11*,10.19793681495809,194.0,371,0.0
2,8-14-6-9-10-11-3-4*4-3-5-7-9-13-12*0-1-2-5-14-6*8-14-5-3-1-0*0-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12-13*2-1-3-4*,10.19987105093488,190.0,314,0.0
3,8-14-6-9-10-11-3-4*4-3-5-7-9-13-12*0-1-2-5-14-6*8-14-5-3-1-0*0-1-4-3-5-7-14-6*0-1-2-5-7-9-10-12*2-1-3-4*,10.21083172147002,188.0,296,0.0
17,0-1-2-5-7-9-10-12-13*0-1-3-4*0-1-2-5-14-6*2-1-4-3-5-7-14-6*4-3-5-7-9-13-12-10-11*3-5-2*8-14-6-9-10-11-3-4*,10.213410702772403,186.0,297,0.0
18,0-1-2-5-7-9-10-12*0-1-3-4*0-1-2-5-14-6*2-1-4-3-5-7-14-6*4-3-5-7-9-13-12-10-11*3-5-2*8-14-6-9-10-11-3-4*,10.214700193423598,184.0,296,0.0
2,8-14-6-9-10-11*4-3-5-7-14-6*0-1-2-5-14-6*0-1-3-4*13-12-10-9-7-5-2-1-0*12-13-9-7-5-3-4*12-10-11-3-4-1-2*,10.217279174725984,179.0,283,0.0
3,8-14-6-9-10-11*4-3-5-7-14-6*0-1-2-5-14-6*0-1-3-4*12-10-9-7-5-2-1-0*12-13-9-7-5-3-4*12-10-11-3-4-1-2*,10.228239845261122,177.0,232,0.0
4,8-14-6-9-10-11*3-5-7-14-6*0-1-2-5-14-6*0-1-3-4*12-10-9-7-5-2-1-0*12-13-9-7-5-3-4*13-12-10-11-3-4-1-2*,10.236621534493874,175.0,267,0.0
5,8-14-6-9-10-11*3-5-7-14-6*0-1-2-5-14-6*0-1-3-4*12-10-9-7-5-2-1-0*13-9-7-5-3-4*13-12-10-11-3-4-1-2*,10.238555770470663,173.0,289,0.0
23,0-1-3-4*0-1-2-5-7-9-10-12*2-1-4-3-5-7-14-6*3-1-2*8-14-6-9-10-11-3-4*4-3-5-7-9-13-12-10*0-1-2-5-14-6*,10.254674403610574,172.0,389,0.0
14,4-3-5-7-9-13-12*0-1-3-4*8-14-6-9-10-11-3-4*0-1-2-5-14-6*0-1-2-5-7-9-10-12-13*6-14-7-5-3-4*2-1-3-4*,10.263700838168925,165.0,416,0.0
15,4-3-5-7-9-13-12*0-1-3-4*8-14-6-9-10-11-3-4*0-1-2-5-14-6*0-1-2-5-7-9-10-12-13*6-14-7-5-3-4*2-1-4*,10.26627981947131,164.0,353,0.0
16,4-3-5-7-9-13-12*0-1-3-4*8-14-6-9-10-11-3-4*0-1-2-5-14-6*0-1-2-5-7-9-10-12*6-14-7-5-3-4*2-1-3-4*,10.274661508704062,163.0,367,0.0
17,4-3-5-7-9-13-12*0-1-3-4*8-14-6-9-10-11-3-4*0-1-2-5-14-6*0-1-2-5-7-9-10-12*6-14-7-5-3-4*2-1-4*,10.277240490006449,162.0,345,0.0
18,4-3-5-7-9-13-12*0-1-3-4*8-14-6-9-10-11-3-4*0-1-2-5-7-9-10-12-13*0-1-2-5-14-6*6-14-7-5-3*2-1-3-4*,10.281753707285622,161.0,406,0.0
11,8-14-6-9-10*2-1-4*0-1-2-5-7-9-10-12*0-1-3-4*4-3-5-7-9-13-12*0-1-2-5-14-6*6-14-7-5-3-11-10-9*,10.292069632495163,159.0,138,0.0
20,4-3-5-7-9-13-12*0-1-3-4*8-14-6-9-10-11-3-4*0-1-2-5-7-9-10-12*0-1-2-5-14-6*6-14-7-5-3*2-1-4*,10.295293359123146,158.0,376,0.0
21,4-3-5-7-9-13-12*0-1-3-4*8-14-6-9-10-11-3*0-1-2-5-14-6*0-1-2-5-7-9-10-12-13*6-14-7-5-3*2-1-3-4*,10.30174081237911,157.0,391,0.0
22,4-3-5-7-9-13-12*0-1-3-4*8-14-6-9-10-11-3*0-1-2-5-14-6*0-1-2-5-7-9-10-12*6-14-7-5-3*2-1-3-4*,10.31270148291425,155.0,377,0.0
23,4-3-5-7-9-13-12*8-14-6-9-10-11-3*4-1-2*0-1-2-5-7-9-10-12*0-1-2-5-14-6*3-5-7-14-6*0-1-3-4*,10.315280464216634,154.0,391,0.0
33,8-14-6-9-10-11-3-4*0-1-2-5-14-6*4-3-1-2*7-14-6*4-3-5-7-9-13-12*0-1-3-4*0-1-2-5-7-9-10-12*,10.326241134751774,153.0,376,0.0
34,8-14-6-9-10-11-3-4*0-1-2-5-14-6*4-1-2*7-14-6*4-3-5-7-9-13-12*0-1-3-4*0-1-2-5-7-9-10-12*,10.32882011605416,152.0,354,0.0
24,0-1-2-5-7-9-10-12-13*5-7*4-3-11-10-9-6-14-8*0-1-3-5-14-6*4-1-2-5-14-6*4-3-5-7-9-13-12*7-14-6*,10.335267569310124,151.0,95,0.0
35,8-14-6-9-10-11-3*0-1-2-5-14-6*4-1-2*7-14-6*4-3-5-7-9-13-12*0-1-3-4*0-1-2-5-7-9-10-12-13*,10.337846550612507,150.0,396,0.0
16,6-14-7*12-13-9-7-5-3-4*12-13*8-14-6-9-10-11-3-4*0-1-2-5-7-9-10-12*6-14-5-2-1-4*0-1-3-5-14-6*,10.346228239845262,149.0,379,0.0
37,8-14-6-9-10-11-3*0-1-2-5-14-6*4-1-2*7-14-6*4-3-5-7-9-13-12*0-1-3-4*0-1-2-5-7-9-10-12*,10.348807221147649,148.0,381,0.0
28,0-1-2-5-7-9-10-12-13*5-7*3-11-10-9-6-14-8*0-1-3-5-14-6*4-1-2-5-14-6*4-3-5-7-9-13-12*7-14-6*,10.35525467440361,147.0,91,0.0
19,6-14-7*12-13*4-3-5-7-9-13*8-14-6-9-10-11-3-1*0-1-2-5-7-9-10-12*6-14-5-2-1-4*0-1-3-5-14-6*,10.362991618310769,146.0,307,0.0
20,6-14-7*12-13-9-7-5-3-4*12-13*8-14-6-9-10-11-3*0-1-2-5-7-9-10-12*6-14-5-2-1-4*0-1-3-5-14-6*,10.36621534493875,145.0,313,0.0
21,6-14-7*12-13*4-3-5-7-9-13*8-14-6-9-10-11-3*0-1-2-5-7-9-10-12*6-14-5-2-1-4*0-1-3-5-14-6*,10.375886524822697,143.0,392,0.0
28,7-5*3-5-7-14-6*0-1-2-5-7-9-10-12*8-14-6-9-10-11-3-1-0*4-3-5-7-9-13*12-13*4-1-2-5-14-6*,10.395873629916183,142.0,178,0.0
23,4-3-1-0*0-1-2-5-7-9-10-12*8-14-6-9-10-11-3*14-7*12-13-9-7-5-3-4*7-14-6*4-3-1-2-5-14-6*,10.401031592520956,141.0,223,0.0
32,4-3-5-7-9-13-12*4-1-2*14-7*7-14-6*1-3-11-10-9-6-14-8*0-1-2-5-14-6*0-1-2-5-7-9-10-12-13*,10.404900064474532,140.0,129,0.0
33,4-3-5-7-9-13-12*4-1-2*14-7*7-14-6*1-3-11-10-9-6-14-8*0-1-2-5-14-6*0-1-2-5-7-9-10-12*,10.415860735009671,138.0,66,0.0
34,5-7*4-1-2-5-14-6*4-3-5-7-9-13*13-12*6-14-7*0-1-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*,10.429400386847195,136.0,171,0.0
24,6-14-7*4-3-5-7-9-13*4-1-2-5-14-6*8-14-6-9-10-11-3-1*13-12*3-5-14-6*0-1-2-5-7-9-10-12*,10.442295293359123,135.0,343,0.0
32,7-5*3-5-7-14-6*0-1-2-5-7-9-10-12*8-14-6-9-10-11-3-1*4-3-5-7-9-13*12-13*4-1-2-5-14-6*,10.450676982591876,134.0,127,0.0
42,11-3-1-2-5-14-6*8-14-6-9-10-11*3-1*0-1-2-5-7-9-10-12-13*4-3-5-7-9-13-12*4-1-2*7-14-6*,10.470019342359768,133.0,254,0.0
36,5-7*4-1-2-5-14-6*4-3-5-7-9-13*13-12*6-14-7*1-3-11-10-9-6-14-8*0-1-2-5-7-9-10-12-13*,10.47324306898775,130.0,181,0.0
27,4-1-2-5-14-6*6-14-7*4-3-5-7-9-13*12-13*5-7*8-14-6-9-10-11-3-1*0-1-2-5-7-9-10-12*,10.484203739522888,128.0,324,0.0
28,0-1-2-5-7-9-13-12*6-14-7*10-12*1-3-11*8-14-6-9-10-11*4-1-2-5-14-6*4-3-5-7-9-10*,10.508059316569955,126.0,427,0.0
29,0-1-2-5-7-9-13-12*6-14-7*10-12*2-1-3-11*8-14-6-9*4-3-5-7-9-10-11*4-1-2-5-14-6*,10.540296582849775,123.0,373,0.0
30,0-1-2-5-7-9-13-12*6-14-7*10-12*1-3-11*8-14-6-9*4-3-5-7-9-10-11*4-1-2-5-14-6*,10.5531914893617,121.0,304,0.0
31,0-1-2-5-7-9-13-12*14-7*10-12*1-3-11*8-14-6-9*4-1-2-5-14-6*4-3-5-7-9-10-11*,10.58542875564152,119.0,307,0.0
32,0-1-2-5-7-9-13-12*6-14-7*10-12*1-3*8-14-6-9*4-3-5-7-9-10-11*6-14-5-2-1-3-11*,10.655705996131529,118.0,334,0.0
33,0-1-2-5-7-9-13-12*6-14-7*10-12*2-1-3-11*8-14-6-9*4-3-5-7-9-10-11*1-2-5-14-6*,10.67311411992263,117.0,394,0.0
34,0-1-2-5-7-9-13-12*14-7*10-12*1-3*8-14-6-9*4-3-5-7-9-10-11*6-14-5-2-1-3-11*,10.687943262411348,116.0,349,0.0
35,0-1-2-5-7-9-13-12*6-14-7*10-12*1-3-11*8-14-6-9*4-3-5-7-9-10-11*1-2-5-14-6*,10.701482914248873,115.0,303,0.0
36,0-1-2-5-7-9-13-12*14-7*10-12*1-3-11*8-14-6-9*1-2-5-14-6*4-3-5-7-9-10-11*,10.73372018052869,113.0,313,0.0
37,0-1-2-5-7-9-13-12*6-14-7*10-12*1-3*8-14-6-9*4-3-5-7-9-10-11*4-1-2-5-14-6*,10.75564152159897,111.0,297,0.0
38,0-1-2-5-7-9-13-12*14-7*10-12*1-3*8-14-6-9*4-3-5-7-9-10-11*4-1-2-5-14-6*,10.787878787878787,109.0,288,0.0
61,0-1-2-5-7-14-6-9*5-14-8*5-7*11-3-1*2-1-4*4-3-5-7-9-10-11*9-13-12-10*,10.836234687298518,108.0,197,0.0
