,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:49:28.199156,0.8476822535507801
1,Run_10,0 days 00:47:13.897227,0.8469111253445964
2,Run_11,0 days 00:52:58.860958,0.8421431423472876
3,Run_12,0 days 01:12:36.200788,0.8449802360132153
4,Run_13,0 days 00:54:37.683665,0.845407367469085
5,Run_14,0 days 01:14:54.542761,0.8483657085544148
6,Run_15,0 days 01:03:58.406282,0.8497347558180992
7,Run_16,0 days 00:52:36.277590,0.8449548579970287
8,Run_17,0 days 01:20:06.208310,0.848044508359749
9,Run_18,0 days 00:53:33.088233,0.8449300130257906
10,Run_19,0 days 00:57:33.369778,0.8446320002864026
11,Run_2,0 days 00:34:04.441114,0.8446991461818002
12,Run_20,0 days 00:52:22.605311,0.8467938300727428
13,Run_3,0 days 00:46:39.105750,0.8446328201602995
14,Run_4,0 days 01:39:21.695826,0.8515598738017606
15,Run_5,0 days 01:22:55.318978,0.8509889598166959
16,Run_6,0 days 01:05:46.227898,0.847041282229573
17,Run_7,0 days 01:11:21.125106,0.8504057045719093
18,Run_8,0 days 01:06:54.103687,0.8472862976094935
19,Run_9,0 days 00:53:05.167028,0.8445281808985197
20,Average,0 days 01:01:36.326272300,0.8467861032054621
