,f_1,f_2,R_x
21,10.353965183752418,188,11-10-12-13-9-7-14-8*0-1-2-5-7-9-10-12*0-1-2-5-7-14-6*4-1-2-5-14-7*9-7-5-3-4-1-0*0-1-3-11-10-9-6-14*
20,10.356544165054803,186,11-10-12-13-9-7-14-8*0-1-2-5-7-9-10-12*0-1-2-5-7-14-6*4-1-2-5-14-7*9-7-5-3-4-1-0*0-1-3-11-10-9-6*
23,10.375886524822697,185,10-12-13-9-7-14-8*0-1-2-5-7-9-10-12*4-1-2-5-7-14-6*4-1-2-5-14-8*10-9-7-5-3-4-1-0*0-1-3-11-10-9-6*
22,10.37846550612508,179,10-12-13-9-7-14-8*0-1-2-5-7-9-10-12*4-1-2-5-7-14-6*1-2-5-14-8*10-9-7-5-3-4-1-0*0-1-3-11-10-9-6*
26,10.379110251450676,174,11-10-12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*0-1-2-5-14-6*12-9-7-5-3-4-1-2*5-2-1-3-11-10-9-6*
24,10.381044487427468,169,11-10-12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*0-1-2-5-14-6*13-9-7-5-3-4-1-2*2-1-3-11-10-9-6*
27,10.388781431334625,164,11-10-12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*0-1-2-5-14-6*9-7-5-3-4-1-2*5-2-1-3-11-10-9-6*
25,10.390715667311412,161,11-10-12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*0-1-2-5-14-6*9-7-5-3-4-1-2*2-1-3-11-10-9-6*
30,10.40361057382334,152,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*0-1-2-5-14-6*9-7-5-3-4-1-2*0-1-3-11-10-9-6*
28,10.43584784010316,150,12-13-9-7-14-8*0-1-2-5-7-9-10-12*14-6*0-1-2-5-14-6*9-7-5-3-4-1-2*0-1-3-11-10-9-6*
52,10.442295293359123,148,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*4-3-1-2-5-14-6*10-9-7-5-3-4*0-1-3-11-10-9-6*
48,10.457769181173436,145,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*4-3-1-2-5-14-6*9-7-5-3-4*0-1-3-11-10-9-6-14*
31,10.458413926499032,144,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*0-1-2-5-14-6*9-7-5-3-4-1-2*1-3-11-10-9-6*
47,10.460348162475825,143,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*4-3-1-2-5-14-6*9-7-5-3-4*0-1-3-11-10-9-6*
29,10.488072211476467,142,12-13-9-7-14-8*0-1-2-5-7-9-10-12*14-6*1-2-5-14-6*9-7-5-3-4-1-2*0-1-3-11-10-9-6*
49,10.49258542875564,141,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14*4-3-1-2-5-14-6*9-7-5-3-4*0-1-3-11-10-9-6*
51,10.497098646034816,140,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*4-3-1-2-5-14-6*10-9-7-5-3-4*1-3-11-10-9-6*
50,10.508704061895552,137,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*4-3-1-2-5-14-6*9-7-5-3-4*2-1-3-11-10-9-6*
32,10.51063829787234,136,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*1-2-5-14-6*9-7-5-3-4-1-2*1-3-11-10-9-6*
46,10.515151515151516,135,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*4-3-1-2-5-14-6*9-7-5-3-4*1-3-11-10-9-6*
41,10.535138620245004,134,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*4-3-1-2-5-14-6*9-7-5-3-4*3-11-10-9-6-14*
43,10.537717601547389,132,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*4-3-1-2-5-14-6*9-7-5-3-4*3-11-10-9-6*
40,10.569954867827208,130,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14*4-3-1-2-5-14-6*9-7-5-3-4*3-11-10-9-6*
44,10.632495164410058,128,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14-6*11-3-1-2-5-14-6*9-7-5-3-4*11-10-9-6*
39,10.664732430689876,126,12-13-9-7-14-8*0-1-2-5-7-9-10-12*7-14*11-3-1-2-5-14-6*9-7-5-3-4*11-10-9-6*
8,10.729851708575112,124,11-10-9-7-5-3-4-1*9-7-5-2-1-0*8-14-6-9-13-12-10*11-3-1-0*6-14-5*6-14-7*
54,10.738233397807866,123,0-1-2-5-7-14-6-9*3-5-14-8*4-3-5-7-9-10-12-13*4-1*13-9-10-11-3-1-0*14-7*
53,10.757575757575758,119,0-1-2-5-7-14-6-9*5-14-8*4-3-5-7-9-10-12-13*4-1*13-9-10-11-3-1-0*14-7*
51,10.768536428110895,115,0-1-2-5-7-14-6-9*5-14-8*4-3-5-7-9-10-12-13*4-1-2*13-9-10-11-3-1-2*14-7*
50,10.781431334622823,113,0-1-2-5-7-14-6-9*5-14-8*4-3-5-7-9-10-12-13*4-1-2*13-9-10-11-3-1*14-7*
46,10.798839458413926,112,0-1-2-5-7-14-6-9*7-14-8*4-3-5-7-9-10-12-13*4-1-2*13-9-10-11-3-1*14-7*
47,10.820116054158609,111,0-1-2-5-7-14-6-9*5-14-8*4-3-5-7-9-10-12-13*4-1*13-9-10-11-3-1*14-7*
15,10.836879432624114,110,11-10-9-7-5-3-4*9-6-14-7-5-2-1-0*9-13-12-10*4-3-1-2*11-3-5-14-8*6-14*
20,10.852353320438429,109,11-10-9-7-5-3-4-1*9-6-14-7-5-2-1-0*9-13-12-10*11-3-1*5-14-8*6-14-5*
22,10.862024500322372,108,11-10-9-7-5-3-4-1*9-6-14-7-5-2-1-0*9-13-12-10*11-3-1-2*5-14-8*6-14*
21,10.8749194068343,106,11-10-9-7-5-3-4-1*9-6-14-7-5-2-1-0*9-13-12-10*11-3-1*5-14-8*6-14*
44,10.888459058671824,105,0-1-2-5-7-14-6-9*5-14-8*4-3-5-7-9-10-12-13*4-1-2*9-10-11-3-1*14-7*
38,10.905867182462927,104,0-1-2-5-7-14-6-9*7-14-8*4-3-5-7-9-10-12-13*4-1-2*9-10-11-3-1*14-7*
45,10.927143778207608,103,0-1-2-5-7-14-6-9*5-14-8*4-3-5-7-9-10-12-13*4-1*9-10-11-3-1*14-7*
34,10.944551901998713,102,0-1-2-5-7-14-6-9*7-14-8*4-3-5-7-9-10-12-13*4-1*9-10-11-3-1*14-7*
35,10.983236621534497,100,0-1-2-5-7-14-6-9*14-8*4-3-5-7-9-10-12-13*4-1*9-10-11-3-1*14-7*
27,11.00322372662798,99,11-10-9-7-5-3-4*9-6-14-7-5-2-1-0*9-13-12-10*11-3-1-2*14-8*6-14*
