,f_1,f_2,Routes
0,37.534220759330694,795,48-66-19-22-33-20-10-16-26-62-24-21-63-6-35-57*15-49-26-8-51-58-45-36-54-65*15-49-26-16-55-20-33-22-19-66*5-54-19-22-33-20-55-16-1-31*53-4-7-46-40-47-6-56-28-10-59-11-9-17-20-33-22-38-54-5-37-67-27-41-12-25-34-35-64-52*5-54-36-45-34-51-8-26-1-31*39-18-54-36-45-58-51-8-26-62*5-54-36-45-58-51-8-26-49-42*5-54-38-22-33-20-55-16-1-31*42-49-26-16-55-20-33-22-19-66-69-23-3-29*39-18-54-36-45-58-51-8-26-49-9-17-44-14-61-43-13-50-2-0*30-26-16-10-20-33-22-19-66-48*60-17-59-68-11-15-49-26-8-51-34-45-36-54-18-39*48-66-38-22-33-20-10-16-26-62*31-1-26-8-51-34-45-36-54-32*
1,41.04854192516756,819,5-54-19-22-33-20-55-16-1-31*39-18-54-36-45-58-51-8-26-62-21-6-47-53-4-12-25-57-35*5-54-36-45-58-51-8-26-49-42*59-68-9-31-1-16-10-20-33-22-38-54-32-37*39-18-54-36-41-51-8-26-49-42*28-56-6-21-24-30-26-16-10-20-33-22-19-66-48-69-0-50-13-43*42-49-26-16-55-20-33-22-19-66-3-29*7-46-40-47-6-63-30-26-8-51-34-45-36-54-18-39*5-54-36-45-34-51-8-26-1-31-9-17-20-52-64*27-67-5-54-36-45-34-51-8-26-49-42*30-26-8-51-58-45-36-54-18-39*11-15-49-26-8-51-41-36-54-18-39*5-54-38-22-33-20-55-16-1-31*5-54-36-45-34-51-8-26-1-31-9-17-44-60-61-14-2-23*42-49-26-8-51-34-45-36-54-65*
2,34.80602958202028,816,5-54-36-45-34-51-8-26-49-42*39-18-54-36-45-34-51-8-26-49-9-17-61-43-13*39-18-54-36-45-58-51-8-26-49-42*15-49-26-8-51-34-45-36-54-32*15-49-26-16-10-20-33-22-19-66-69-23-50-17-44-60-14*42-49-26-8-51-58-45-36-54-65-19-29*42-49-26-16-55-20-33-22-38-66-3-0-2*5-54-36-45-34-51-8-26-49-15*18-54-36-45-58-51-8-26-49-42*5-54-19-22-33-20-10-16-1-31*11-59-17-20-33-22-19-54-5-37-67-27-41-25-4-53-40-47-6-35-57-58-64-52*5-54-19-22-33-20-55-16-1-31*68-11-59-17-20-33-22-38-54-5-37*39-18-54-36-45-58-51-8-26-62-21-6-56-28*46-40-12-4-7-47-6-63-24-30-26-8-51-34-45-36-54-18-39-48*
3,35.45710399393615,810,28-56-51-34-25-4-53-7-47-6-63-30-26-16-55-20-33-22-38-66-48-69-0-2-50-13*31-1-16-55-20-33-22-19-54-32*5-54-36-45-58-51-8-26-49-15-42-24*12-41-35-64-52-10-59-11-15-49-26-8-51-58-45-36-54-32*15-49-26-16-55-20-33-22-19-66-29*65-5-54-38-22-33-20-10-16-1-31*23-3-48-66-38-22-33-20-10-16-26-62-21-6-47-40-46*11-59-17-20-33-22-19-54-5-37*5-54-19-22-33-20-55-16-1-31*15-49-26-16-55-20-33-22-38-66*31-1-16-55-20-33-22-38-18-32*57-41-27-67-37-5-54-38-22-33-20-17-59-68*15-49-26-8-51-58-45-36-54-18*31-1-26-8-51-34-45-36-54-32*39-18-54-36-45-58-51-8-26-49-9-17-50-43-61-14-44-60*
4,40.57547879989824,815,15-49-26-8-51-58-45-36-54-32*47-7-4-53-46-40-12-25-57-35-6-21-30-26-16-55-20-33-22-38-66-48*15-49-26-8-51-58-45-36-54-18-39*15-49-26-8-51-58-45-36-54-18-39*42-49-26-16-55-20-33-22-19-66-69-29*68-11-59-17-20-33-22-19-54-5-37-67-27-41-51-8-28-56*39-18-54-36-45-34-51-8-26-49-42*63-30-26-16-10-20-33-22-19-66-48-3-0-23-2*42-49-26-8-51-34-45-36-54-65*5-54-38-22-33-20-10-16-1-31-9-17-60-61-43-13-50*15-49-26-8-51-58-45-36-54-65*39-18-54-36-41-51-8-26-49-42-24*5-54-36-45-34-51-8-26-1-31-11-59-10-52-64*39-18-54-36-45-58-51-8-26-49-62*14-44-17-9-31-1-16-55-20-33-22-19-54-32*
5,37.11495350877648,817,31-1-16-55-20-33-22-19-18-32*59-68-11-15-49-26-8-51-58-45-36-54-65-37*42-49-26-16-55-20-33-22-38-66*42-49-26-16-10-20-33-22-38-66*32-54-36-45-58-51-8-26-49-42*15-49-26-8-51-34-45-36-54-18-67-27-12-41-58-64-52-20-13*5-54-38-22-33-20-10-16-1-31-9-17-43-50-23-3-0*28-56-6-63-24-42-49-26-8-51-34-45-36-54-65*15-49-26-8-51-34-45-36-54-18-69*48-66-19-22-33-20-10-16-26-62-21-6-47-40-4-53-7-46*21-24-63-6-35-34-45-36-38-66-48-29-23-2-14-60-61-44*31-1-16-10-20-33-22-19-18-32-54-36-41-57-25*15-49-26-16-55-20-33-22-38-66*30-26-16-10-20-33-22-19-66-48*15-49-26-8-51-41-36-54-18-39*
6,36.32943094327084,833,39-18-54-36-45-34-51-8-26-49-42*39-18-54-36-45-34-51-8-26-62*31-1-16-10-20-33-22-19-18-32*39-18-54-36-45-58-51-8-26-62*23-2-0-3-48-66-38-22-33-20-55-16-26-62-21-6-35-64*41-12-40-4-25-57-35-6-21-30-26-8-51-34-45-36-54-18-39*14-44-60-17-9-31-1-16-10-20-33-22-38-18-32*42-49-26-16-10-20-33-22-38-66-69*5-54-36-45-34-51-8-26-1-31*37-5-54-36-45-58-51-8-26-49-42*68-9-31-1-26-8-51-58-45-36-54-32*24-63-6-35-34-45-36-19-66-48-29*42-49-26-8-51-34-45-36-54-65-67-27-12-4-53-46-7-47-6-56-28*13-50-43-61-17-55-52-10-59-11-15-49-26-8-51-58-45-36-54-32*15-49-26-16-10-20-33-22-19-66*
7,40.81472040370269,796,37-5-54-19-22-33-20-17-9-68-59-10-52-8-56-51-57-35-64*31-1-16-55-20-33-22-38-18-32*28-10-59-11-9-17-20-33-22-19-54-5-37*60-14-44-61-43-17-9-31-1-16-10-20-33-22-19-18-32*42-49-26-16-10-20-33-22-19-66-29*11-59-17-20-33-22-19-54-5-37-67-27*31-1-16-10-20-33-22-38-54-32*13-50-2-23-3-48-66-19-22-33-20-55-16-26-62-30-63-24*15-49-26-8-51-58-45-36-54-65*32-54-36-45-34-51-8-26-49-42*0-69-18-54-36-45-34-51-8-26-49-42*5-54-36-45-34-51-8-26-49-15*5-54-38-22-33-20-10-16-1-31*15-49-26-8-51-41-36-54-18-39*39-18-54-36-45-58-51-8-26-62-21-6-47-53-4-25-12-40-7-46*
8,42.06684768218797,841,39-18-54-36-45-58-51-8-26-49-42*11-9-17-20-33-22-19-54-5-37-18-69-0-3*15-49-26-8-51-34-45-36-54-65-19-29-23-50-13*46-7-40-12-41-35-57-25-4-53-47-6-63-30-26-8-51-34-45-36-54-18-39*32-54-36-45-34-51-8-26-49-42-62*39-18-54-36-45-58-51-8-26-49-42-24-21*31-1-16-10-20-33-22-38-18-32*11-9-17-20-33-22-38-54-5-37*66-48-69-23-2-50-43-17-9-31-1-26-8-51-58-45-36-54-32*5-54-19-22-33-20-10-16-1-31-9-17-61-14-60-44*11-59-17-20-33-22-19-54-5-37-67-27*37-5-54-19-22-33-20-17-9-68-59-10-28-8-52-64-51-56*31-1-16-55-20-33-22-19-54-32*15-49-26-8-51-58-45-36-54-32*37-5-54-38-22-33-20-17-59-68*
9,37.611441357720246,795,46-53-47-6-63-24-30-26-8-51-34-45-36-54-18-39*15-49-26-8-51-58-45-36-54-65*42-49-26-8-51-58-45-36-54-65-67-27-12-40-47-53-7-4-25*42-49-26-16-10-20-33-22-38-66*15-49-26-8-51-58-45-36-54-32*39-18-54-36-45-34-51-8-26-49*37-5-54-38-22-33-20-17-9-68-59-10-28-56*13-43-61-60-44-17-50-0-69-48-66-38-22-33-20-10-16-26-62-21*52-64-35-57-41-27-67-5-54-19-22-33-20-10-16-1-31-11*14-2-0-3-29-48-66-19-22-33-20-55-16-26-62*23-69-18-54-36-45-58-51-8-26-49-42*15-49-26-16-10-20-33-22-38-66*48-66-38-22-33-20-10-16-26-62*32-54-36-45-58-51-8-26-49-42*42-49-26-16-55-20-33-22-19-66*
