,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:06:54.476689,0.8062600366023123
1,Run_10,0 days 00:05:10.641969,0.8002699120182931
2,Run_2,0 days 00:04:25.626451,0.78751757031128
3,Run_3,0 days 00:02:59.775267,0.7200347601827712
4,Run_4,0 days 00:02:08.210083,0.6956225396558422
5,Run_5,0 days 00:03:04.722040,0.7420626243937992
6,Run_6,0 days 00:02:59.514513,0.7076388304880441
7,Run_7,0 days 00:06:35.126589,0.822315396598468
8,Run_8,0 days 00:05:31.969577,0.7768147979063798
9,Run_9,0 days 00:02:11.093217,0.7253729311083612
