,f_1,f_2,R_x
8,10.331399097356543,180,0-1-2-5-7-9-10-12*0-1-3-5-14-6*12-9-7-5-3-4-1-2*6-14-7-5-2-1-3*8-14-6-9-10-11*6-9-13-12-10-11-3-1*
5,10.370083816892327,163,11-10-9-7-5-2-1-0*6-14-7-5-3-4*0-1-3-11-10-12-13-9*4-1-0*6-14-5-2-1-4*4-3-5-7-9-6-14-8*
2,10.384912959381044,160,11-10-9-7-5-2-1-0*6-14-7-5-3*0-1-3-11-10-12-13-9*4-1-0*6-14-5-2-1-3-4*4-3-5-7-9-6-14-8*
6,10.42166344294004,155,11-10-9-7-5-2-1-0*6-14-7-5-3-4*0-1-3-11-10-12-13-9*4-1*6-14-5-2-1-4*4-3-5-7-9-6-14-8*
1,10.436492585428756,152,11-10-9-7-5-2-1-0*6-14-7-5-3*0-1-3-11-10-12-13-9*4-1*6-14-5-2-1-3-4*4-3-5-7-9-6-14-8*
3,10.459703417150225,151,11-10-9-7-5-2-1-0*6-14-7-5-3-4*2-1-3-11-10-12-13-9*4-1-0*6-14-5-2-1*4-3-5-7-9-6-14-8*
4,10.472598323662153,149,11-10-9-7-5-2-1-0*6-14-7-5-3-4*1-3-11-10-12-13-9*4-1-0*6-14-5-2-1*4-3-5-7-9-6-14-8*
8,10.481624758220503,145,11-10-9-7-5-2-1-0*6-14-7-5-3*2-1-3-11-10-12-13-9*4-1*6-14-5-2-1-4*4-3-5-7-9-6-14-8*
7,10.494519664732431,143,11-10-9-7-5-2-1-0*6-14-7-5-3*1-3-11-10-12-13-9*4-1*6-14-5-2-1-4*4-3-5-7-9-6-14-8*
16,10.51450676982592,141,11-10-9-7-5-2-1-0*8-14-7*2-1-3-11-10-12-13-9*1-2*6-14-5-2-1-4*4-3-5-7-9-6-14-8*
12,10.518375241779497,135,11-10-9-7-5-2-1-0*6-14-7*2-1-3-11-10-12-13-9*1-2*6-14-5-2-1-4*4-3-5-7-9-6-14-8*
13,10.55705996131528,134,11-10-9-7-5-2-1-0*14-7*1-3-11-10-12-13-9*3-1-2*6-14-5-2-1-4*4-3-5-7-9-6-14-8*
10,10.611218568665375,129,11-10-9-7-5-2-1-0*14-7*1-3-11-10-12-13-9*4-1*6-14-5-2-1*4-3-5-7-9-6-14-8*
17,10.679561573178594,127,11-10-9-7-5-2-1-0*8-14-7*3-11-10-12-13-9*3-1*6-14-5-2-1-4*4-3-5-7-9-6*
11,10.68214055448098,125,10-9-7-5-2-1-0*6-14-7*2-1-3-11-10-12-13-9*1-2*6-14-5-2-1-4*4-3-5-7-9-6-14-8*
15,10.7143778207608,123,10-9-7-5-2-1-0*14-7*2-1-3-11-10-12-13-9*1-2*6-14-5-2-1-4*4-3-5-7-9-6-14-8*
14,10.727272727272728,121,10-9-7-5-2-1-0*14-7*1-3-11-10-12-13-9*1-2*6-14-5-2-1-4*4-3-5-7-9-6-14-8*
9,10.77498388136686,119,10-9-7-5-2-1-0*14-7*1-3-11-10-12-13-9*4-1*6-14-5-2-1*4-3-5-7-9-6-14-8*
0,10.801418439716311,115,11-10-9-7-5-2-1-0*6-14-7*10-12-13-9*4-1*6-14-5-2-1-3-4*4-3-5-7-9-6-14-8*
30,10.910380399742102,113,13-12-10-9-7-5-14-8*2-1-4*0-1-2-5-7-14-6-9*11-10-9*1-3-11*9-7-5-3-4*
43,11.009671179883943,111,10-9-7-5-2-1-0*8-14-5*3-11-10-12-13-9*2-1-4*10-9-6-14-7-5-3-4*3-1*
17,11.023855577047067,110,13-12-10-9-7-5-14-8*2-1*0-1-2-5-7-14-6-9*1-3-11-10-9*1-3*9-7-5-3-4*
22,11.029658284977431,109,13-12-10-9-7-5-14-8*2-1*0-1-2-5-7-14-6-9*3-11-10-9*2-1-3*9-7-5-3-4*
23,11.058027079303676,107,13-12-10-9-7-5-14-8*2-1*0-1-2-5-7-14-6-9*3-11-10-9*1-3*9-7-5-3-4*
29,11.06060606060606,106,14-8*4-3-5-7-9-13-12-10*0-1-2-5-14-6-9*4-3-11-10-9*4-3-1-2*7-5*
30,11.112185686653772,104,14-8*4-3-5-7-9-13-12-10*0-1-2-5-14-6-9*4-3-11-10-9*4-3-1*7-5*
45,11.165054803352676,103,9-7-5-2-1-0*8-14*3-11-10-12-13-9*2-1-4*10-9-6-14-7-5-3-4*3-1*
24,11.22308188265635,102,13-12-10-9-7-5-14-8*2-1*0-1-2-5-7-14-6-9*3-11-10*1-3*9-7-5-3-4*
23,11.256608639587364,99,10-9-7-5-2-1-0*8-14-6*3-11-10-12-13-9*3-1*9-6-14-5-3-4*3-1*
