,f_1,f_2,Routes
0,12.938749194068343,120,4-3-5-14-8*1-2-5-7-9-12*1-3*0-1-2-5-7-9-13*11-3-5-14-6*4-3-5-7-9-10*
1,13.23017408123791,100,2-5-7-9-10-12*11-3-5*0-1-2-5-14-6*2-5-14-8*4-3-5-7-9*13-9-10*
2,15.393939393939394,119,2-5-7-9-6*7-9-10*4-3-5-7-9-10-12-13*8-14-7-9-10-12*11-3-4*0-1-4*
3,11.742746615087041,105,2-5-7-9-10-11*8-14-6-9-13-12*4-3-1-2-5-7-9*0-1-2-5-14-6*5-14*6-9*
4,12.147001934235977,128,4-3-5-14-6*0-1-2-5-14-8*8-14-6-9-13*9-6-14*11-3-5-7-9-10-12*2-5-7-9-10-12*
5,13.008381689232753,118,11-10-12-13*4-3-5-7-9-10-12*5-7-9-10-12*0-1-3-5-7-9-12*7-14-6*2-5-14-8*
6,12.358478401031592,124,12-10-9-6-14-8*7-9-10-12*9-13*9-13*11-3-4-1-2-5-14*0-1-3-5-7-9-10-12*
7,15.230818826563507,120,3-5-7-9-10*2-5*10-12-13-9-6*2-5-7-9-10*0-1-4-3-5-14-8*8-14-5-3-11*
8,12.791747259832366,119,0-1-2-5-14-8*0-1-2-5-7-9-13*3-5-14-6*11-10-9-13*3-4*4-3-5-7-9-12*
9,13.810444874274662,106,2-1-3-11*4-3-5-14-8*3-5-7*7-5-3-11*6-9-13*0-1-3-5-7-9-10-12*
