,f_1,f_2,Routes
0,36.299059792230175,787,5-54-38-22-33-20-10-16-1-31-9-17-44-60*42-49-26-16-10-20-33-22-38-66*15-49-26-8-51-34-45-36-54-32*15-49-26-8-51-58-45-36-54-65*68-11-59-17-20-33-22-38-54-5-37-67-27-25-57-35-64-51-56-8-52*47-53-4-7-46-40-12-27-67-18-54-36-45-34-51-8-26-49-42*15-49-26-8-51-58-45-36-54-18-69-0-50-17-61-14-2-23*18-54-36-45-58-51-8-26-49-42*15-49-26-8-51-41-36-54-18-39*15-49-26-16-55-20-33-22-38-66*48-66-38-22-33-20-55-16-26-62-24-63*15-49-26-16-10-20-33-22-19-66*15-49-26-16-55-20-33-22-19-66-3-0-50-43-13*42-49-26-8-51-58-45-36-54-65*28-56-6-21-30-26-16-55-20-33-22-38-66-48-29*
1,39.850698536473935,779,39-18-54-36-45-34-51-8-26-49*60-61-14-44-17-9-31-1-16-10-20-33-22-38-54-32*31-1-16-10-20-33-22-38-54-32*15-49-26-8-51-34-45-36-54-18*37-5-54-19-22-33-20-17-9-68-59-10-52-64-35*15-49-26-16-10-20-33-22-38-66-69-29-23*13-43-50-2-0-3-48-66-38-22-33-20-55-16-26-62-21-6-47-40-46-7*31-1-26-8-51-58-45-36-54-32*31-1-16-10-20-33-22-19-18-32-54-36-41-57-25-27-12-4-53*15-49-26-8-51-58-45-36-54-18-39*65-5-54-36-45-58-51-8-26-49-15*39-18-54-36-45-34-51-8-26-62-24*11-9-17-20-33-22-19-54-5-37-67*28-56-6-63-30-26-8-51-34-45-36-54-18-39*42-49-26-16-10-20-33-22-38-66*
2,40.12057606545632,762,37-5-54-38-22-33-20-17-59-68*37-5-54-19-22-33-20-17-59-68*15-49-26-8-51-34-45-36-54-65-67-27-41-57*5-54-36-45-34-51-8-26-49-42-62-30*31-1-16-55-20-33-22-38-54-32*15-49-26-8-51-58-45-36-54-18-66-3-0-50-43-13*5-54-38-22-33-20-10-16-1-31*21-24-63-6-35-34-45-36-54-18-39*5-54-38-22-33-20-55-16-1-31*31-1-16-55-20-33-22-38-54-32-18-69*40-46-53-47-7-4-12-25-27-67-5-54-36-45-34-51-8-26-1-31*15-49-26-8-51-34-45-36-54-18-39-48-29-23-2-14-61-60-44*11-59-17-20-33-22-38-54-5-37*31-1-16-10-20-33-22-19-18-32*37-5-54-19-22-33-20-17-9-68-59-10-52-64-51-56-28*
3,36.03819496721473,796,68-11-15-49-26-8-51-41-36-54-18-39*42-49-26-16-55-20-33-22-38-66-19-36-41-57-25-4-7-40-12-27-67*15-49-26-8-51-58-45-36-54-18-39*0-69-29-48-66-19-22-33-20-10-16-26-62-21-6-35-64-52*48-66-19-22-33-20-55-16-26-62*39-18-54-36-45-34-51-8-26-49-42*31-1-26-8-51-58-45-36-54-32-65*48-66-19-22-33-20-55-16-26-62*15-49-26-16-10-20-33-22-19-66*24-63-6-35-34-45-36-19-66-48-3-23-2-50-13*30-26-16-55-20-33-22-19-66-48*53-46-7-47-6-56-28-10-59-11-9-17-20-33-22-38-54-5-37*15-49-26-8-51-34-45-36-54-32*14-44-60-61-43-17-9-31-1-26-8-51-34-45-36-54-32*24-63-6-35-34-45-36-19-66-48*
4,32.763779936350375,807,15-49-26-8-51-41-36-54-18-39*5-54-38-22-33-20-55-16-1-31*15-49-26-16-10-20-33-22-38-66*7-46-40-12-41-51-64-35-6-21-30-26-16-55-20-33-22-38-66-48-29-23-50-43-61*31-1-26-8-51-34-45-36-54-32-18-38-22-13-20-52*31-1-16-10-20-33-22-19-54-32*15-49-26-16-55-20-33-22-38-66-3*31-1-16-10-20-33-22-38-18-32*37-5-54-38-22-33-20-17-59-68*25-57-51-56-28-10-59-11-9-17-20-33-22-38-54-5-37-67-27-12-4-53-47*42-49-26-16-10-20-33-22-38-66*5-54-38-22-33-20-10-16-1-31*63-24-62-42-49-26-16-10-20-33-22-19-66*15-49-26-8-51-58-45-36-54-18-69-0-50-17-44-60-14-2*31-1-16-55-20-33-22-19-18-32-65*
5,34.62791446237871,776,31-1-26-8-51-58-45-36-54-32*5-54-36-45-58-51-8-26-1-31-9-17-44-60*15-49-26-8-51-41-36-54-18-39*68-11-59-17-20-33-22-19-54-5-37*42-49-26-16-55-20-33-22-38-66*21-30-26-8-51-34-45-36-54-18-39*15-49-26-8-51-34-45-36-54-32-65*42-49-26-16-55-20-33-22-19-66-3-0-2-14-61-17-10-28-56-8-52-64*15-49-26-8-51-34-45-36-54-18-39*13-43-50-0-69-48-66-19-22-33-20-55-16-26-62*30-26-16-10-20-33-22-38-66-48-29-23*15-49-26-8-51-34-45-36-54-18-67-27-12-40-47-6-35-57-25-4-53-46-7*5-54-36-45-58-51-8-26-49-15*24-63-6-35-34-45-36-38-66-48*5-54-38-22-33-20-55-16-1-31*
6,40.70994252843726,789,13-43-61-60-44-17-20-52-64-35-6-21-30-26-8-51-58-45-36-54-18-39-48-3-23*39-18-54-36-45-58-51-8-26-49*15-49-26-8-51-34-45-36-54-65*15-49-26-16-55-20-33-22-38-66-29-48-69-0-50-2-14*15-49-26-8-51-58-45-36-54-18-39*62-15-49-26-8-51-58-45-36-54-18-39*28-56-6-63-24-42-49-26-8-51-34-45-36-54-65*15-49-26-8-51-34-45-36-54-32*5-54-36-45-34-51-8-26-49-15*15-49-26-8-51-58-45-36-54-65*53-47-7-46-40-12-27-67-37-5-54-19-22-33-20-17-9-68*11-31-1-16-10-20-33-22-38-18-32*5-54-38-22-33-20-55-16-1-31*31-1-16-55-20-33-22-38-54-32*57-41-25-4-12-27-67-37-5-54-19-22-33-20-17-59-68*
7,39.79418223728954,788,64-52-20-13-43-17-9-31-1-26-8-51-58-45-36-54-32*41-57-25-4-40-12-27-67-37-5-54-38-22-33-20-17-59-68*42-49-26-8-51-58-45-36-54-65*5-54-36-45-58-51-8-26-49-42*3-69-0-2-50-23-29-48-66-38-22-33-20-10-16-26-62*24-63-6-35-34-45-36-38-66-48*11-15-49-26-8-51-58-45-36-54-65*48-66-38-22-33-20-55-16-26-62*48-66-38-22-33-20-55-16-26-62-21-6-47-53-7-46*14-61-44-60-17-9-31-1-16-55-20-33-22-19-18-32*31-1-16-10-20-33-22-19-54-32*37-5-54-19-22-33-20-17-59-68*28-56-6-21-30-26-8-51-58-45-36-54-18-39*15-49-26-8-51-58-45-36-54-32*15-49-26-8-51-58-45-36-54-18*
8,38.88180690177918,783,15-49-26-8-51-34-45-36-54-18-67-27-41-57-25-4-53-47-6-35-64-52-20-13-43-50*61-60-44-14-2-0-23-3-48-66-38-22-33-20-55-16-26-62-30-24-63-21*31-1-16-10-20-33-22-19-54-32*37-5-54-38-22-33-20-17-9-68-59-10-28-56-51-58*31-1-16-10-20-33-22-38-54-32*42-49-26-16-55-20-33-22-38-66-69-29*42-49-26-16-55-20-33-22-38-66*31-1-16-10-20-33-22-19-54-32*39-18-54-36-45-34-51-8-26-49-11*32-54-36-45-34-51-8-26-49-42*5-54-38-22-33-20-10-16-1-31*42-49-26-8-51-34-45-36-54-65-67-27-12-40-46-7*39-18-54-36-45-34-51-8-26-62*31-1-16-55-20-33-22-38-54-32*5-54-19-22-33-20-55-16-1-31*
9,35.63477263169918,791,37-5-54-19-22-33-20-17-59-68-11*67-5-54-38-22-33-20-55-16-1-31*5-54-36-45-58-51-8-26-49-42*15-49-26-16-55-20-33-22-38-66-29*5-54-19-22-33-20-10-16-1-31*27-12-41-57-25-4-53-40-47-6-63-30-26-16-55-20-33-22-19-66-48*24-63-6-35-34-45-36-38-66-48-3-0-50-13-43-33-58-64*5-54-19-22-33-20-55-16-1-31*15-49-26-16-55-20-33-22-38-66-69*37-5-54-38-22-33-20-17-9-68-59-10-52-8-56-6-47-40-46-7*21-24-63-6-35-34-45-36-19-66-48*15-49-26-16-55-20-33-22-19-66-3-23-2-14-61-44-60-17-10-28*65-32-39-18-54-36-45-58-51-8-26-62*5-54-36-45-58-51-8-26-49-42*5-54-36-45-58-51-8-26-49-15*
