,f_1,f_2,R_x
6,23.56279559955767,1155,46-40-7-47-6-56-8-10-17-60-44-14-61-43-50-2*30-26-8-52-55-10-28-56-6-47-53-4-25-27-67-5-65-19-22-33-13-20-17*42-15-49-26-8-51-34-25-4-7-46-40*29-69-0-50-43-20-55-10-16-26-62-21-6-35-41-36-38-19-66-3-48-39-32-65-5*53-47-6-63-30-42-15-49-26-16-55-20-13-22-36-54-18-39-32*49-62-24-21-30-26-1-9-68-59-17-61-60-44-14-2-50-13-22-45-41-25-4-53*42-49-9-11-31-1-26-8-28-56-51-41-12*65-5-54-36-19-69-0-2-14-60-61-17-20-52-64-51-57-25-4-53-46-7*0-50-33-58-35-6-63-24-30-26-8-51-41-27-67-5-37-32-54*65-37-5-18-54-36-41-12-4-40-46-53*31-11-68-9-17-50-23-69-3-66-18-37-67-27-25-4*40-12-25-57-35-51-8-10-59-9-68-11-49-1-16-55-52-64-58-41-27-67-65*30-26-8-51-58-34-57-41-45-22-33-43-17-10-28-56*69-48-39-65-67-5-32-18-54-38-36-45-58-64-52-10-55-8-56-51-35-57-25*63-21-62-42-15-11-1-26-8-51-34-45-36-38-66-3-29-48-39*
5,23.56343417247699,1151,46-40-7-47-6-56-8-10-17-60-44-14-61-43-50-2*30-26-8-52-55-10-28-56-6-47-53-4-25-27-67-5-65-19-22-33-13-20-17*42-15-49-26-8-51-34-25-4-7-46-40*29-69-0-50-43-20-55-10-16-26-62-21-6-35-41-36-38-19-66-3-48-39-32-65-5*53-47-6-63-30-42-15-49-26-16-55-20-13-22-36-54-18-39-32*49-62-24-21-30-26-1-9-68-59-17-61-60-44-14-2-50-13-22-45-41-25-4-53*42-49-9-11-31-1-26-8-28-56-51-41-12*65-5-54-36-19-69-0-2-14-60-61-17-20-52-64-51-57-25-4-53-46-7*0-50-33-58-35-6-63-24-30-26-8-51-41-27-67-5-37-32-54*65-37-5-18-54-36-41-12-4-40-46-53*31-11-68-9-17-50-23-69-3-66-18-37-67-27-25-4*40-12-25-57-35-51-8-10-59-9-68-11-49-1-16-55-52-64-58-41-27-67-65*26-8-51-58-34-57-41-45-22-33-43-17-10-28-56*69-48-39-65-67-5-32-18-54-38-36-45-58-64-52-10-55-8-56-51-35-57-25*63-21-62-42-15-11-1-26-8-51-34-45-36-38-66-3-29-48-39*
7,23.571642170732595,1150,46-40-7-47-6-56-8-10-17-60-44-14-61-43-50-2*30-26-8-52-55-10-28-56-6-47-53-4-25-27-67-5-65-19-22-33-13-20-17*42-15-49-26-8-51-34-25-4-7-46-40*29-69-0-50-43-20-55-10-16-26-62-21-6-35-41-36-38-19-66-3-48-39-32-65-5*53-47-6-63-30-42-15-49-26-16-55-20-13-22-36-54-18-39-32*49-62-24-21-30-26-1-9-68-59-17-61-60-44-14-2-50-13-22-45-41-25-4-53*42-49-9-11-31-1-26-8-28-56-51-41-12*65-5-54-36-19-69-0-2-14-60-61-17-20-52-64-51-57-25-4-53-46-7*0-50-33-58-35-6-63-24-30-26-8-51-41-27-67-5-37-32-54*65-37-5-18-54-36-41-12-4-40-46-53*31-11-68-9-17-50-23-69-3-66-18-37-67-27-25-4*40-12-25-57-35-51-8-10-59-9-68-11-49-1-16-55-52-64-58-41-27-67*30-26-8-51-58-34-57-41-45-22-33-43-17-10-28-56*69-48-39-65-67-5-32-18-54-38-36-45-58-64-52-10-55-8-56-51-35-57-25*63-21-62-42-15-11-1-26-8-51-34-45-36-38-66-3-29-48-39*
8,23.58208257838093,1145,46-40-7-47-6-56-8-10-17-60-44-14-61-43-50-2*30-26-8-52-55-10-28-56-6-47-53-4-25-27-67-5-65-19-22-33-13-20-17*42-15-49-26-8-51-34-25-4-7-46-40*29-69-0-50-43-20-55-10-16-26-62-21-6-35-41-36-38-19-66-3-48-39-32-65-5*47-6-63-30-42-15-49-26-16-55-20-13-22-36-54-18-39-32*49-62-24-21-30-26-1-9-68-59-17-61-60-44-14-2-50-13-22-45-41-25-4-53*42-49-9-11-31-1-26-8-28-56-51-41-12*65-5-54-36-19-69-0-2-14-60-61-17-20-52-64-51-57-25-4-53-46-7*0-50-33-58-35-6-63-24-30-26-8-51-41-27-67-5-37-32-54*65-37-5-18-54-36-41-12-4-40-46-53*31-11-68-9-17-50-23-69-3-66-18-37-67-27-25-4*40-12-25-57-35-51-8-10-59-9-68-11-49-1-16-55-52-64-58-41-27-67*30-26-8-51-58-34-57-41-45-22-33-43-17-10-28-56*69-48-39-65-67-5-32-18-54-38-36-45-58-64-52-10-55-8-56-51-35-57-25*63-21-62-42-15-11-1-26-8-51-34-45-36-38-66-3-29-48-39*
9,23.59040479293105,1136,46-40-7-47-6-56-8-10-17-60-44-14-61-43-50-2*30-26-8-52-55-10-28-56-6-47-53-4-25-27-67-5-65-19-22-33-13-20-17*42-15-49-26-8-51-34-25-4-7-46-40*29-69-0-50-43-20-55-10-16-26-62-21-6-35-41-36-38-19-66-3-48-39-32-65-5*47-6-63-30-42-15-49-26-16-55-20-13-22-36-54-18-39-32*49-62-24-21-30-26-1-9-68-59-17-61-60-44-14-2-50-13-22-45-41-25-4-53*42-49-9-11-31-1-26-8-28-56-51-41-12*65-5-54-36-19-69-0-2-14-60-61-17-20-52-64-51-57-25-4-53-46-7*0-50-33-58-35-6-63-24-30-26-8-51-41-27-67-5-37-32-54*65-37-5-18-54-36-41-12-4-40-46-53*31-11-68-9-17-50-23-69-3-66-18-37-67-27-25-4*12-25-57-35-51-8-10-59-9-68-11-49-1-16-55-52-64-58-41-27-67*30-26-8-51-58-34-57-41-45-22-33-43-17-10-28-56*69-48-39-65-67-5-32-18-54-38-36-45-58-64-52-10-55-8-56-51-35-57-25*63-21-62-42-15-11-1-26-8-51-34-45-36-38-66-3-29-48-39*
10,23.59387800661416,1131,46-40-7-47-6-56-8-10-17-60-44-14-61-43-50-2*30-26-8-52-55-10-28-56-6-47-53-4-25-27-67-5-65-19-22-33-13-20-17*15-49-26-8-51-34-25-4-7-46-40*29-69-0-50-43-20-55-10-16-26-62-21-6-35-41-36-38-19-66-3-48-39-32-65-5*47-6-63-30-42-15-49-26-16-55-20-13-22-36-54-18-39-32*62-24-21-30-26-1-9-68-59-17-61-60-44-14-2-50-13-22-45-41-25-4-53*49-9-11-31-1-26-8-28-56-51-41-12*65-5-54-36-19-69-0-2-14-60-61-17-20-52-64-51-57-25-4-53-46*23-0-50-33-58-35-6-63-24-30-26-8-51-41-27-67-5-37-32-54*65-37-5-18-54-36-41-12-4-40-46-53*31-11-68-9-17-50-23-69-3-66-18-37-67-27-25-4*4-12-25-57-35-51-8-10-59-9-68-11-49-1-16-55-52-64-58-41-27-67-37*30-26-8-51-58-34-57-41-45-22-33-43-17-10-28-56*69-48-39-65-67-5-32-18-54-38-36-45-58-64-52-10-55-8-56-51-35-57-25*63-21-62-42-15-11-1-26-8-51-34-45-36-38-66-3-29-48-39*
11,23.5951966856508,1129,46-40-7-47-6-56-8-10-17-60-44-14-61-43-50-2*30-26-8-52-55-10-28-56-6-47-53-4-25-27-67-5-65-19-22-33-13-20-17*15-49-26-8-51-34-25-4-7-46*29-69-0-50-43-20-55-10-16-26-62-21-6-35-41-36-38-19-66-3-48-39-32-65-5*47-6-63-30-42-15-49-26-16-55-20-13-22-36-54-18-39-32*62-24-21-30-26-1-9-68-59-17-61-60-44-14-2-50-13-22-45-41-25-4-53*49-9-11-31-1-26-8-28-56-51-41-12*65-5-54-36-19-69-0-2-14-60-61-17-20-52-64-51-57-25-4-53-46*23-0-50-33-58-35-6-63-24-30-26-8-51-41-27-67-5-37-32-54*65-37-5-18-54-36-41-12-4-40-46-53*31-11-68-9-17-50-23-69-3-66-18-37-67-27-25-4*4-12-25-57-35-51-8-10-59-9-68-11-49-1-16-55-52-64-58-41-27-67-37*30-26-8-51-58-34-57-41-45-22-33-43-17-10-28-56*69-48-39-65-67-5-32-18-54-38-36-45-58-64-52-10-55-8-56-51-35-57-25*63-21-62-42-15-11-1-26-8-51-34-45-36-38-66-3-29-48-39*
12,23.598778923978674,1126,46-40-7-47-6-56-8-10-17-60-44-14-61-43-50-2*30-26-8-52-55-10-28-56-6-47-53-4-25-27-67-5-65-19-22-33-13-20-17*15-49-26-8-51-34-25-4-7-46*29-69-0-50-43-20-55-10-16-26-62-21-6-35-41-36-38-19-66-3-48-39-32-65-5*47-6-63-30-42-15-49-26-16-55-20-13-22-36-54-18-39-32*62-24-21-30-26-1-9-68-59-17-61-60-44-14-2-50-13-22-45-41-25-4-53*49-9-11-31-1-26-8-28-56-51-41-12*65-5-54-36-19-69-0-2-14-60-61-17-20-52-64-51-57-25-4-53-46*23-0-50-33-58-35-6-63-24-30-26-8-51-41-27-67-5-37-32-54*65-37-5-18-54-36-41-12-4-40-46-53*31-11-68-9-17-50-23-69-3-66-18-37-67-27-25-4*4-12-25-57-35-51-8-10-59-9-68-11-49-1-16-55-52-64-58-41-27-67-37*30-26-8-51-58-34-57-41-45-22-33-43-17-10-28*69-48-39-65-67-5-32-18-54-38-36-45-58-64-52-10-55-8-56-51-35-57-25*63-21-62-42-15-11-1-26-8-51-34-45-36-38-66-3-29-48-39*
13,23.614042374245265,1122,46-40-7-47-6-56-8-10-17-60-44-14-61-43-50-2*30-26-8-52-55-10-28-56-6-47-53-4-25-27-67-5-65-19-22-33-13-20*15-49-26-8-51-34-25-4-7-46*29-69-0-50-43-20-55-10-16-26-62-21-6-35-41-36-38-19-66-3-48-39-32-65-5*47-6-63-30-42-15-49-26-16-55-20-13-22-36-54-18-39-32*62-24-21-30-26-1-9-68-59-17-61-60-44-14-2-50-13-22-45-41-25-4-53*49-9-11-31-1-26-8-28-56-51-41-12*65-5-54-36-19-69-0-2-14-60-61-17-20-52-64-51-57-25-4-53-46*23-0-50-33-58-35-6-63-24-30-26-8-51-41-27-67-5-37-32-54*65-37-5-18-54-36-41-12-4-40-46-53*31-11-68-9-17-50-23-69-3-66-18-37-67-27-25-4*4-12-25-57-35-51-8-10-59-9-68-11-49-1-16-55-52-64-58-41-27-67-37*30-26-8-51-58-34-57-41-45-22-33-43-17-10-28*69-48-39-65-67-5-32-18-54-38-36-45-58-64-52-10-55-8-56-51-35-57-25*63-21-62-42-15-11-1-26-8-51-34-45-36-38-66-3-29-48-39*
14,23.61468094716458,1118,46-40-7-47-6-56-8-10-17-60-44-14-61-43-50-2*30-26-8-52-55-10-28-56-6-47-53-4-25-27-67-5-65-19-22-33-13-20*15-49-26-8-51-34-25-4-7-46*29-69-0-50-43-20-55-10-16-26-62-21-6-35-41-36-38-19-66-3-48-39-32-65-5*47-6-63-30-42-15-49-26-16-55-20-13-22-36-54-18-39-32*62-24-21-30-26-1-9-68-59-17-61-60-44-14-2-50-13-22-45-41-25-4-53*49-9-11-31-1-26-8-28-56-51-41-12*65-5-54-36-19-69-0-2-14-60-61-17-20-52-64-51-57-25-4-53-46*23-0-50-33-58-35-6-63-24-30-26-8-51-41-27-67-5-37-32-54*65-37-5-18-54-36-41-12-4-40-46-53*31-11-68-9-17-50-23-69-3-66-18-37-67-27-25-4*4-12-25-57-35-51-8-10-59-9-68-11-49-1-16-55-52-64-58-41-27-67-37*26-8-51-58-34-57-41-45-22-33-43-17-10-28*69-48-39-65-67-5-32-18-54-38-36-45-58-64-52-10-55-8-56-51-35-57-25*63-21-62-42-15-11-1-26-8-51-34-45-36-38-66-3-29-48-39*
