,f_1,f_2,R_x
5,10.43391360412637,193,0-1-2-5-14-6-9-10*9-13-12-10-11*0-1-3-11-10-9-6*1-2-5-7-9-6-14-8*0-1-2-5-7-14-6-9*0-1-4-3-5-7-9-10*
7,10.448098001289493,188,0-1-2-5-14-6-9*9-13-12-10-11*0-1-3-11-10-9-6*1-2-5-7-9-6-14-8*0-1-2-5-7-14-6-9*0-1-4-3-5-7-9-10*
6,10.476466795615732,185,1-2-5-14-6-9-10*9-13-12-10-11*0-1-3-11-10-9-6*1-2-5-7-9-6-14-8*0-1-2-5-7-14-6-9*0-1-4-3-5-7-9-10*
8,10.477111540941328,181,0-1-2-5-14-6-9*9-13-12-10-11*0-1-3-11-10-9*1-2-5-7-9-6-14-8*0-1-2-5-7-14-6-9*0-1-4-3-5-7-9-10*
4,10.48549323017408,176,0-1-2-5-14-6-9-10*9-13-12-10*0-1-3-11-10-9*1-2-5-7-9-6-14-8*0-1-2-5-7-14-6-9*0-1-4-3-5-7-9-10*
9,10.515796260477112,166,1-2-5-14-6*9-13-12-10-11*0-1-3-11-10-9*1-2-5-7-9-6-14-8*0-1-2-5-7-14-6-9*0-1-4-3-5-7-9-10*
15,10.54609929078014,157,6-14-7-5-2-1-4-3*1-2-5-14-6-9-10*4-1-3-11-10-9*8-14-6-9-10-12-13*0-1-2-5-7-9-13-12*4-3-5-7-9*
16,10.556415215989684,155,6-14-7-5-2-1-4-3*1-2-5-14-6-9-10*4-1-3-11-10-9*8-14-6-9-10-12*0-1-2-5-7-9-13-12*4-3-5-7-9*
14,10.572533849129591,153,6-14-7-5-2-1-4-3*2-5-14-6-9-10*4-1-3-11-10-9*8-14-6-9-10-12*0-1-2-5-7-9-13-12*4-3-5-7-9*
26,10.632495164410058,148,4-3-5-7-9-10-12-13*0-1-2-5-14-6-9*12-13-9-6-14-5-3*0-1-2-5-7-14-8*9-10-11-3-4-1-2*2-1-3*
14,10.645390070921986,143,4-3-1-2-5-14-8*9-13-12-10*5-3-11*1-2-5-7-9-6-14-8*0-1-2-5-7-14-6-9*4-3-5-7-9-10-11*
9,10.66602192134107,131,6-14-7-5-2-1-0*3-11-10-9-6-14-8*12-13-9-7-5-3-1-0*10-12*13-12*9-6-14-5-3-4-1-2*
10,10.80012894906512,123,6-14-7-5-2-1-0*3-11-10-9-6-14-8*12-13-9-7-5-3-1*10-12*13-12*9-6-14-5-3-4-1-2*
21,10.883301096067054,122,3-1*9-13-12-10-11-3-4*5-3*9-6-14-8*0-1-2-5-7-14-6-9*4-3-5-7-9-10-11*
20,10.895551257253384,118,3-1*9-13-12-10-11-3*5-3*9-6-14-8*0-1-2-5-7-14-6-9*4-3-5-7-9-10-11*
24,10.963894261766605,116,1-3-5-14-8*9-13-12-10*1-2-5-14-6-9-10-11*1-4-3-5-7-9*11-3*0-1-2-5-7-14*
22,10.983881366860093,115,3-1*9-13-12-10-11-3-4*5-3*9-6-14-8*0-1-2-5-7-14-6*4-3-5-7-9-10-11*
23,10.993552546744036,112,1-3-5-14-8*9-13-12-10*1-2-5-14-6-9-10-11*4-3-5-7-9*11-3*0-1-2-5-7-14-6*
7,11.045776918117344,110,1-4*0-1-2-5-14-6-9*6-14*1-3-5-7-14-8*9-13-12-10-11-3*4-3-5-7-9-10*
19,11.063185041908444,108,3-1*9-13-12-10-11-3*5-3*9-6-14-8*0-1-2-5-7-14-6-9*4-3-5-7-9-10*
26,11.125725338491296,107,3-1-2*9-13-12-10-11-3-4*5-3*6-14-8*0-1-2-5-7-14-6-9*4-3-5-7-9-10*
22,11.23726627981947,106,14-7*5-14-6*2-1-3-11-10*8-14-6-9-10-12*0-1-2-5-7-9-13-12*1-4-3-5*
31,11.25338491295938,103,5-14-8*9-13-12*1-2-5-14-6-9-10-11*1-4-3-5-7-9-10-12*3-1*0-1-2-5*
18,11.31592520954223,98,3-1*9-13-12-10-11*5-3*9-6-14-8*0-1-2-5-7-14-6-9*4-3-5-7-9-10*
32,11.353965183752418,97,5-14-8*9-13-12*1-2-5-14-6-9-10-11*4-3-5-7-9-10-12*3-1*0-1-2-5*
17,11.419084461637652,91,3-1*9-13-12-10-11*5-3*9-6-14-8*0-1-2-5-7-14-6*4-3-5-7-9-10*
3,11.62669245647969,90,0-1-2-5-7-9*9-13-12-10*14-8*9-10-11*4-3-5-7-14-6-9*4-1-2*
36,11.686009026434558,88,5-14-8*13-12*1-2-5-14-6-9-10-11*4-3-5-7-9-10-12-13*3-1*0-1-2*
16,11.709219858156027,86,3-5-7-9-10-12-13*0-1-2-5-14-6-9*3-4*1-3-5-7-14-8*10-11*5-7*
37,11.731141199226306,85,14-8*13-12*1-2-5-14-6-9-10-11*4-3-5-7-9-10-12-13*3-1*0-1-2*
35,11.860090264345583,83,14-8*13-12*1-2-5-14-6-9-10-11*4-3-5-7-9-10-12-13*3-1*0-1*
31,12.006447453255964,80,1-4-3*10-11*9-7-5-3*14-8*0-1-2-5-7-14-6-9*9-10-12-13*
28,12.35525467440361,76,1-4*10-11*5-3*14-8*0-1-2-5-7-14-6-9*5-7-9-10-12-13*
36,12.724693745970342,72,4-3-1*9-10-11*5-3*14-8*0-1-2-5-7-14-6-9*9-10-12-13*
34,12.876208897485494,71,4-3-1-2*10-11*7-5-3*14-8*0-1-2-5-7-14-6-9*9-10-12-13*
35,12.917472598323664,70,4-3-1*10-11*5-3*5-14-8*0-1-2-5-7-14-6-9*9-10-12-13*
33,12.92134107027724,69,4-3-1*10-11*7-5-3*14-8*0-1-2-5-7-14-6-9*9-10-12-13*
32,12.966473243068988,67,4-3-1*10-11*5-3*14-8*0-1-2-5-7-14-6-9*9-10-12-13*
29,13.291424887169567,66,1-4*10-11*5-3*14-8*0-1-2-5-7-14-6-9*9-10-12-13*
40,13.332688588007738,65,4-3-1*10-11*7-5*14-8*0-1-2-5-7-14-6-9*9-10-12-13*
30,13.422952933591231,64,4-3*10-11*5-3*14-8*0-1-2-5-7-14-6-9*9-10-12-13*
0,14.106382978723405,63,10-9*14-8*4-3*11-10-12-13*0-1-2-5-7-14-6-9*3-1*
