,f_1,f_2,R_x
27,10.47324306898775,203,0-1-2-5-7-14-8*3-1-2-5-14-6-9-10*6-14-5-3-11-10-12-13*4-1-2-5-7-9-10-12*12-10-9-7-5-3-1-0*13-9-10-11-3-4-1-0*
0,10.475822050290136,198,0-1-2-5-7-9-10-11*8-14-6-9-10-12-13*5-3-11-10-12-13-9-7*0-1-4-3-5-7-14-6*3-1-2-5-7-14-6-9*0-1-3-5-7-9-10-12*
2,10.479045776918117,197,0-1-2-5-7-9-10-11*8-14-6-9-10-12-13*1-3-11-10-12-13-9-7*0-1-4-3-5-7-14-6*3-1-2-5-7-14-6-9*0-1-3-5-7-9-10-12*
1,10.48549323017408,194,0-1-2-5-7-9-10-11*8-14-6-9-10-12-13*3-11-10-12-13-9-7*0-1-4-3-5-7-14-6*3-1-2-5-7-14-6-9*0-1-3-5-7-9-10-12*
12,10.486137975499677,175,0-1-2-5-7-9-10-11*10-11-3-1-2-5-14-6*0-1-4*4-3-5-14-6-9-10*8-14-6-9-13-12-10-11*4-1-2-5-7-14-8*
14,10.526112185686651,172,0-1-2-5-7-9-10-11*10-11-3-1-2-5-14-6*0-1-4*4-3-5-14-6-9-10*8-14-6-9-13-12-10-11*3-1-2-5-7-14-8*
13,10.532559638942615,169,0-1-2-5-7-9-10-11*10-11-3-1-2-5-14-6*0-1-4*4-3-5-14-6-9-10*8-14-6-9-13-12-10-11*1-2-5-7-14-8*
15,10.537717601547389,159,0-1-2-5-7-9-10-11*11-3-1-2-5-14-6*0-1-4*4-3-5-14-6-9-10*8-14-6-9-13-12-10-11*1-2-5-7-14-8*
11,10.54287556415216,157,0-1-2-5-7-9-10-11*11-3-1-2-5-14-6*1-4*4-3-5-14-6-9-10*8-14-6-9-13-12-10-11*4-1-2-5-7-14-8*
16,10.583494519664733,154,0-1-2-5-7-9-10-11*11-3-1-2-5-14-6*0-1-4*4-3-5-14-6-9*8-14-6-9-13-12-10-11*1-2-5-7-14-8*
10,10.5892972275951,152,0-1-2-5-7-9-10-11*11-3-1-2-5-14-6*5-2-1-4*4-3-5-14-6-9-10*8-14-6-9-13-12-10*4-1-2-5-7-14-8*
17,10.629916183107673,144,0-1-2-5-7-9-10-11*11-3-1-2-5-14-6*0-1-4*4-3-5-14-6-9*8-14-6-9-13-12-10*1-2-5-7-14-8*
40,10.670535138620243,142,0-1-2-5-7-9-10-11*11-3-1-0*2-1-4*4-3-5-14-6-9-10-12*9-13-12-10-11*4-3-5-7-14-8*
18,10.681495809155384,136,0-1-2-5-7-9-10-11*11-3-1-2-5-14-6*1-4*4-3-5-14-6-9*8-14-6-9-13-12-10*1-2-5-7-14-8*
19,10.68923275306254,134,0-1-2-5-7-9-10-11*11-3-1-2-5-14-6*1-4*4-3-5-14-6-9*8-14-6-9-13-12-10*2-5-7-14-8*
39,10.715667311411991,132,0-1-2-5-7-9-10-11*11-3-1-0*2-1-4*4-3-5-14-6-9-10-12*9-13-12-10*4-3-5-7-14-8*
46,10.724693745970342,130,0-1-2-5-7-9-10-11*11-3-1-0*2-1-4*4-3-5-14-6-9-10-12*9-13-12*10-9-7-14-8*
38,10.725338491295938,127,0-1-2-5-7-9-10-11*11-3-1-0*2-1-4*4-3-5-14-6-9-10-12*9-13-12*4-3-5-7-14-8*
45,10.735009671179885,125,0-1-2-5-7-9-10-11*11-3-1-0*2-1-4*4-3-5-14-6-9-10-12*9-13-12*9-7-14-8*
20,10.743391360412636,121,0-1-2-5-7-9-10-11*11-3-1-2-5-14-6*2-1-4*4-3-5-14-6-9*9-13-12-10*9-6-14-8*
44,10.77691811734365,119,0-1-2-5-7-9-10-11*11-3-1-2*2-1-4*4-3-5-14-6-9-10-12*9-13-12*9-7-14-8*
42,10.789813023855578,117,0-1-2-5-7-9-10-11*11-3-1*2-1-4*4-3-5-14-6-9-10-12*9-13-12*9-7-14-8*
37,10.801418439716311,115,0-1-2-5-7-9-10-11*11-3-1*2-1-4*4-3-5-14-6-9-10-12*9-13-12*3-5-7-14-8*
47,10.833655705996131,113,0-1-2-5-7-9-10-11*11-3-1-2*2-1-4*4-3-5-14-6-9-10-12*9-13-12*5-7-14-8*
36,10.84655061250806,111,0-1-2-5-7-9-10-11*11-3-1*2-1-4*4-3-5-14-6-9-10-12*9-13-12*5-7-14-8*
41,10.862024500322372,109,0-1-2-5-7-9-10-11*11-3-1*2-1-4*4-3-5-14-6-9-10-12*9-13-12*7-14-8*
48,10.900709219858156,107,0-1-2-5-7-9-10-11*11-3-1*1-4*4-3-5-14-6-9-10-12*9-13-12*7-14-8*
33,10.90715667311412,106,0-1-2-5-7-9-10-11*11-3-1*2-1-4*4-3-5-14-6-9*9-13-12-10*5-7-14-8*
