,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:01:26.804191,0.7880469823115521
1,Run_10,0 days 00:02:28.561946,0.7811021540901282
2,Run_2,0 days 00:01:23.605081,0.7941284124447863
3,Run_3,0 days 00:01:59.232989,0.8031003840439546
4,Run_4,0 days 00:00:58.915011,0.6912614982920255
5,Run_5,0 days 00:01:36.883126,0.7611807249180051
6,Run_6,0 days 00:00:42.583100,0.6895515215589222
7,Run_7,0 days 00:00:38.817028,0.6713368654164213
8,Run_8,0 days 00:00:50.736087,0.7158331030671455
9,Run_9,0 days 00:00:50.086779,0.7448802816055361
