,f_1,f_2,R_x
62,10.37137330754352,174,6-14-7*2-1-4-3-5-7-9-13*0-1-3-11-10-12-13*8-14-7-9-10-11*12-10-9-7-5-2-1-0*1-2-5-14-6-9-10-11*
50,10.37330754352031,164,6-14-7*2-1-4-3-5-7-9-13*0-1-3-11-10-12-13*8-14-7-9-10*12-10-9-7-5-2-1-0*1-2-5-14-6-9-10-11*
51,10.383623468729851,159,6-14-7*2-1-4-3-5-7-9-13*0-1-3-11-10-12-13*8-14-7-9*12-10-9-7-5-2-1-0*1-2-5-14-6-9-10-11*
60,10.415215989684077,158,6-14-7*2-1-4-3-5-7-9-13*2-1-3-11-10-12-13*8-14-7-9-10*12-10-9-7-5-2-1-0*1-2-5-14-6-9-10-11*
61,10.415860735009671,157,14-7*2-1-4-3-5-7-9-13*0-1-3-11-10-12-13*8-14-7-9*12-10-9-7-5-2-1-0*1-2-5-14-6-9-10-11*
59,10.423597678916828,156,6-14-7*2-1-4-3-5-7-9-13*5-2-1-3-11-10-12-13*8-14-7-9*12-10-9-7-5-2-1-0*1-2-5-14-6-9-10-11*
58,10.425531914893616,153,6-14-7*2-1-4-3-5-7-9-13*2-1-3-11-10-12-13*8-14-7-9*12-10-9-7-5-2-1-0*1-2-5-14-6-9-10-11*
57,10.438426821405544,151,6-14-7*2-1-4-3-5-7-9-13*1-3-11-10-12-13*8-14-7-9*12-10-9-7-5-2-1-0*1-2-5-14-6-9-10-11*
12,10.45390070921986,145,12-10-9-7-5-3-4*0-1-2-5-7-9-13-12*4-1-2*11-3-1-2-5-7-14-6*8-14-6-9-10-11*4-3-5-14-6-9*
13,10.476466795615732,141,12-10-9-7-5-3-4*0-1-2-5-7-9-13-12*4-1-2*11-3-1-2-5-7-14-6*8-14-6-9-10-11*3-5-14-6-9*
14,10.518375241779497,130,12-10-9-7-5-3-4*0-1-2-5-7-9-13-12*4-1-2*11-3-1-2-5-7-14-6*8-14-6-9-10-11*5-14-6*
16,10.5531914893617,128,12-10-9-7-5-3-4*0-1-2-5-7-9-13-12*4-1-2*11-3-1-2-5-7-14-6*8-14-6-9-10-11*2-5*
15,10.582849774339136,126,12-10-9-7-5-3-4*0-1-2-5-7-9-13-12*4-1*11-3-1-2-5-7-14-6*8-14-6-9-10-11*5-14*
15,10.660863958736298,125,14-7*4-3-5-7-9-13-12-10*4-1-3-11*8-14-5*10-9-7-5-2-1-0*1-2-5-14-6-9-10-11*
41,10.684719535783366,124,6-14-7*4-3-5-7-9-13-12-10*4-1-3-11*8-14*10-9-7-5-2-1-0*1-2-5-14-6-9-10-11*
17,10.702127659574469,122,13-12-10-9-7-5-3-4*0-1-2-5-7-9-13*1-2*11-3-1-2-5-7-14-6*8-14-6-9-10-11*2-5*
36,10.720180528691166,120,13-12-10-9-7-5-3-4*0-1-2-5-14-6-9-13*11-3-1*2-1-4*8-14-6-9-10-11*7-14-6*
14,10.73565441650548,119,14-7*4-3-5-7-9-13-12*1-3-11*8-14-5*12-10-9-7-5-2-1-0*1-2-5-14-6-9-10-11*
28,10.752417794970986,118,13-12-10-9-7-5-3-4*0-1-2-5-14-6-9-13*11-3-1*2-1-4*8-14-6-9-10-11*7-14*
26,10.79110251450677,116,13-12-10-9-7-5-3-4*0-1-2-5-14-6-9-13*11-3-1*1-4*8-14-6-9-10-11*7-14*
18,10.827208252740167,114,13-12-10-9-7-5-3-4*0-1-2-5-7-9*1-2*11-3-1-2-5-7-14-6*8-14-6-9-10-11*2-5*
33,10.840747904577691,112,13-12-10-9-7-5-3-4*0-1-2-5-14-6-9*11-3-1*2-1-4*8-14-6-9-10-11*7-14-6*
27,10.872985170857511,110,13-12-10-9-7-5-3-4*0-1-2-5-14-6-9*11-3-1*2-1-4*8-14-6-9-10-11*7-14*
25,10.911669890393297,108,13-12-10-9-7-5-3-4*0-1-2-5-14-6-9*11-3-1*1-4*8-14-6-9-10-11*7-14*
21,10.954867827208252,107,14-7*4-3-5-7-9-13-12-10*1-3-11*8-14*6-14-7-5-2-1-0*1-2-5-14-6-9-10-11*
31,10.970341715022569,105,13-12-10-9-7-5-3-4*0-1-2-5-14-6*11-3-1*2-1-4*8-14-6-9-10-11*7-14-6*
22,11.002578981302385,103,13-12-10-9-7-5-3-4*0-1-2-5-14-6*4-1-2*11-3-1*8-14-6-9-10-11*7-14*
24,11.041263700838169,101,13-12-10-9-7-5-3-4*0-1-2-5-14-6*11-3-1*1-4*8-14-6-9-10-11*7-14*
30,11.109606705351386,99,13-12-10-9-7-5-3-4*0-1-2-5-14-6*11-3-1*2-1*8-14-6-9-10-11*7-14-6*
21,11.141843971631204,97,13-12-10-9-7-5-3-4*0-1-2-5-14-6*1-2*11-3-1*8-14-6-9-10-11*7-14*
18,11.223726627981948,96,14-7*4-3-5-7-9-13-12-10*1-3*8-14-5*7-5-2-1-0*1-2-5-14-6-9-10-11*
35,11.226305609284331,95,13-12-10-9-7-5-3-4*0-1-2-5-14-6*3-1*2-1-4*8-14-6-9-10-11*7-14-6*
23,11.258542875564151,93,13-12-10-9-7-5-3-4*0-1-2-5-14-6*4-1-2*3-1*8-14-6-9-10-11*7-14*
34,11.297227595099937,91,13-12-10-9-7-5-3-4*0-1-2-5-14-6*3-1*1-4*8-14-6-9-10-11*7-14*
29,11.365570599613152,89,13-12-10-9-7-5-3-4*0-1-2-5-14-6*3-1*2-1*8-14-6-9-10-11*7-14-6*
20,11.397807865892972,87,13-12-10-9-7-5-3-4*0-1-2-5-14-6*1-2*3-1*8-14-6-9-10-11*7-14*
26,11.547388781431335,86,10-12-13*14-8*9-6-14-5-3*9-10-11*4-3-1*0-1-2-5-7-9-13-12*
20,11.55705996131528,84,10-12*14-8*9-6-14-5-3*9-10-11*4-3-1*0-1-2-5-7-9-13-12*
36,11.740167633784656,83,9-10-11*1-3*6-14-5*8-14-6-9-10-12-13*9-7-5-2-1-0*5-3-4*
43,11.820116054158609,82,10-11*1-3*14-5*8-14-6-9-10-12-13*9-7-5-2-1-0*6-14-7-5-3-4*
44,11.831721470019342,81,10-11*1-3*6-14*8-14-6-9-10-12-13*9-7-5-2-1-0*6-14-7-5-3-4*
38,11.923920051579628,80,10-11*1-3*6-14-5*8-14-6-9-10-12-13*9-7-5-2-1-0*7-5-3-4*
32,11.972275950999355,78,10-11*1-3*6-14-5*8-14-6-9-10-12-13*9-7-5-2-1-0*5-3-4*
30,12.217279174725984,77,10-11*6-14*6-14-5*8-14-6-9-10-12-13*9-7-5-2-1-0*5-3-4*
35,12.281753707285622,76,10-11*1-3*14-5*8-14-6-9-10-12-13*9-7-5-2-1-0*5-3-4*
8,12.482914248871696,75,11-10*7-14*13-12-10-9-7-5-3-4*8-14-7-5-2-1-0*1-3*5-14-6*
33,12.745970341715022,74,10-11*1-3*6-14-5*8-14-6-9-10-12-13*9-7-5-2-1-0*3-4*
0,12.983236621534497,72,0-1-2-5-7-9*9-13-12*14-8*9-10-11*4-3-5-7-14-6*1-2*
33,13.25725338491296,71,14-8*1-3-4*11-10-9*12-13-9-7-5-2-1-0*5-7-14-6*12-13*
32,13.34107027724049,69,14-8*1-3-4*11-10-9*12-13-9-7-5-2-1-0*7-14-6*12-13*
2,13.374597034171504,68,11-10*0-1-2-5-7*12-13*8-14*4-3-5-14-6-9-10-12*14-5*
0,13.53900709219858,65,11-10*0-1-2-5*12-13*8-14*4-3-5-14-6-9-10-12*5-7*
0,14.106382978723405,63,10-9*14-8*4-3*11-10-12-13*0-1-2-5-7-14-6-9*3-1*
