,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:00:55.790374,0.24014961295257325
1,Run_10,0 days 00:00:32.952319,0.5226465794458394
2,Run_2,0 days 00:00:38.841980,0.3955909030839651
3,Run_3,0 days 00:00:30.664616,0.3279350929674704
4,Run_4,0 days 00:00:56.433008,0.5067457981426529
5,Run_5,0 days 00:00:31.839950,0.4190748505272095
6,Run_6,0 days 00:00:34.791278,0.3676714281709657
7,Run_7,0 days 00:01:05.108091,0.3350240878455495
8,Run_8,0 days 00:00:32.595522,0.5146100892631883
9,Run_9,0 days 00:00:34.181623,0.4233181557880909
