,f_1,f_2,R_x
0,15.76212882861819,592,18-0-28-16*6-16-28-25-22-19-12-18-0-17-11-3-1-9*27-2-21-5-6-13-18-22-17-19-0*1-4-24-20-7-16-27-2-29-15-21-10-6-13-0*23-9-1-3-14-11-17-22-0-13-6-21-10-7*15-10-27-7-20-14-11-17-22-19-12-8-26-0-18*17-11-3-1-23-14-20-24-4-7-25-0-18-19-12*29-27-15-5-6-16-7-14-23-1-9-3-4-20*6-2-15-21-10-29-27-16-28-17-19-12-8-26*11-3-23-14-20-7-25-0-18-13-6-5-21-10-16*19-8-12-17-28-7-16-27-2-10-15-6-13-18*17-22-19-12-0-25-11-3-4-24-20-14-23*
1,15.76262567220014,587,18-0-28-16*6-16-28-25-22-19-12-18-0-17-11-3-1-9*27-2-21-5-6-13-18-22-17-19-0*1-4-24-20-7-16-27-2-29-15-21-10-6-13-0*23-9-1-3-14-11-17-22-0-13-6-21-10-7*15-10-27-7-20-14-11-17-22-19-12-8-26-0-18*17-11-3-1-23-14-20-24-4-7-25-0-18-19-12*29-27-15-5-6-16-7-14-23-1-9-3-4-20*6-2-15-21-10-29-27-16-28-17-19-12-8-26*11-3-23-14-20-7-25-0-18-13-6-5-21-10-16*8-12-17-28-7-16-27-2-10-15-6-13-18*17-22-19-12-0-25-11-3-4-24-20-14-23*
2,15.828092120645312,579,18-0-28-16*6-16-28-25-22-19-12-18-0-17-11-3-1-9*27-2-21-5-6-13-18-22-17-19-0*1-4-24-20-7-16-27-2-29-15-21-10-6-13-0*23-9-1-3-14-11-17-22-0-13-6-21-10*15-10-27-7-20-14-11-17-22-19-12-8-26-0-18*17-11-3-1-23-14-20-24-4-7-25-0-18-19-12*29-27-15-5-6-16-7-14-23-1-9-3-4-20*6-2-15-21-10-29-27-16-28-17-19-12-8-26*11-3-23-14-20-7-25-0-18-13-6-5-21-10-16*8-12-17-28-7-16-27-2-10-15-6-13-18*17-22-19-12-0-25-11-3-4-24-20-14-23*
3,15.832096095393968,575,18-0-28-16*6-16-28-25-22-19-12-18-0-17-11-3-1-9*27-2-21-5-6-13-18-22-17-19-0*1-4-24-20-7-16-27-2-29-15-21-10-6-13-0*23-9-1-3-14-11-17-22-0-13-6-21-10*15-10-27-7-20-14-11-17-22-19-12-8-26-0-18*17-11-3-1-23-14-20-24-4-7-25-0-18-19-12*29-27-15-5-6-16-7-14-23-1-9-3-4*6-2-15-21-10-29-27-16-28-17-19-12-8-26*11-3-23-14-20-7-25-0-18-13-6-5-21-10-16*8-12-17-28-7-16-27-2-10-15-6-13-18*17-22-19-12-0-25-11-3-4-24-20-14-23*
4,15.884206219312604,569,18-0-28-16*6-16-28-25-22-19-12-18-0-17-11-3-1-9*27-2-21-5-6-13-18-22-17-19-0*1-4-24-20-7-16-27-2-29-15-21-10-6-13-0*23-9-1-3-14-11-17-22-0-13-6-21-10*15-10-27-7-20-14-11-17-22-19-12-8-26-0-18*17-11-3-1-23-14-20-24-4-7-25-0-18-19-12*29-27-15-5-6-16-7-14-23-1-9-3-4*6-2-15-21-10-29-27-16-28-17-19-12-8-26*11-3-23-14-20-7-25-0-18-13-6-5-21-10*8-12-17-28-7-16-27-2-10-15-6-13-18*17-22-19-12-0-25-11-3-4-24-20-14-23*
5,15.884673836801497,562,18-0-28-16*6-16-28-25-22-19-12-18-0-17-11-3-1-9*27-2-21-5-6-13-18-22-17-19-0*1-4-24-20-7-16-27-2-29-15-21-10-6-13-0*23-9-1-3-14-11-17-22-0-13-6-21-10*15-10-27-7-20-14-11-17-22-19-12-8-26-0-18*17-11-3-1-23-14-20-24-4-7-25-0-18-19-12*29-27-15-5-6-16-7-14-23-1-9-3*6-2-15-21-10-29-27-16-28-17-19-12-8-26*10-21-5-6-13-18-0-25-7-20-14-23-3-4*8-12-17-28-7-16-27-2-10-15-6-13-18*17-22-19-12-0-25-11-3-4-24-20-14-23*
7,15.920183539864391,544,18-0-28-16-27-29-10-21-15-2*6-16-28-25-22-19-12-18-0-17-11-3-1-9*2-21-6-13-0-22-17-11-14-3-1-9-23*1-4-24-20-7-16*10-21-5-6-13-18-22-17-19-0*16-15-10-27-7-20-14-11-17-22-19-12-8-26-0*17-11-3-1-23-14-7-16-6-5-15-27-29*9-1-23-14-20-24-4-7-25-0-18-19-12*6-10-21-15-29-2-27-16-28-17-19-12-8-26*21-5-6-13-18-0-25-7-20-14-23-3-4-24-1*12-17-28-7-16-27-2-10-15-6-13-18-22*17-22-19-12-0-25-11-3-4-24-20-14-23-9*
6,15.93175707271452,539,18-0-28-16-27-29-10-21-15-2*6-16-28-25-22-19-12-18-0-17-11-3-1-9*2-21-6-13-0-22-17-11-14-3-1-9-23*1-4-24-20-7-16*10-21-5-6-13-18-22-17-19-0*16-15-10-27-7-20-14-11-17-22-19-12-8-26-0*17-11-3-1-23-14-7-16-6-5-15-27-29*9-1-23-14-20-24-4-7-25-0-18-19-12*6-10-21-15-29-2-27-16-28-17-19-12-8-26*21-5-6-13-18-0-25-7-20-14-23-3-4-24*12-17-28-7-16-27-2-10-15-6-13-18-22*17-22-19-12-0-25-11-3-4-24-20-14-23-9*
8,15.96168459200374,536,18-0-28-16-27-29-10-21-15-2*16-28-25-22-19-12-18-0-17-11-3-1-9*2-21-6-13-0-22-17-11-14-3-1-9-23*1-4-24-20-7-16*10-21-5-6-13-18-22-17-19-0*16-15-10-27-7-20-14-11-17-22-19-12-8-26-0*17-11-3-1-23-14-7-16-6-5-15-27-29*1-23-14-20-24-4-7-25-0-18-19-12*6-10-21-15-29-2-27-16-28-17-19-12-8-26*21-5-6-13-18-0-25-7-20-14-23-3-4-24-1*12-17-28-7-16-27-2-10-15-6-13-18-22*17-22-19-12-0-25-11-3-4-24-20-14-23-9*
9,15.996785129763854,533,18-0-28-16-27-29-10-21-15-2*16-28-25-22-19-12-18-0-17-11-3-1-9*2-21-6-13-0-22-17-11-14-3-1-9-23*1-4-24-20-7-16*10-21-5-6-13-18-22-17-19-0*16-15-10-27-7-20-14-11-17-22-19-12-8-26-0*17-11-3-1-23-14-7-16-6-5-15-27-29*1-23-14-20-24-4-7-25-0-18-19-12*6-10-21-15-29-2-27-16-28-17-19-12-8-26*21-5-6-13-18-0-25-7-20-14-23-3-4-24-1*12-17-28-7-16-27-2-10-15-6-13-18-22*17-22-19-12-0-25-11-3-4-24-20-14-23*
