,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:11:02.738731,0.8167005033446998
1,Run_10,0 days 00:10:05.857875,0.805511420279889
2,Run_2,0 days 00:06:56.057652,0.8006364120100775
3,Run_3,0 days 00:05:36.173653,0.7885913805961648
4,Run_4,0 days 00:06:36.060606,0.7941427340653168
5,Run_5,0 days 00:10:45.194823,0.8230257873134813
6,Run_6,0 days 00:10:29.206007,0.8143449523323794
7,Run_7,0 days 00:09:30.912729,0.8080270167689645
8,Run_8,0 days 00:10:13.563371,0.8121663392450756
9,Run_9,0 days 00:07:44.722377,0.7985049734007524
