,test,count,mean,std,min,lq,med,uq,max,outliers,parameter,value,HV_overall
0,HV,9,0.735009513,0.043680642,0.647893669,0.734021635,0.754335737,0.759703378,0.772131382,0.509050441,B_Mutations_AMALGAM,5,0.787054576
0,HV,9,0.751758757,0.023407869,0.715686704,0.741830419,0.753908245,0.763586587,0.783372733,0.597808164,B_Mutations_AMALGAM,6,0.795485804
0,HV,9,0.761697605,0.017594375,0.742146423,0.748239373,0.758635841,0.775885208,0.793441749,0.669067928,B_Mutations_AMALGAM,7,0.798773219
0,HV,10,0.792821131,0.011737182,0.769427133,0.787827346,0.795259226,0.800149064,0.807658513,,B_Mutations_AMALGAM,8,0.816504647
0,HV,10,0.755324555,0.045637363,0.689295973,0.710311493,0.772436465,0.796596301,0.801951901,,B_Mutations_AMALGAM,5,0.81832014
0,HV,10,0.766279492,0.024436316,0.722423077,0.754853595,0.766579515,0.785492189,0.797616499,,B_Mutations_AMALGAM,6,0.801917657
0,HV,9,0.750037877,0.019746235,0.715708614,0.739950016,0.756263197,0.756976211,0.777590348,0.799003698,B_Mutations_AMALGAM,7,0.80458726
0,HV,10,0.797358551,0.017184782,0.768658342,0.783781594,0.797625211,0.812841109,0.819336571,,B_Mutations_AMALGAM,8,0.828155832
0,HV,10,0.699696142,0.050180723,0.620381244,0.657561758,0.709337506,0.743824755,0.764495081,,B_Mutations_AMALGAM,5,0.776311028
0,HV,10,0.724066025,0.080491181,0.54465583,0.67635268,0.753595142,0.781698196,0.792772192,,B_Mutations_AMALGAM,6,0.798016646
0,HV,9,0.770937027,0.018449309,0.737662337,0.757284356,0.769281591,0.786907113,0.790535852,0.677417856,B_Mutations_AMALGAM,7,0.804027733
0,HV,10,0.806165152,0.010774008,0.788591381,0.799037833,0.806769219,0.813800299,0.823025787,,B_Mutations_AMALGAM,8,0.828166676
