,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:04:59.286784,0.5975864450881212
1,Run_10,0 days 00:19:55.863432,0.7217462743400078
2,Run_2,0 days 00:17:38.904785,0.7383666684444901
3,Run_3,0 days 00:11:35.337511,0.7070188753433828
4,Run_4,0 days 00:18:14.374599,0.7104693137685403
5,Run_5,0 days 00:11:37.256999,0.6974616494348275
6,Run_6,0 days 00:11:56.065320,0.7123718019908709
7,Run_7,0 days 00:14:30.076400,0.7021459360176844
8,Run_8,0 days 00:21:55.718727,0.7203389713477484
9,Run_9,0 days 00:04:30.585289,0.635291114033761
