,f_1,f_2,R_x
1,23.65026970620454,1786,14-2-23-29-3-66-69-19-65-67-37-32-18-54-36-45-58-64-52-8-26-49-15-42-62-21-6-63*0-3-66-54-38-19-18-37-32-39-48-29-69-23-50-43-17-59-9-68-1-16-26-49-62-15-30-24-42*57-41-27-67-65-32-37-5-54-19-22-33-20-10-16-26-30-24-62-15-49-9-68-11-31-1-59-17-55*53-47-6-35-51-56-28-8-26-62-42-49-1-16-55-20-43-50-23-69-3-66-38-36-22-19-65-67-37-5*5-67-27-25-4-53-7-40-12-41-58-33-43-61-60-14-44-17-50-2-0-69-23-3-66-18-32-54*21-30-63-6-47-53-40-46-7-4-12-25-34-35-51-8-26-1-31-9-17-50-43-20-55-10-59-11*2-14-61-44-60-17-20-52-64-58-41-25-4-7-46-40-47-6-63-24-42-62*69-48-39-18-38-22-13-43-17-10-52-64-51-41-35-58-34-57-25-12-4-7-40-46-53-47-6-21-24-62*9-31-11-1-16-26-8-56-6-47-7-40-53-4-25-41-51-64-52-20-13-22-36-38-3-19-66-54-18-39*15-42-30-24-62-49-26-16-55-20-43-33-50-23-69-19-18-38-54-66-3-48-39-32-5-65-37-67-27-12*22-45-58-51-57-35-6-63-30-21-24-62-15-49-26-16-10-55-20-43-50-2-0-69-3-38-36-41-25*14-44-61-17-10-55-8-56-6-47-53-46-40-12-25-34-35-41-36-54-18-39-48-3-19-66-38*56-6-47-53-40-7-4-12-27-67-5-54-19-38-22-33-20-17-59-9-11-15-30-62-26-1*28-10-59-11-15-42-62-30-24-63-6-35-57-34-45-36-54-5-65-32-18-38-69-3-66-29-48-39*38-3-29-69-0-2-14-60-61-43-33-58-41-25-4-7-40-46-53-47-6-56-28-8-26-30-24-21-63*
0,23.671882544116045,1782,14-2-23-29-3-66-69-19-65-67-37-32-18-54-36-45-58-64-52-8-26-49-15-42-62-21-6-63*0-3-66-54-38-19-18-37-32-39-48-29-69-23-50-43-17-59-9-68-1-16-26-49-62-15-30-24-42*41-27-67-65-32-37-5-54-19-22-33-20-10-16-26-30-24-62-15-49-9-68-11-31-1-59-17-55*53-47-6-35-51-56-28-8-26-62-42-49-1-16-55-20-43-50-23-69-3-66-38-36-22-19-65-67-37-5*5-67-27-25-4-53-7-40-12-41-58-33-43-61-60-14-44-17-50-2-0-69-23-3-66-18-32-54*21-30-63-6-47-53-40-46-7-4-12-25-34-35-51-8-26-1-31-9-17-50-43-20-55-10-59-11*2-14-61-44-60-17-20-52-64-58-41-25-4-7-46-40-47-6-63-24-42-62*69-48-39-18-38-22-13-43-17-10-52-64-51-41-35-58-34-57-25-12-4-7-40-46-53-47-6-21-24-62*9-31-11-1-16-26-8-56-6-47-7-40-53-4-25-41-51-64-52-20-13-22-36-38-3-19-66-54-18-39*15-42-30-24-62-49-26-16-55-20-43-33-50-23-69-19-18-38-54-66-3-48-39-32-5-65-37-67-27-12*22-45-58-51-57-35-6-63-30-21-24-62-15-49-26-16-10-55-20-43-50-2-0-69-3-38-36-41-25*14-44-61-17-10-55-8-56-6-47-53-46-40-12-25-34-35-41-36-54-18-39-48-3-19-66-38*56-6-47-53-40-7-4-12-27-67-5-54-19-38-22-33-20-17-59-9-11-15-30-62-26-1*28-10-59-11-15-42-62-30-24-63-6-35-57-34-45-36-54-5-65-32-18-38-69-3-66-29-48-39*38-3-29-69-0-2-14-60-61-43-33-58-41-25-4-7-40-46-53-47-6-56-28-8-26-30-24-21-63*
2,23.672464008888102,1781,14-2-23-29-3-66-69-19-65-67-37-32-18-54-36-45-34-57-35-6-63-24-30-62-42-15-11-59-10-28*0-3-66-54-38-19-18-37-32-39-48-29-69-23-50-43-17-59-9-68-1-16-26-49-62-15-30-24-42*57-41-27-67-65-32-37-5-54-19-22-33-20-10-16-26-30-24-62-15-49-9-68-11-31-1-59-17-55*53-47-6-35-51-56-28-8-26-62-42-49-1-16-55-20-43-50-23-69-3-66-38-36-22-19-65-67-37-5*5-67-27-25-4-53-7-40-12-41-58-33-43-61-60-14-44-17-50-2-0-69-23-3-66-18-32-54*21-30-63-6-47-53-40-46-7-4-12-25-34-35-51-8-26-1-31-9-17-50-43-20-55-10-59-11*2-14-61-44-60-17-20-52-64-58-41-25-4-7-46-40-47-6-63-24-42-62*69-48-39-18-38-22-13-43-17-10-52-64-51-41-35-58-34-57-25-12-4-7-40-46-53-47-6-21-24-62*9-31-11-1-16-26-8-56-6-47-7-40-53-4-25-41-51-64-52-20-13-22-36-38-3-19-66-54-18-39*15-42-30-24-62-49-26-16-55-20-43-33-50-23-69-19-18-38-54-66-3-48-39-32-5-65-37-67-27-12*22-45-58-51-57-35-6-63-30-21-24-62-15-49-26-16-10-55-20-43-50-2-0-69-3-38-36-41*14-44-61-17-10-55-8-56-6-47-53-46-40-12-25-34-35-41-36-54-18-39-48-3-19-66-38*56-6-47-53-40-7-4-12-27-67-5-54-19-38-22-33-20-17-59-9-11-15-30-62-26-1*39-48-29-66-3-69-38-18-32-65-5-54-36-45-58-64-52-8-26-49-15-42-62-21-6-63*38-3-29-69-0-2-14-60-61-43-33-58-41-25-4-7-40-46-53-47-6-56-28-8-26-30-24-21-63*
3,23.67625910485575,1778,14-2-23-29-3-66-69-19-65-67-37-32-18-54-36-45-34-57-35-6-63-24-30-62-42-15-11-59-10-28*0-3-66-54-38-19-18-37-32-39-48-29-69-23-50-43-17-59-9-68-1-16-26-49-62-15-30-24-42*57-41-27-67-65-32-37-5-54-19-22-33-20-10-16-26-30-24-62-15-49-9-68-11-31-1-59-17-55*53-47-6-35-51-56-28-8-26-62-42-49-1-16-55-20-43-50-23-69-3-66-38-36-22-19-65-67-37-5*5-67-27-25-4-53-7-40-12-41-58-33-43-61-60-14-44-17-50-2-0-69-23-3-66-18-32-54*21-30-63-6-47-53-40-46-7-4-12-25-34-35-51-8-26-1-31-9-17-50-43-20-55-10-59-11*2-14-61-44-60-17-20-52-64-58-41-25-4-7-46-40-47-6-63-24-42-62*69-48-39-18-38-22-13-43-17-10-52-64-51-41-35-58-34-57-25-12-4-7-40-46-53-47-6-21-24-62*9-31-11-1-16-26-8-56-6-47-7-40-53-4-25-41-51-64-52-20-13-22-36-38-3-19-66-54-18-39*15-42-30-24-62-49-26-16-55-20-43-33-50-23-69-19-18-38-54-66-3-48-39-32-5-65-37-67-27-12*22-45-58-51-57-35-6-63-30-21-24-62-15-49-26-16-10-55-20-43-50-2-0-69-3-38-36-41*14-44-61-17-10-55-8-56-6-47-53-46-40-12-25-34-35-41-36-54-18-39-48-3-19-66-38*56-6-47-53-40-7-4-12-27-67-5-54-19-38-22-33-20-17-59-9-11-15-30-62-26-1*39-48-29-66-3-69-38-18-32-65-5-54-36-45-58-64-52-8-26-49-15-42-62-21-6-63*38-3-29-69-0-2-14-60-61-43-33-58-41-25-4-7-40-46-53-47-6-56-28-8-26-30-24-21*
4,23.705155827367264,1762,14-2-23-29-3-66-69-19-65-67-37-32-18-54-36-45-34-57-35-6-63-24-30-62-42-15-11-59-10-28*0-3-66-54-38-19-18-37-32-39-48-29-69-23-50-43-17-59-9-68-1-16-26-49-62-15-30-24-42*57-41-27-67-65-32-54-19-22-33-20-10-16-26-30-24-62-15-49-9-68-11-31-1-59-17-55*53-47-6-35-51-56-28-8-26-62-42-49-1-16-55-20-43-50-23-69-3-66-38-36-22-19-65-67-37-5*5-67-27-25-4-53-7-40-12-41-58-33-43-61-60-14-44-17-50-2-0-69-23-3-66-18-32-54*21-30-63-6-47-53-40-46-7-4-12-25-34-35-51-8-26-1-31-9-17-50-43-20-55-10-59-11*2-14-61-44-60-17-20-52-64-58-41-25-4-7-46-40-47-6-63-24-42-62*69-48-39-18-38-22-13-43-17-10-52-64-51-41-35-58-34-57-25-12-4-7-40-46-53-47-6-21-24-62*31-11-1-16-26-8-56-6-47-7-40-53-4-25-41-51-64-52-20-13-22-36-38-3-19-66-54-18-39*15-42-30-24-62-49-26-16-55-20-43-33-50-23-69-19-18-38-54-66-3-48-39-32-5-65-37-67-27-12*22-45-58-51-57-35-6-63-30-21-24-62-15-49-26-16-10-55-20-43-50-2-0-69-3-38-36-41*14-44-61-17-10-55-8-56-6-47-53-46-40-12-25-34-35-41-36-54-18-39-48-3-19-66-38*56-6-47-53-40-7-4-12-27-67-5-54-19-38-22-33-20-17-59-9-11-15-30-62-26-1*39-48-29-66-3-69-38-18-32-65-5-54-36-45-58-64-52-8-26-49-15-42-62-21-6*38-3-29-69-0-2-14-60-61-43-33-58-41-25-4-7-40-46-53-47-6-56-28-8-26-30-24-21*
81,23.713540341714385,975,51-56-28-8-10-17-61-14-2-50-33-58-34-35-6-63-30-26-1-31-9*30-26-1-9-59-10-52-64-58-41-12-4-53-47-6-63-24-42*23-0-69-29-3-38-19-54-5-67-27-25-34-51-64-52-20-17-60-44-14-2-50-33-22-36*2-23-3-66-19-65-67-27-25-57-35-64-52-55-10*68-59-10-28-56-6-21-24-30-26-1*41-34-57-51-56-28-8-26-49-11*39-32-18-38-22-33-20-10-16-1-49-15-42-24-21-63*66-3-69-19-36-41-25-4-7-40-46-53-47-6-56-8-55-17-61-44*18-37-32-65-5-54-38-69-23-50-43-61-60-44*19-29-48-39-18-54-36-45-58-64-52-8-26-30-15*48-29-23-50-43-20-55-16-26-49-42-15*31-11-59-17-43-13-22-45-41-34-35-51*37-5-32-39-48-3-0-50-17-9-11-15-42*61-14-2-0-69-18-65-37-67-27-41-51-8-26-1-68-9-11*65-32-39-48-66-38-36-41-35-6-21-24-62-26-16-10-17*
82,23.718140143393367,969,51-56-28-8-10-17-61-14-2-50-33-58-34-35-6-63-30-26-1-31*30-26-1-9-59-10-52-64-58-41-12-4-53-47-6-63-24-42*23-0-69-29-3-38-19-54-5-67-27-25-34-51-64-52-20-17-60-44-14-2-50-33-22-36*2-23-3-66-19-65-67-27-25-57-35-64-52-55-10*68-59-10-28-56-6-21-24-30-26-1*41-34-57-51-56-28-8-26-49-11*39-32-18-38-22-33-20-10-16-1-49-15-42-24-21-63*66-3-69-19-36-41-25-4-7-40-46-53-47-6-56-8-55-17-61-44*18-65-32-37-5-54-38-69-23-50-43-61-60-44*19-29-48-39-18-54-36-45-58-64-52-8-26-30-15*48-29-23-50-43-20-55-16-26-49-42-15*31-11-59-17-43-13-22-45-41-34-35-51*37-5-32-39-48-3-0-50-17-9-11-15-42*61-14-2-0-69-18-65-37-67-27-41-51-8-26-1-68-9-11*65-32-39-48-66-38-36-41-35-6-21-24-62-26-16-10-17*
83,23.72859612599096,963,51-56-28-8-10-17-61-14-2-50-33-58-34-35-6-63-30-26-1-31*30-26-1-9-59-10-52-64-58-41-12-4-53-47-6-63-24-42*23-0-69-29-3-38-19-54-5-67-27-25-34-51-64-52-20-17-60-44-14-2-50-33-22-36*23-3-66-19-65-67-27-25-57-35-64-52-55-10*68-59-10-28-56-6-21-24-30-26-1*41-34-57-51-56-28-8-26-49-11*39-32-18-38-22-33-20-10-16-1-49-15-42-24-21-63*66-3-69-19-36-41-25-4-7-40-46-53-47-6-56-8-55-17-61-44*18-65-32-37-5-54-38-69-23-50-43-61-60-44*19-29-48-39-18-54-36-45-58-64-52-8-26-30-15*48-29-23-50-43-20-55-16-26-49-42-15*31-11-59-17-43-13-22-45-41-34-35-51*37-5-32-39-48-3-0-50-17-9-11-15-42*61-14-2-0-69-18-65-37-67-27-41-51-8-26-1-68-9-11*65-32-39-48-66-38-36-41-35-6-21-24-62-26-16-10-17*
84,23.751496493040595,962,51-56-28-8-10-17-61-14-2-50-33-58-34-35-6-63-30-26-1-31*30-26-1-9-59-10-52-64-58-41-12-4-53-47-6-63-24-42*23-0-69-29-3-38-19-54-5-67-27-25-34-51-64-52-20-17-60-44-14-2-50-33-22-36*23-3-66-19-65-67-27-25-57-35-64-52-55-10*68-59-10-28-56-6-21-24-30-26-1*41-34-57-51-56-28-8-26-49-11*39-32-18-38-22-33-20-10-16-1-49-15-42-24-21-63*66-3-69-19-36-41-25-4-7-40-46-53-47-6-56-8-55-17-61-44*18-65-5-37-32-54-38-69-23-50-43-61-60-44*19-29-48-39-18-54-36-45-58-64-52-8-26-30-15*48-29-23-50-43-20-55-16-26-49-42-15*31-11-59-17-43-13-22-45-41-34-35-51*37-5-32-39-48-3-0-50-17-9-11-15-42*61-14-2-0-69-18-65-37-67-27-41-51-8-26-1-68-9-11*65-32-39-48-66-38-36-41-35-6-21-24-62-26-16-10-17*
85,23.755639429541525,958,51-56-28-8-10-17-61-14-2-50-33-58-34-35-6-63-30-26-1-31*30-26-1-9-59-10-52-64-58-41-12-4-53-47-6-63-24-42*0-69-29-3-38-19-54-5-67-27-25-34-51-64-52-20-17-60-44-14-2-50-33-22-36*23-3-66-19-65-67-27-25-57-35-64-52-55-10*68-59-10-28-56-6-21-24-30-26-1*41-34-57-51-56-28-8-26-49-11*39-32-18-38-22-33-20-10-16-1-49-15-42-24-21-63*66-3-69-19-36-41-25-4-7-40-46-53-47-6-56-8-55-17-61-44*18-65-5-37-32-54-38-69-23-50-43-61-60-44*19-29-48-39-18-54-36-45-58-64-52-8-26-30-15*48-29-23-50-43-20-55-16-26-49-42-15*31-11-59-17-43-13-22-45-41-34-35-51*37-5-32-39-48-3-0-50-17-9-11-15-42*61-14-2-0-69-18-65-37-67-27-41-51-8-26-1-68-9-11*65-32-39-48-66-38-36-41-35-6-21-24-62-26-16-10-17*
