,f_1,f_2,R_x
42,22.59212322899848,1344,63-21-24-30-26-16-10-20-43-50-23-69-3-48*18-54-66-3-0-50-13-22-45-41-12-4-53-47-6-56-28-10-17-44-61-43-33*10-28-56-51-35-58-33-13-20-52-55-16-26-49-15-11-9-59-1*31-9-68-59-10-8-56-6-47-7-40-4-25-57-51-64-52-55-17-61-14-2-50-33-58-41-27-67-5*19-3-69-66-18-32-54-36-45-58-64-52-55-10-59-68-9-16-26-8-51-35-34-25*21-30-42-15-49-26-8-51-34-45-36-54-18-39-32-65-19-29-69-0-50*66-48-39-32-5-37-65-18-38-22-33-20-10-16-1-49-15-42-24-63-6-35-57-34-45*38-69-48-66-19-36-41-35-6-63-24-62-30*30-21-6-35-41-36-54-32-39-48-29-23-50-17-59-1-49-62*65-54-66-38-22-33-20-17-59-11-31-1-26-8-51-41-27-67-37-5-18-69-3-29-19-36-45*62-42-49-11-68-9-17-43-13-22-19-54-18-5-67-27-25-12-4-53-47-6-56-28-8-26-1*7-40-46-53-47-6-56-8-55-20-43-50-0-69-38-36-41-34*40-7-4-25-41-36-38-3-23-2-14-44-60-17-10-16-26-30-63*18-5-65-37-67-27-25-4-7-46-40-12-41-34-35-64-52-20-17-44-60-61-43-33-22-45-36-54-19-3*15-42-62-26-8-52-64-58-33-22-45-34-35*
40,22.59404933105593,1343,63-21-24-30-26-16-10-20-43-50-23-69-3-48*18-54-66-3-0-50-13-22-45-41-12-4-53-47-6-56-28-10-17-44-61-43*10-28-56-51-35-58-33-13-20-52-55-16-26-49-15-11-9-59-1*31-9-68-59-10-8-56-6-47-7-40-4-25-57-51-64-52-55-17-61-14-2-50-33-58-41-27-67-5*19-3-69-66-18-32-54-36-45-58-64-52-55-10-59-68-9-16-26-8-51-35-34-25*21-30-42-15-49-26-8-51-34-45-36-54-18-39-32-65-19-29-69-0-50*66-48-39-32-5-37-65-18-38-22-33-20-10-16-1-49-15-42-24-63-6-35-57-34-45*38-69-48-66-19-36-41-35-6-63-24-62-30*30-21-6-35-41-36-54-32-39-48-29-23-50-17-59-1-49-62*65-54-66-38-22-33-20-17-59-11-31-1-26-8-51-41-27-67-37-5-18-69-3-29-19-36-45-34*62-42-49-11-68-9-17-43-13-22-19-54-18-5-67-27-25-12-4-53-47-6-56-28-8-26-1*7-40-46-53-47-6-56-8-55-20-43-50-0-69-38-36-41-34*40-7-4-25-41-36-38-3-23-2-14-44-60-17-10-16-26-30-63*18-5-65-37-67-27-25-4-7-46-40-12-41-34-35-64-52-20-17-44-60-61-43-33-22-45-36-54-19-3*15-42-62-26-8-52-64-58-33-22-45-34-35*
41,22.59667111417995,1338,63-21-24-30-26-16-10-20-43-50-23-69-3-48*18-54-66-3-0-50-13-22-45-41-12-4-53-47-6-56-28-10-17-44-61-43*10-28-56-51-35-58-33-13-20-52-55-16-26-49-15-11-9-59-1*31-9-68-59-10-8-56-6-47-7-40-4-25-57-51-64-52-55-17-61-14-2-50-33-58-41-27-67-5*19-3-69-66-18-32-54-36-45-58-64-52-55-10-59-68-9-16-26-8-51-35-34-25*21-30-42-15-49-26-8-51-34-45-36-54-18-39-32-65-19-29-69-0-50*66-48-39-32-5-37-65-18-38-22-33-20-10-16-1-49-15-42-24-63-6-35-57-34-45*38-69-48-66-19-36-41-35-6-63-24-62-30*30-21-6-35-41-36-54-32-39-48-29-23-50-17-59-1-49-62*65-54-66-38-22-33-20-17-59-11-31-1-26-8-51-41-27-67-37-5-18-69-3-29-19-36-45*62-42-49-11-68-9-17-43-13-22-19-54-18-5-67-27-25-12-4-53-47-6-56-28-8-26-1*7-40-46-53-47-6-56-8-55-20-43-50-0-69-38-36-41-34*40-7-4-25-41-36-38-3-23-2-14-44-60-17-10-16-26-30-63*18-5-65-37-67-27-25-4-7-46-40-12-41-34-35-64-52-20-17-44-60-61-43-33-22-45-36-54-19-3*15-42-62-26-8-52-64-58-33-22-45-34-35*
76,22.60156683989471,1294,9-59-10-52-64-58-41-12-40-46-7-47-6-56-8-55-17-50-23-69-66-18-54*57-34-41-12-4-53-47-6-56-8-26-1-68-9-17-43-13-22-36*42-30-15-11-68-1-16-55-52-64-58-45-36-54-5-37-67-27-41-51-8-26-62*12-40-7-4-25-41-36-19-66-3-0-50-43-20-55-16-26-30-24-21-62*31-11-49-26-8-52-64-35-58-33-43-61-60-44-14-2-0-69-38-36-41-57*14-61-17-9-31-1-16-10-55-20-13-33*65-39-32-54-36-45-34-35-6-21-24-42-49-1*61-60-44-14-2-23-69-18-65-37-5-54-38-22-33-20-17-59-11-31-1-26-8-51-35-57-25-12-4-40*60-17-20-52-64-51-57-25-12-27-67-37-65-32-39-48-29-19-36-41-35-6-63-24-62-15*62-26-16-55-20-33-22-45-41-27*21-30-26-8-28-56-51-41-36-54-65-5*62-15-49-26-8-51-58-45-36-38-66-48-29-69-3*27-25-34-58-33-50-2-14-44-17-10-16-26-30-63-6-35-41-45-22-13*39-48-29-23-50-17-59-1-49-62-24-21-6-47-40-53-7-4-25-27-67-5-18-19-22-33-20-10-28-56*69-19-54-36-45-34-51-8-26-62-42-15-11-9-17-50-23-3-29-48*
77,22.61846046818297,1292,9-59-10-52-64-58-41-12-40-46-7-47-6-56-8-55-17-50-23-69-66-18-54*57-34-41-12-4-53-47-6-56-8-26-1-68-9-17-43-13-22-36*42-30-15-11-68-1-16-55-52-64-58-45-36-54-5-37-67-27-41-51-8-26-62*12-40-7-4-25-41-36-19-66-3-0-50-43-20-55-16-26-30-24-21-62*31-11-49-26-8-52-64-35-58-33-43-61-60-44-14-2-0-69-38-36-41-57*14-61-17-9-31-1-16-10-55-20-13-33*65-39-32-54-36-45-34-35-6-21-24-42-49-1*61-60-44-14-2-23-69-18-65-37-5-54-38-22-33-20-17-59-11-31-1-26-8-51-35-57-25-12-4-40*60-17-20-52-64-51-57-25-12-27-67-37-65-32-39-48-29-19-36-41-35-6-63-24-62-15*62-26-16-55-20-33-22-45-41-27*21-30-26-8-28-56-51-41-36-54-65-5*62-15-49-26-8-51-58-45-36-38-66-48-29-3*27-25-34-58-33-50-2-14-44-17-10-16-26-30-63-6-35-41-45-22-13*39-48-29-23-50-17-59-1-49-62-24-21-6-47-40-53-7-4-25-27-67-5-18-19-22-33-20-10-28-56*69-19-54-36-45-34-51-8-26-62-42-15-11-9-17-50-23-3-29-48*
78,22.619254790594805,1286,9-59-10-52-64-58-41-12-40-46-7-47-6-56-8-55-17-50-23-69-66-18-54*57-34-41-12-4-53-47-6-56-8-26-1-68-9-17-43-13-22-36*42-30-15-11-68-1-16-55-52-64-58-45-36-54-5-37-67-27-41-51-8-26-62*12-40-7-4-25-41-36-19-66-3-0-50-43-20-55-16-26-30-24-21-62*31-11-49-26-8-52-64-35-58-33-43-61-60-44-14-2-0-69-38-36-41-57*14-61-17-9-31-1-16-10-55-20-13-33*39-32-54-36-45-34-35-6-21-24-42-49-1*61-60-44-14-2-23-69-18-65-37-5-54-38-22-33-20-17-59-11-31-1-26-8-51-35-57-25-12-4-40*60-17-20-52-64-51-57-25-12-27-67-37-65-32-39-48-29-19-36-41-35-6-63-24-62-15*62-26-16-55-20-33-22-45-41-27*21-30-26-8-28-56-51-41-36-54-65-5*62-15-49-26-8-51-58-45-36-38-66-48-29-3*27-25-34-58-33-50-2-14-44-17-10-16-26-30-63-6-35-41-45-22-13*39-48-29-23-50-17-59-1-49-62-24-21-6-47-40-53-7-4-25-27-67-5-18-19-22-33-20-10-28-56*69-19-54-36-45-34-51-8-26-62-42-15-11-9-17-50-23-3-29-48*
79,22.623579434837012,1280,9-59-10-52-64-58-41-12-40-46-7-47-6-56-8-55-17-50-23-69-66-18-54*57-34-41-12-4-53-47-6-56-8-26-1-68-9-17-43-13-22-36*30-15-11-68-1-16-55-52-64-58-45-36-54-5-37-67-27-41-51-8-26-62*12-40-7-4-25-41-36-19-66-3-0-50-43-20-55-16-26-30-24-21-62*31-11-49-26-8-52-64-35-58-33-43-61-60-44-14-2-0-69-38-36-41-57*14-61-17-9-31-1-16-10-55-20-13-33*39-32-54-36-45-34-35-6-21-24-42-49-1*61-60-44-14-2-23-69-18-65-37-5-54-38-22-33-20-17-59-11-31-1-26-8-51-35-57-25-12-4-40*60-17-20-52-64-51-57-25-12-27-67-37-65-32-39-48-29-19-36-41-35-6-63-24-62-15*62-26-16-55-20-33-22-45-41-27*21-30-26-8-28-56-51-41-36-54-65-5*62-15-49-26-8-51-58-45-36-38-66-48-29-3*27-25-34-58-33-50-2-14-44-17-10-16-26-30-63-6-35-41-45-22-13*39-48-29-23-50-17-59-1-49-62-24-21-6-47-40-53-7-4-25-27-67-5-18-19-22-33-20-10-28-56*69-19-54-36-45-34-51-8-26-62-42-15-11-9-17-50-23-3-29-48*
80,22.6244516319951,1271,9-59-10-52-64-58-41-12-40-46-7-47-6-56-8-55-17-50-23-69-66-18-54*57-34-41-12-4-53-47-6-56-8-26-1-68-9-17-43-13-22-36*30-15-11-68-1-16-55-52-64-58-45-36-54-5-37-67-27-41-51-8-26-62*40-7-4-25-41-36-19-66-3-0-50-43-20-55-16-26-30-24-21-62*31-11-49-26-8-52-64-35-58-33-43-61-60-44-14-2-0-69-38-36-41-57*14-61-17-9-31-1-16-10-55-20-13-33*39-32-54-36-45-34-35-6-21-24-42-49-1*61-60-44-14-2-23-69-18-65-37-5-54-38-22-33-20-17-59-11-31-1-26-8-51-35-57-25-12-4-40*60-17-20-52-64-51-57-25-12-27-67-37-65-32-39-48-29-19-36-41-35-6-63-24-62-15*62-26-16-55-20-33-22-45-41-27*21-30-26-8-28-56-51-41-36-54-65-5*62-15-49-26-8-51-58-45-36-38-66-48-29-3*27-25-34-58-33-50-2-14-44-17-10-16-26-30-63-6-35-41-45-22-13*39-48-29-23-50-17-59-1-49-62-24-21-6-47-40-53-7-4-25-27-67-5-18-19-22-33-20-10-28-56*69-19-54-36-45-34-51-8-26-62-42-15-11-9-17-50-23-3-29-48*
81,22.62783658763245,1268,9-59-10-52-64-58-41-12-40-46-7-47-6-56-8-55-17-50-23-69-66-18-54*57-34-41-12-4-53-47-6-56-8-26-1-68-9-17-43-13-22-36*30-15-11-68-1-16-55-52-64-58-45-36-54-5-37-67-27-41-51-8-26-62*40-7-4-25-41-36-19-66-3-0-50-43-20-55-16-26-30-24-21-62*31-11-49-26-8-52-64-35-58-33-43-61-60-44-14-2-0-69-38-36-41-57*14-61-17-9-31-1-16-10-55-20-13-33*39-32-54-36-45-34-35-6-21-24-42-49-1*61-60-44-14-2-23-69-18-65-37-5-54-38-22-33-20-17-59-11-31-1-26-8-51-35-57-25-12-4-40*60-17-20-52-64-51-57-25-12-27-67-37-65-32-39-48-29-19-36-41-35-6-63-24-62-15*62-26-16-55-20-33-22-45-41-27*21-30-26-8-28-56-51-41-36-54-65-5*62-15-49-26-8-51-58-45-36-38-66-48-29-3*27-25-34-58-33-50-2-14-44-17-10-16-26-30-63-6-35-41-45-22-13*39-48-29-23-50-17-59-1-49-62-24-21-6-47-40-53-4-25-27-67-5-18-19-22-33-20-10-28-56*69-19-54-36-45-34-51-8-26-62-42-15-11-9-17-50-23-3-29-48*
82,22.63547869606525,1267,9-59-10-52-64-58-41-12-40-46-7-47-6-56-8-55-17-50-23-69-66-18-54*57-34-41-12-4-53-47-6-56-8-26-1-68-9-17-43-13-22-36*30-15-11-68-1-16-55-52-64-58-45-36-54-5-37-67-27-41-51-8-26-62*40-7-4-25-41-36-19-66-3-0-50-43-20-55-16-26-30-24-21-62*31-11-49-26-8-52-64-35-58-33-43-61-60-44-14-2-0-69-38-36-41-57*14-61-17-9-31-1-16-10-55-20-13-33*39-32-54-36-45-34-35-6-21-24-42-49-1*61-60-44-14-2-23-69-18-65-37-5-54-38-22-33-20-17-59-11-31-1-26-8-51-35-57-25-12-40*60-17-20-52-64-51-57-25-12-27-67-37-65-32-39-48-29-19-36-41-35-6-63-24-62-15*62-26-16-55-20-33-22-45-41-27*21-30-26-8-28-56-51-41-36-54-65-5*62-15-49-26-8-51-58-45-36-38-66-48-29-3*27-25-34-58-33-50-2-14-44-17-10-16-26-30-63-6-35-41-45-22-13*39-48-29-23-50-17-59-1-49-62-24-21-6-47-40-53-4-25-27-67-5-18-19-22-33-20-10-28-56*69-19-54-36-45-34-51-8-26-62-42-15-11-9-17-50-23-3-29-48*
