,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:03:06.394187,0.7812711494487627
1,Run_10,0 days 00:01:54.032254,0.6969040210483318
2,Run_2,0 days 00:01:56.737730,0.7564776882075679
3,Run_3,0 days 00:01:36.252360,0.7687959280928753
4,Run_4,0 days 00:02:14.768492,0.794499241122738
5,Run_5,0 days 00:02:48.791172,0.7753467007861088
6,Run_6,0 days 00:02:16.700021,0.7802323485949756
7,Run_7,0 days 00:02:54.706806,0.8013175230566535
8,Run_8,0 days 00:01:32.936231,0.7195037463307584
9,Run_9,0 days 00:05:08.099052,0.833447465269852
