,f_1,f_2,R_x
1,15.751665887304185,656,5-15-2-6-16-7-20-23-9-1-14*19-8-26-0-25-28-16-6-15-10-27-7-4-14-24*3-11-17-12-18-22-25-28-16-2-7*2-27-10-15-16-28-17-19-12-0-25-11-14-23-4*4-1-24-20-23-9-3-11-17-22-0-28-7-10*21-15-5-6-13-0-12-18-22-19-17*27-16-6-13-0-18-22-25-28-7-24-23-1*10-29-27-16-7-4-24-3-11-17-19-8-12-0-18*29-27-7-25-22-0-28-16-15-5-21-2-10-6-13*0-26-8-12-22-25-7-10-21-5-15-29-2*9-1-3-11-25-0-18-12-19-17-28-7-20-14*10-16-15-5-21-6-13-18-12-19-8-26-0*
2,15.782937806873978,650,5-15-2-6-16-7-20-23-9-1-14*19-8-26-0-25-28-16-6-15-10-27-7-4-14-24*3-11-17-12-18-22-25-28-16-2-7*2-27-10-15-16-28-17-19-12-0-25-11-14-23-4*1-24-20-23-9-3-11-17-22-0-28-7-10*21-15-5-6-13-0-12-18-22-19-17*27-16-6-13-0-18-22-25-28-7-24-23-1*10-29-27-16-7-4-24-3-11-17-19-8-12-0-18*29-27-7-25-22-0-28-16-15-5-21-2-10-6-13*0-26-8-12-22-25-7-10-21-5-15-29-2*9-1-3-11-25-0-18-12-19-17-28-7-20-14*10-16-15-5-21-6-13-18-12-19-8-26-0*
3,15.7999473930325,647,5-15-2-6-16-7-20-23-3-9-1-14*19-8-26-0-25-28-16-6-15-10-27-7-4-14-24*3-11-25-0-12-19-17-28-16-15-10-27-2*4-23-14-11-17-12-0-18-22-25-28-16-2-7*1-24-20-23-9-3-11-17-22-0-28-7*21-15-5-6-13-0-12-18-22-19-17*27-16-6-13-0-18-22-25-28-7-24-23-1*10-29-27-16-7-4-24-3-11-17-19-8-12-0-18*29-27-7-25-22-0-28-16-15-5-21-2-10-6-13*0-26-8-12-22-25-7-10-21-5-15-29-2*9-1-3-11-25-0-18-12-19-17-28-7-14-20*10-16-15-5-21-6-13-18-12-19-8-26-0*
19,15.813771335047932,468,24-4-3-23-14-11-17-22-0-13-6-15-10-27-7*21-10-7-25*17-19-18-0-28-7-4-24-1-3-9-23-20*22-17-11-3-9-23-14-7-10-21-5-6-13-0-26*26-8-19-17-22-25-7-2-29-10-21*8-12-0-25-7-20-24-3-11-17-18*23-4-20*21-10-27-16-28-25-22-19*11-17-12-8-26-0-18-13-6-15-10-2-29-27-16*7-4-1-14-20-23*18-22-19-12-17-28-16-15-5*1-3-4-7-16-6-2-21-15-27*
18,15.824818798223054,466,24-4-3-23-14-11-17-22-0-13-6-15-10-27-7*21-10-7-25*17-19-18-0-28-7-4-24-1-3-9-23-20*22-17-11-3-9-23-14-7-10-21-5-6-13-0-26*26-8-19-17-22-25-7-2-29-10-21*8-12-0-25-7-20-24-3-11-17-18*23-4-20*21-10-27-16-28-25-22-19*11-17-12-8-26-0-18-13-6-15-10-2-29-27-16*7-4-1-14-20-23*22-19-12-17-28-16-15-5*1-3-4-7-16-6-2-21-15-27*
17,15.844049567453824,463,24-4-3-23-14-11-17-22-0-13-6-15-10-27-7*21-10-7*17-19-18-0-28-7-4-24-1-3-9-23-20*22-17-11-3-9-23-14-7-10-21-5-6-13-0-26*26-8-19-17-22-25-7-2-29-10-21*19-8-12-0-25-7-20-24-3-11-17-18*23-4-20*21-10-27-16-28-25-22-19*11-17-12-8-26-0-18-13-6-15-10-2-29-27-16*7-4-1-14-20-23*19-12-17-28-16-15-5*1-3-4-7-16-6-2-21-15-27*
20,15.869651624970771,462,24-4-3-23-14-11-17-22-0-13-6-15-10-27-7*21-10-7-25*17-19-18-0-28-7-4-24-1-3-9-23-20*22-17-11-3-9-23-14-7-10-21-5-6-13-0-26*26-8-19-17-22-25-7-2-29-10-21*8-12-0-25-7-20-24-3-11-17-18*23-4-20*21-10-27-16-28-17-12-19-22-18*11-17-12-8-26-0-18-13-6-15-10-2-29-27-16*7-4-1-14-20-23*15-16-28-25-22-19*1-3-4-7-16-6-2-21-15-27*
21,15.87187280804302,456,24-4-3-23-14-11-17-22-0-13-6-15-10-27-7*21-10-7-25*17-19-18-0-28-7-4-24-1-3-9-23-20*22-17-11-3-9-23-14-7-10-21-5-6-13-0-26*26-8-19-17-22-25-7-2-29-10-21*8-12-0-25-7-20-24-3-11-17-18*23-4-20*21-10-27-16-28-17-12-19-22-18*11-17-12-8-26-0-18-13-6-15-10-2-29-27-16*7-4-1-14-20-23*15-16-28-25-22-19*1-3-4-7-16-6-2-21-15*
22,15.935030395136778,451,24-4-3-23-14-11-17-22-0-13-6-15-10-27-7*21-10-7-25*17-19-18-0-28-7-4-24-1-3-9-23-20*22-17-11-3-9-23-14-7-10-21-5-6-13-0-26*26-8-19-17-22-25-7-2-29-10-21*8-12-0-25-7-20-24-3-11-17-18*23-4-20*10-27-16-28-17-12-19-22-18*11-17-12-8-26-0-18-13-6-15-10-2-29-27-16*7-4-1-14-20-23*15-16-28-25-22-19*1-3-4-7-16-6-2-21-15*
23,15.962502922609303,448,24-4-3-23-14-11-17-22-0-13-6-15-10-27-7*21-10-7-25*17-19-18-0-28-7-4-24-1-3-9-23-20*22-17-11-3-9-23-14-7-10-21-5-6-13-0-26*26-8-19-17-22-25-7-2-29-10-21*8-12-0-25-7-20-24-3-11-17-18*23-4-20*10-27-16-28-17-12-19-22-18*11-17-12-8-26-0-18-13-6-15-10-2-29-27*7-4-1-14-20-23*15-16-28-25-22-19*1-3-4-7-16-6-2-21-15*
