,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:20:30.816848,0.7243009045041352
1,Run_10,0 days 00:19:58.674062,0.7303606321946328
2,Run_2,0 days 00:22:12.785838,0.7517698179934946
3,Run_3,0 days 00:21:24.683274,0.7218502436404899
4,Run_4,0 days 00:19:23.730550,0.7310559741671925
5,Run_5,0 days 00:18:45.419930,0.7204232265460428
6,Run_6,0 days 00:20:18.149630,0.7307818440304485
7,Run_7,0 days 00:22:52.254576,0.7278243084523561
8,Run_8,0 days 00:20:40.714628,0.7227023117084654
9,Run_9,0 days 00:20:49.022104,0.7272439289632812
