,R_x,f_1,f_2,Generation,Rank
0,2-1-4-3-5-7-9-13*4-3-11-10-9-6-14-8*0-1-4-3-5-7-14-6*0-1-2-5-14-6*0-1-2-5-7-9-10-12*0-1-3-11-10-12-13*,10.18762088974855,197.0,350,0.0
0,9-13-12-10-11-3-1-0*0-1-4-3-5-7-9-10*6-14-7-5-3-4-1-2*0-1-2-5-7-9-10-12*0-1-2-5-14-6*11-10-9-6-14-8*,10.202450032237266,188.0,341,0.0
1,2-1-4-3-5-7-9-13*11-10-9-6-14-8*0-1-4-3-5-7-14-6*0-1-2-5-14-6*0-1-2-5-7-9-10-12*0-1-3-11-10-12-13*,10.207607994842038,183.0,397,0.0
2,0-1-2-5-14-6*4-3-5-7-14-6*0-1-2-5-7-9-10-12*0-1-3-11-10-12-13-9*8-14-6-9-10-11*0-1-4-3-5-7-9-10*,10.24113475177305,180.0,91,0.0
3,6-14-7-5-3-4-1-2*0-1-2-5-7-9-10-12*8-14-6-9-10-11*9-13-12-10-11-3-1-0*12-10-9-7-5-3-4*0-1-2-5-14-6*,10.249516441005802,179.0,281,0.0
4,0-1-3-11-10-12-13-9*0-1-2-5-14-6*0-1-2-5-7-9-10-12*10-9-7-5-3-4*6-14-7-5-3-4-1-2*8-14-6-9-10-11*,10.254029658284978,174.0,267,0.0
5,0-1-4-3-5-7-9-13*11-10-9-6-14-8*4-1-2-5-14-6*0-1-3-5-7-14-6*4-3-11-10-12-13*0-1-2-5-7-9-10-12*,10.263700838168925,173.0,154,0.0
0,4-3-1-0*0-1-2-5-7-9-10-12*0-1-2-5-14-6*4-3-5-7-9-13-12-10*4-3-11-10-9-6-14-8*2-1-4-3-5-7-14-6*,10.267569310122502,167.0,129,0.0
1,4-3-5-7-9-13-12-10*0-1-2-5-14-6*0-1-2-5-7-9-10-12*4-3-1-0*1-3-11-10-9-6-14-8*2-1-4-3-5-7-14-6*,10.274661508704062,166.0,177,0.0
2,4-3-5-7-9-13-12*0-1-2-5-14-6*0-1-2-5-7-9-10-12*4-3-1-0*4-3-11-10-9-6-14-8*2-1-4-3-5-7-14-6*,10.277240490006449,162.0,141,0.0
3,4-3-5-7-9-13-12*0-1-2-5-14-6*0-1-2-5-7-9-10-12*4-3-1-0*1-3-11-10-9-6-14-8*2-1-4-3-5-7-14-6*,10.284332688588009,161.0,155,0.0
4,4-3-5-7-9-13-12*0-1-2-5-14-6*0-1-2-5-7-9-10-12*4-3-1-0*3-11-10-9-6-14-8*2-1-4-3-5-7-14-6*,10.297227595099937,158.0,146,0.0
4,0-1-3-5-7-14-6*0-1-4*4-3-5-7-9-13-12*4-1-2-5-14-6*8-14-6-9-10-11-3-1*0-1-2-5-7-9-10-12*,10.323662153449389,157.0,119,0.0
6,4-3-1-0*0-1-2-5-7-9-10-12*0-1-2-5-14-6*4-3-5-7-9-13-12*4-3-11-10-9-6-14-8*4-3-5-7-14-6*,10.326241134751774,154.0,114,0.0
7,1-3-11-10-9-6-14-8*4-3-1-0*4-3-5-7-9-13-12*0-1-2-5-14-6*0-1-2-5-7-9-10-12*4-3-5-7-14-6*,10.333333333333334,153.0,175,0.0
8,4-3-5-7-9-13-12*0-1-2-5-7-9-10-12*0-1-2-5-14-6*0-1-3-4*4-3-11-10-9-6-14-8*3-5-7-14-6*,10.344294003868471,150.0,121,0.0
9,4-3-1-0*0-1-2-5-7-9-10-12*0-1-2-5-14-6*4-3-5-7-9-13-12*1-3-11-10-9-6-14-8*3-5-7-14-6*,10.351386202450032,149.0,147,0.0
10,4-3-5-7-9-13-12*0-1-2-5-7-9-10-12*4-1-2-5-14-6*0-1-3-4*4-3-11-10-9-6-14-8*3-5-7-14-6*,10.353965183752418,148.0,130,0.0
11,4-3-5-7-9-13-12*0-1-2-5-7-9-10-12*4-1-2-5-14-6*0-1-3-4*1-3-11-10-9-6-14-8*3-5-7-14-6*,10.361057382333978,147.0,224,0.0
10,4-3-5-7-14-6*2-1-4*0-1-2-5-14-6*0-1-2-5-7-9-10-12*8-14-6-9-10-11-3-1*4-3-5-7-9-13-12*,10.36428110896196,146.0,223,0.0
13,4-3-5-7-9-13-12*0-1-2-5-7-9-10-12*4-1-2-5-14-6*0-1-3-4*3-11-10-9-6-14-8*3-5-7-14-6*,10.373952288845906,144.0,153,0.0
21,0-1-2-5-7-9-10-12*4-3-11-10-9-6-14-8*0-1-3-4*6-14-7*12-13-9-7-5-3-4*6-14-5-2-1-3-4*,10.381044487427468,143.0,209,0.0
12,3-5-7-14-6*2-1-4*0-1-2-5-14-6*0-1-2-5-7-9-10-12*8-14-6-9-10-11-3-1*4-3-5-7-9-13-12*,10.38233397807866,142.0,143,0.0
16,7-14-6*1-3-11-10-9-6-14-8*4-1-2-5-14-6*4-3-5-7-9-13-12*0-1-2-5-7-9-10-12*4-3-1-0*,10.39458413926499,141.0,215,0.0
25,4-3-5-7-9-13*13-12*0-1-2-5-7-9-10-12*0-1-3-5-7-14-6*3-11-10-9-6-14-8*4-1-2-5-14-6*,10.397807865892972,140.0,133,0.0
24,4-3-1-0*4-3-1-2-5-14-6*7-14-6*3-11-10-9-6-14-8*12-13-9-7-5-3-4*12-10-9-7-5-2-1-0*,10.401031592520956,139.0,223,0.0
25,12-13-9-7-5-3-4*4-3-1-0*4-1-2-5-14-6*7-14-6*3-11-10-9-6-14-8*0-1-2-5-7-9-10-12*,10.40747904577692,138.0,347,0.0
