,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:07:11.211763,0.8032137706405664
1,Run_10,0 days 00:07:19.416248,0.8105349475640128
2,Run_11,0 days 00:07:12.015421,0.8123661879496588
3,Run_12,0 days 00:07:21.566227,0.8081591002306856
4,Run_13,0 days 00:07:12.183859,0.8130674212714947
5,Run_14,0 days 00:07:15.523117,0.8083197371335031
6,Run_15,0 days 00:07:11.289442,0.8150602047363713
7,Run_16,0 days 00:07:12.287921,0.8132307970100261
8,Run_17,0 days 00:07:16.323679,0.8138271093177516
9,Run_18,0 days 00:07:08.124555,0.8174231879182652
10,Run_19,0 days 00:07:01.219803,0.814248255440338
11,Run_2,0 days 00:07:19.197069,0.8146261513110938
12,Run_20,0 days 00:07:23.416939,0.8090836032368357
13,Run_3,0 days 00:07:13.643380,0.8105810229540729
14,Run_4,0 days 00:07:14.080125,0.811398071713451
15,Run_5,0 days 00:07:10.381817,0.8053623453758441
16,Run_6,0 days 00:07:17.963561,0.8094242011910233
17,Run_7,0 days 00:07:16.888617,0.8121149790950939
18,Run_8,0 days 00:07:06.778418,0.8079034163368589
19,Run_9,0 days 00:07:18.079527,0.8150815341492554
20,Average,0 days 00:07:14.079574400,0.8112513022288101
