,R_x,f_1,f_2,Generation,Rank
0,54-32-39-18-19-38-22-33-20-17-9-11-31*60-14-2-50-13-22-45-41-25-12-4-40*53-46-7-47-6-63-24-30-26-1-31-11*69-18-67-37-65-5-54-36-22-13*65-39-48-69-0-50-43-20-55-10-16-26-30-24-63-21-6-35-58-33-13*4-53-47-6-56-8-28-10-17-61-44-14*46-40-4-25-57-35-51-64-52-20-17-61-43-13*63-30-42-15-49-26-8-51-41-45-36-54-18-39-48-29-23-50-17*62-26-16-55-52-64-58-45-36-54-65-32*47-53-4-25-41-36-38-69-23-0-2-50-17-55-20*5-32-39-48-3-69-23-50-43-17-59-1-49-15-42-24-63*29-3-66-19-36-45-41-25-4-7-46*40-7-47-6-56-28-8-26-49-11-68-59-10-20-13-33-58-41-57-34-45*48-3-66-38-36-45-34-35-51-56-28-8-26-16-1-9-17-60*42-62-21-63-6-35-41-27-67-37-5-54-38-22-33-43-61-60-44-17-20*,24.0043142609427,927.0,399,0.0
1,54-32-39-18-19-38-22-33-20-17-9-11-31*60-14-2-50-13-22-45-41-25-12-4-40*53-46-40-4-25-57-35-51-64-52-20-17-61-43-13*69-18-67-37-65-5-54-36-22-13*65-39-48-69-0-50-43-20-55-10-16-26-30-24-63-21-6-35-58-33-13*4-53-47-6-56-8-28-10-17-61-44-14*46-7-47-6-63-24-30-26-1-31-11*63-30-42-15-49-26-8-51-41-45-36-54-18-39-48-29-23-50-17*62-26-16-55-52-64-58-45-36-54-65-32*47-53-4-25-41-36-38-69-23-0-2-50-17-55-20*5-32-39-48-3-69-23-50-43-17-59-1-49-15-42-24-63*29-3-66-19-36-45-41-25-4-7-46*40-7-47-6-56-28-8-26-49-11-68-59-10-20-13-33-58-41-57-34-45*48-3-66-38-36-45-34-35-51-56-28-8-26-16-1-9-17-60*42-62-21-63-6-35-41-27-67-37-5-54-38-22-33-43-61-60-44-17*,24.005606981730583,923.0,391,0.0
2,54-32-39-18-19-38-22-33-20-17-9-11-31*60-14-2-50-13-22-45-41-25-12-4-40*53-46-40-4-25-57-35-51-64-52-20-17-61-43-13*69-18-67-37-65-5-54-36-22-13*65-39-48-69-0-50-43-20-55-10-16-26-30-24-63-21-6-35-58-33-13*4-53-47-6-56-8-28-10-17-61-44-14*46-7-47-6-63-24-30-26-1-31-11*63-30-42-15-49-26-8-51-41-45-36-54-18-39-48-29-23-50-17*62-26-16-55-52-64-58-45-36-54-65-32*47-53-4-25-41-36-38-69-23-0-2-50-17-55-20*5-32-39-48-3-69-23-50-43-17-59-1-49-15-42-24-63*29-3-66-19-36-45-41-25-4-7-46*40-7-47-6-56-28-8-26-49-11-68-59-10-20-13-33-58-41-57-34-45*48-3-66-38-36-45-34-35-51-56-28-8-26-16-1-9-17-60*42-62-21-63-6-35-41-27-67-37-5-54-38-22-33-43-61-60-44*,24.014495086103512,915.0,397,0.0
3,54-32-39-18-19-38-22-33-20-17-9-11-31*60-14-2-50-13-22-45-41-25-12-4-40*46-40-4-25-57-35-51-64-52-20-17-61-43-13*69-18-67-37-65-5-54-36-22-13*65-39-48-69-0-50-43-20-55-10-16-26-30-24-63-21-6-35-58-33-13*4-53-47-6-56-8-28-10-17-61-44-14*46-7-47-6-63-24-30-26-1-31-11*63-30-42-15-49-26-8-51-41-45-36-54-18-39-48-29-23-50-17*62-26-16-55-52-64-58-45-36-54-65-32*47-53-4-25-41-36-38-69-23-0-2-50-17-55-20*5-32-39-48-3-69-23-50-43-17-59-1-49-15-42-24-63*29-3-66-19-36-45-41-25-4-7-46*40-7-47-6-56-28-8-26-49-11-68-59-10-20-13-33-58-41-57-34-45*48-3-66-38-36-45-34-35-51-56-28-8-26-16-1-9-17-60*42-62-21-63-6-35-41-27-67-37-5-54-38-22-33-43-61-60-44*,24.02150900491649,910.0,398,0.0
4,54-32-39-18-19-38-22-33-20-17-9-11-31*60-14-2-50-13-22-45-41-25-12-4-40*53-46-40-4-25-57-35-51-64-52-20-17-61-43-13*69-18-67-37-65-5-54-36-22-13*39-48-69-0-50-43-20-55-10-16-26-30-24-63-21-6-35-58-33-13*4-53-47-6-56-8-28-10-17-61-44-14*46-7-47-6-63-24-30-26-1-31-11*63-30-42-15-49-26-8-51-41-45-36-54-18-39-48-29-23-50-17*62-26-16-55-52-64-58-45-36-54-65-32*47-53-4-25-41-36-38-69-23-0-2-50-17-55-20*5-32-39-48-3-69-23-50-43-17-59-1-49-15-42-24-63*29-3-66-19-36-45-41-25-4-7-46*40-7-47-6-56-28-8-26-49-11-68-59-10-20-13-33-58-41-57-34-45*48-3-66-38-36-45-34-35-51-56-28-8-26-16-1-9-17-60*42-62-21-63-6-35-41-27-67-37-5-54-38-22-33-43-61-60-44*,24.04046371815572,909.0,399,0.0
5,54-32-39-18-19-38-22-33-20-17-9-11-31*60-14-2-50-13-22-45-41-25-12-4-40*46-40-4-25-57-35-51-64-52-20-17-61-43-13*69-18-67-37-65-5-54-38-22-33-43-61-60-44-17-20*65-39-48-69-0-50-43-20-55-10-16-26-30-24-63-21-6-35-58-33*4-53-47-6-56-8-28-10-17-61-44-14*40-46-7-47-6-63-24-30-26-1-31-11*30-42-15-49-26-8-51-41-45-36-54-18-39-48-29-23-50-17*62-26-16-55-52-64-58-45-36-54-65-32*47-53-4-25-41-36-38-69-23-0-2-50-17-55-20*5-32-39-48-3-69-23-50-43-17-59-1-49-15-42-24*29-3-66-19-36-45-41-25-4-7-46*40-7-47-6-56-28-8-26-49-11-68-59-10-20-13-33-58-41-57-34*48-3-66-38-36-45-34-35-51-56-28-8-26-16-1-9-17-60*42-62-21-63-6-35-41-27-67-37-5-54-36-22-13*,24.062081747716974,906.0,384,0.0
6,54-32-39-18-19-38-22-33-20-17-9-11-31*60-14-2-50-13-22-45-41-25-12-4-40*46-40-4-25-57-35-51-64-52-20-17-61-43-13*69-18-67-37-65-5-54-38-22-33-43-61-60-44-17-20*65-39-48-69-0-50-43-20-55-10-16-26-30-24-63-21-6-35-58-33*4-53-47-6-56-8-28-10-17-61-44-14*46-7-47-6-63-24-30-26-1-31-11*30-42-15-49-26-8-51-41-45-36-54-18-39-48-29-23-50-17*62-26-16-55-52-64-58-45-36-54-65-32*47-53-4-25-41-36-38-69-23-0-2-50-17-55-20*5-32-39-48-3-69-23-50-43-17-59-1-49-15-42-24*29-3-66-19-36-45-41-25-4-7-46*40-7-47-6-56-28-8-26-49-11-68-59-10-20-13-33-58-41-57-34*48-3-66-38-36-45-34-35-51-56-28-8-26-16-1-9-17-60*42-62-21-63-6-35-41-27-67-37-5-54-36-22-13*,24.065399211907568,904.0,378,0.0
7,32-39-18-19-38-22-33-20-17-9-11-31*60-14-2-50-13-22-45-41-25-12-4-40-46*46-40-4-25-57-35-51-64-52-20-17-61-43-13*69-18-67-37-65-5-54-38-22-33-43-61-60-44-17-20*65-39-48-69-0-50-43-20-55-10-16-26-30-24-63-21-6-35-58-33*4-53-47-6-56-8-28-10-17-61-44-14*46-7-47-6-63-24-30-26-1-31*30-42-15-49-26-8-51-41-45-36-54-65-32*17-50-23-29-48-39-18-54-36-45-58-64-52-55-16-26-62*47-53-4-25-41-36-38-69-23-0-2-50-17-55-20*5-32-39-48-3-69-23-50-43-17-59-1-49-15-42-24-63*29-3-66-19-36-45-41-25-4-7-46*40-7-47-6-56-28-8-26-49-11-68-59-10-20-13-33-58-41-57-34*48-3-66-38-36-45-34-35-51-56-28-8-26-16-1-9-17-60*42-62-21-63-6-35-41-27-67-37-5-54-36-22-13*,24.069864030693036,902.0,385,0.0
8,54-32-39-18-19-38-22-33-20-17-9-11-31*60-14-2-50-13-22-45-41-25-12-4-40*46-40-4-25-57-35-51-64-52-20-17-61-43-13*69-18-67-37-65-5-54-38-22-33-43-61-60-44-17-20*65-39-48-69-0-50-43-20-55-10-16-26-30-24-63-21-6-35-58-33*53-47-6-56-8-28-10-17-61-44-14*40-46-7-47-6-63-24-30-26-1-31-11*30-42-15-49-26-8-51-41-45-36-54-18-39-48-29-23-50-17*62-26-16-55-52-64-58-45-36-54-65-32*47-53-4-25-41-36-38-69-23-0-2-50-17-55-20*5-32-39-48-3-69-23-50-43-17-59-1-49-15-42-24*29-3-66-19-36-45-41-25-4-7-46*40-7-47-6-56-28-8-26-49-11-68-59-10-20-13-33-58-41-57-34*48-3-66-38-36-45-34-35-51-56-28-8-26-16-1-9-17-60*42-62-21-63-6-35-41-27-67-37-5-54-36-22-13*,24.07596421914992,901.0,393,0.0
9,32-39-18-19-38-22-33-20-17-9-11-31*60-14-2-50-13-22-45-41-25-12-4-40*46-40-4-25-57-35-51-64-52-20-17-61-43-13*69-18-67-37-65-5-54-38-22-33-43-61-60-44-17-20*65-39-48-69-0-50-43-20-55-10-16-26-30-24-63-21-6-35-58-33*4-53-47-6-56-8-28-10-17-61-44-14*40-46-7-47-6-63-24-30-26-1-31*30-42-15-49-26-8-51-41-45-36-54-65-32*17-50-23-29-48-39-18-54-36-45-58-64-52-55-16-26-62*47-53-4-25-41-36-38-69-23-0-2-50-17-55-20*5-32-39-48-3-69-23-50-43-17-59-1-49-15-42-24*29-3-66-19-36-45-41-25-4-7-46*40-7-47-6-56-28-8-26-49-11-68-59-10-20-13-33-58-41-57-34*48-3-66-38-36-45-34-35-51-56-28-8-26-16-1-9-17-60*42-62-21-63-6-35-41-27-67-37-5-54-36-22-13*,24.08068342877316,898.0,394,0.0
