,f_1,f_2,R_x
39,10.391360412637008,156,2-1-4-3-11-10-12-13*8-14-6-9-10-11*0-1-3-5-14-6*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*7-14-6*
37,10.393294648613798,154,2-1-4-3-11-10-12-13*8-14-6-9-10-11*0-1-3-5-14-6*0-1-2-5-7-9-10-12*4-3-5-7-9-13*7-14-6*
36,10.406834300451322,153,2-1-4-3-5-7-9-13*8-14-6-9-10-11*0-1-3-5-14-6*0-1-2-5-7-9-10-12*13-12-10-11-3-1*7-14-6*
35,10.419729206963249,150,2-1-4-3-5-7-9-13*8-14-6-9-10-11*0-1-3-5-14-6*0-1-2-5-7-9-10-12*13-12-10-11-3*7-14-6*
33,10.451966473243068,148,2-1-4-3-5-7-9-13*8-14-6-9-10-11*0-1-3-5-14-6*0-1-2-5-7-9-10-12*13-12-10-11-3*7-14*
38,10.466150870406187,147,2-1-3-11-10-12-13*8-14-6-9-10-11*0-1-3-5-14-6*0-1-2-5-7-9-10-12*4-3-5-7-9-13*7-14-6*
31,10.484203739522886,145,2-1-4-3-5-7-9*8-14-6-9-10-11*0-1-3-5-14-6*0-1-2-5-7-9-10*9-13-12-10-11-3*7-14-6*
30,10.501611863313991,142,2-1-4-3-5-7-9*8-14-6-9-10-11-3-5*0-1-3-5-14-6*0-1-2-5-7-9-10-12*9-13-12-10*7-14*
34,10.547388781431337,140,2-1-4-3-5-7-9-13*8-14-6-9-10-11*1-3-5-14-6*0-1-2-5-7-9-10-12*13-12-10-11-3*7-14*
24,10.556415215989684,138,2-1-4-3-5-7-9*8-14-6-9*0-1-3-5-14-6*0-1-2-5-7-9-10-11*9-13-12-10-11-3*7-14*
21,10.578336557059961,135,1-3-11-10-9-6-14-8*2-1-3*10-9-6-14-5-2-1-0*6-14-7-5-2-1-4*13-12-10-9-7-5-3-4*13-9*
20,10.584784010315923,132,1-3-11-10-9-6-14-8*2-1*10-9-6-14-5-2-1-0*6-14-7-5-2-1-4*13-12-10-9-7-5-3-4*13-9*
22,10.600257898130238,130,1-3-11-10-9-6-14-8*2-1-3*9-6-14-5-2-1-0*6-14-7-5-2-1-4*13-12-10-9-7-5-3-4*13-9*
24,10.606705351386202,127,1-3-11-10-9-6-14-8*2-1*9-6-14-5-2-1-0*6-14-7-5-2-1-4*13-12-10-9-7-5-3-4*13-9*
23,10.642166344294004,125,1-3-11-10-9-6-14-8*2-1*9-6-14-5-2-1-0*14-7-5-2-1-4*13-12-10-9-7-5-3-4*13-9*
35,10.647969052224372,122,1-3-11-10-9-6-14-8*2-1-4*9-6-14-7-5-2-1-0*6-14-5*13-12-10-9-7-5-3-4*13-9*
38,10.670535138620243,120,1-3-11-10-9-6-14-8*2-1-4*9-6-14-7-5-2-1-0*14-5*13-12-10-9-7-5-3-4*13-9*
34,10.677627337201805,119,1-3-11-10-9-6-14-8*2-1-4*9-6-14-7-5-2-1-0*6-14*13-12-10-9-7-5-3-4*13-9*
13,10.707930367504837,118,0-1-2-5-14-6-9-13*4-3-5-7-9-10-12-13*7-14*4-1-2*9-10-11*8-14-7-5-2-1-3-11*
41,10.71631205673759,117,1-3-11-10-9-6-14-8*1-4*9-6-14-7-5-2-1-0*6-14*13-12-10-9-7-5-3-4*13-9*
14,10.72662798194713,116,0-1-2-5-14-6-9-13*4-3-5-7-9-10-12-13*7-14*4-1-2-5-7-14-8*9-10-11*11-3-1*
36,10.735654416505481,115,1-3-11-10-9-6-14-8*2-1-4*6-14-7-5-2-1-0*6-14-5*13-12-10-9-7-5-3-4*13-9*
29,10.758220502901354,113,1-3-11-10-9-6-14-8*2-1-4*6-14-7-5-2-1-0*14-5*13-12-10-9-7-5-3-4*13-9*
33,10.765312701482914,112,1-3-11-10-9-6-14-8*2-1-4*6-14-7-5-2-1-0*6-14*13-12-10-9-7-5-3-4*13-9*
37,10.796905222437136,111,1-3-11-10-9-6-14-8*1-4*6-14-7-5-2-1-0*14-5*13-12-10-9-7-5-3-4*13-9*
40,10.803997421018698,110,1-3-11-10-9-6-14-8*1-4*6-14-7-5-2-1-0*6-14*13-12-10-9-7-5-3-4*13-9*
15,10.847195357833657,108,0-1-2-5-14-6-9*4-3-5-7-9-10-12-13*7-14*4-1-2-5-7-14-8*9-10-11*11-3-1*
50,10.875564152159896,107,0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*7-14*5-14-8*9-10-11-3-1-2*4-1-2*
46,10.886524822695035,106,0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*7-14*5-7-14-8*9-10-11-3-1*4-1-2*
45,10.888459058671826,105,0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*7-14*5-14-8*9-10-11-3-1*4-1-2*
52,10.905867182462929,104,0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*7-14*7-14-8*9-10-11-3-1*4-1-2*
44,10.927143778207608,103,0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*7-14*5-14-8*9-10-11-3-1*4-1*
42,10.944551901998713,102,0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*7-14*7-14-8*9-10-11-3-1*4-1*
37,10.9819471308833,101,0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*7-14*5-14-8*9-10-11-3*1-3-4*
43,10.983236621534495,100,0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*7-14*14-8*9-10-11-3-1*4-1*
53,11.027724049000645,99,0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*7-14*5-14-8*9-10-11-3-1*1-2*
36,11.038684719535782,98,0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*7-14*14-8*9-10-11-3*1-3-4*
