,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:10:32.267524,0.7862296815118277
1,Run_10,0 days 00:02:27.380337,0.8168739062356083
2,Run_2,0 days 00:03:33.094694,0.8001601851740612
3,Run_3,0 days 00:03:18.312291,0.8116358510438066
4,Run_4,0 days 00:03:09.237686,0.8135588740584113
5,Run_5,0 days 00:02:42.103942,0.801227018433309
6,Run_6,0 days 00:05:03.556659,0.8074365967057919
7,Run_7,0 days 00:02:45.275524,0.7959024632475141
8,Run_8,0 days 00:02:53.354903,0.798728129717954
9,Run_9,0 days 00:02:24.895077,0.8069944856253829
