,f_1,f_2,R_x
36,10.349451966473245,190,8-14-6-9-10-11-3-1*0-1-2-5-7-9-10-12*12-10-11-3-4-1-0*4-3-5-7-9-13-12-10*8-14-7-5-3*0-1-3-5-14-6*
35,10.357833655705996,186,8-14-6-9-10-11-3-1*0-1-2-5-7-9-10-12*12-10-11-3-4-1-0*4-3-5-7-9-13-12-10*8-14-7-5*0-1-3-5-14-6*
37,10.369439071566731,181,8-14-6-9-10-11-3-1*0-1-2-5-7-9-10-12*13-12-10-11-3-4-1-0*4-3-5-7-9-13-12*6-14-7-5-3*0-1-3-5-14-6*
38,10.37137330754352,173,8-14-6-9-10-11-3-1*0-1-2-5-7-9-10-12*13-12-10-11-3-4-1-0*4-3-5-7-9-13*6-14-7*0-1-3-5-14-6*
40,10.382333978078659,162,8-14-6-9-10-11*0-1-2-5-7-9-10-12*13-12-10-11-3-4-1-0*4-3-5-7-9-13-12*6-14-7*0-1-3-5-14-6*
41,10.384268214055448,160,8-14-6-9-10-11*0-1-2-5-7-9-10-12*13-12-10-11-3-4-1-0*4-3-5-7-9-13*6-14-7*0-1-3-5-14-6*
39,10.416505480335267,158,8-14-6-9-10-11*0-1-2-5-7-9-10-12*13-12-10-11-3-4-1-0*4-3-5-7-9-13*14-7*0-1-3-5-14-6*
42,10.41779497098646,157,8-14-6-9-10-11*0-1-2-5-7-9-10*13-12-10-11-3-4-1-0*4-3-5-7-9-13-12*6-14-7*0-1-3-5-14-6*
43,10.427466150870409,155,8-14-6-9-10-11*0-1-2-5-7-9-10*12-10-11-3-4-1-0*4-3-5-7-9-13-12*6-14-7*0-1-3-5-14-6*
29,10.4287556415216,153,11-10-12*0-1-2-5-7-9-13-12*11-10-9-7-5-3-4*10-9-7-14-8*0-1-3-11*4-1-2-5-14-6-9-10*
34,10.432624113475176,152,8-14-6-9-10-11-3-1*0-1-2-5-7-9-10-12*4-1-0*4-3-5-7-9-13-12*8-14-7-5*0-1-3-5-14-6*
42,10.448098001289491,146,13-12-10-9-7-5-3-4*4-3-1-0*8-14-6-9-10-11*11-3-5-14-7*4-1-2-5-7-14-6*0-1-2-5-7-9-13-12*
32,10.470019342359768,145,11-10-12-13*0-1-2-5-7-9-13-12*11-10-9-7-5-3-4*9-7-14-8*0-1-3-11*4-1-2-5-14-6-9*
31,10.476466795615732,142,8-14-6-9-10-11-3-1*0-1-2-5-7-9-10-12*4-1-0*4-3-5-7-9-13-12*14-7*0-1-3-5-14-6*
46,10.48033526756931,140,13-12-10-9-7-5-3-4*1-4*8-14-6-9-10-11*11-3-1-0*6-14-5-2-1-0*0-1-2-5-7-9-13-12*
47,10.490651192778852,138,12-10-9-7-5-3-4*1-4*8-14-6-9-10-11*11-3-1-0*6-14-5-2-1-0*0-1-2-5-7-9-13-12*
49,10.49645390070922,134,13-12-10-9-7-5-3-4*0-1-2-5-14-6*8-14-6-9-10-11*11-3-1*2-1-4*0-1-2-5-7-9-13-12*
50,10.506769825918765,132,12-10-9-7-5-3-4*0-1-2-5-14-6*8-14-6-9-10-11*11-3-1*2-1-4*0-1-2-5-7-9-13-12*
55,10.538362346872985,131,12-10-9-7-5-2-1-0*1-2*8-14-6-9-10-11*11-3-1-2-5-14-6*4-1-2*10-12-13-9-7-5-3-4*
27,10.539007092198581,130,10-12*0-1-2-5-7-9-13-12*9-7-14-8*4-3-5-7-9-10-11*1-3-11*4-1-2-5-14-6-9-10*
54,10.547388781431337,129,12-10-9-7-5-2-1-0*1-2*8-14-6-9-10-11*11-3-1-2-5*4-1-2-5-14-6*12-13-9-7-5-3-4*
56,10.548033526756932,126,12-10-9-7-5-2-1-0*1-2*8-14-6-9-10-11*11-3-1-2-5-14-6*4-1-2*12-13-9-7-5-3-4*
52,10.562217923920054,124,12-10-9-7-5-2-1-0*1-2*8-14-6-9-10-11*11-3-1*4-1-2-5-14-6*12-13-9-7-5-3-4*
26,10.611218568665377,122,10-12*0-1-2-5-7-9-13-12*7-14-8*4-3-5-7-9-10-11*1-3-11*4-1-2-5-14-6-9-10*
