,f_1,f_2,R_x
6,10.333333333333334,177,0-1-3-11-10-12-13*1-4-3-5-7-9-13*11-3-1-2-5-7-14-6*8-14-6-9-10-11*0-1-2-5-7-9-10-12*0-1-2-5-14-6*
11,10.364925854287556,174,0-1-3-11-10-12-13*0-1-4-3-5-7-9-13*0-1-2-5-14-6*8-14-6-9-10-11-3*0-1-2-5-7-9-10-12*2-5*
10,10.377820760799484,158,0-1-3-11-10-12-13*2-1-4-3-5-7-9-13*0-1-2-5-14-6*8-14-6-9-10-11*0-1-2-5-7-9-10-12*2-5*
9,10.419729206963249,157,0-1-3-11-10-12-13*1-4-3-5-7-9-13*0-1-2-5-7-14-6*8-14-6-9-10-11*0-1-2-5-7-9-10-12*2-5*
13,10.426176660219213,156,2-1-4-3-5-7-9-13*0-1-3-11-10-12-13*4-3-1-2-5-14-6*8-14-6-9-10-11*0-1-2-5-7-9-10-12*1-2*
12,10.430689877498388,152,2-1-4-3-5-7-9-13*0-1-3-11-10-12-13*3-1-2-5-14-6*8-14-6-9-10-11*0-1-2-5-7-9-10-12*1-2*
14,10.445519019987104,149,2-1-4-3-5-7-9-13*0-1-3-11-10-12-13*1-2-5-14-6*8-14-6-9-10-11*0-1-2-5-7-9-10-12*1-2*
3,10.502256608639588,145,1-3-11-10-9-6*10-12-13-9*12-10-9-7-5-2-1-0*4-1-2-5-14-6*9-7-14-8*12-10-9-7-5-3-4*
2,10.511927788523533,140,1-3-11-10-9-6*10-12-13-9*12-10-9-7-5-2-1-0*4-1-2-5-14-6*9-7-14-8*10-9-7-5-3-4*
14,10.525467440361057,136,1-3-11-10-9-6-14-8*12-13-9*0-1-2-5-7-9-10-12*1-2-5-14-6*14-7-5*13-9-7-5-3-4-1-2*
15,10.538362346872985,128,1-3-11-10-9-6-14-8*12-13-9*0-1-2-5-7-9-10-12*1-2-5-14-6*14-7-5*9-7-5-3-4-1-2*
16,10.57317859445519,126,1-3-11-10-9-6-14-8*12-13-9*0-1-2-5-7-9-10-12*1-2-5-14-6*7-5*9-7-5-3-4-1-2*
17,10.671824629271438,124,1-3-11-10-9-6-14-8*9-13*0-1-2-5-7-9-10-12*1-2-5-14-6*7-14*9-7-5-3-4-1-2*
18,10.71050934880722,122,1-3-11-10-9-6-14-8*9-13*0-1-2-5-7-9-10-12*1-2-5-14-6*7-14*9-7-5-3-4-1*
19,10.722759509993553,117,9-6-14-7-5-2-1-0*13-9*13-12-10-9-7-5-3-4*4-1-2*9-6-14-8*1-3-11-10-9*
22,10.803997421018698,115,6-14-7-5-2-1-0*13-9*13-12-10-9-7-5-3-4*4-1*9-6*1-3-11-10-9-6-14-8*
17,10.810444874274662,110,6-14-7-5-2-1-0*13-9*13-12-10-9-7-5-3-4*4-1-2*9-6-14-8*1-3-11-10-9*
21,10.875564152159896,109,0-1-3-4*0-1-2-5-7-14-6-9*1-2*5-14-8*4-3-5-7-9-10-12-13*3-11-10-9*
