,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:01:21.394598,0.634072988374561
1,Run_10,0 days 00:03:41.131674,0.8257249380283609
2,Run_2,0 days 00:03:19.703263,0.7952441021821224
3,Run_3,0 days 00:03:10.312534,0.7862112602168105
4,Run_4,0 days 00:02:54.928789,0.788763810965476
5,Run_5,0 days 00:04:06.556750,0.8039317450973326
6,Run_6,0 days 00:03:57.927971,0.7997525139060755
7,Run_7,0 days 00:03:20.960176,0.8016354906271648
8,Run_8,0 days 00:05:04.906061,0.8098826243137065
9,Run_9,0 days 00:03:47.582064,0.8291056461269226
