,f_1,f_2,R_x
18,10.34493874919407,188,4-3-5-7-9-10-11*5-2-1-3-11-10-12*6-14-5-2-1-4-3-11*0-1-2-5-7-9-13-12*0-1-3-5-7-14-8*8-14-6-9-10-11*
19,10.347517730496453,175,4-3-5-7-9-10-11*2-1-3-5-7-14-8*6-14-5-2-1-4-3-11*0-1-2-5-7-9-13-12*0-1-3-11-10-12*8-14-6-9-10*
20,10.368794326241137,174,4-3-5-7-9-10-11*2-1-3-5-14-8*6-14-5-2-1-4-3-11*0-1-2-5-7-9-13-12*0-1-3-11-10-12*8-14-6-9-10*
21,10.37846550612508,164,4-3-5-7-9-10-11*2-1-3-5-14-8*6-14-5-2-1-4-3*0-1-2-5-7-9-13-12*0-1-3-11-10-12*8-14-6-9-10*
22,10.395873629916183,161,4-3-5-7-9-10-11*2-1-3-5-14-8*6-14-5-2-1-3-4*0-1-2-5-7-9-13-12*0-1-3-11-10-12*8-14-6-9-10*
43,10.419729206963249,144,0-1-2-5-7-9-10-12*0-1-3-11-10*6-14-5-2-1-4*8-14-6-9-10-11*7-14-6*12-13-9-7-5-3-4*
44,10.440361057382336,134,0-1-2-5-7-9-10-12*0-1-3-11*6-14-5-2-1-4*8-14-6-9-10-11*7-14-6*12-13-9-7-5-3-4*
46,10.47130883301096,133,0-1-2-5-7-9-10-12*2-1-4*6-14-5-2-1-3-11*8-14-6-9-10-11*7-14-6*10-12-13-9-7-5-3-4*
45,10.48033526756931,131,0-1-2-5-7-9-10-12*5-2-1-3-11*6-14-5-2-1-4*8-14-6-9-10-11*7-14-6*12-13-9-7-5-3-4*
47,10.480980012894909,128,0-1-2-5-7-9-10-12*2-1-4*6-14-5-2-1-3-11*8-14-6-9-10-11*7-14-6*12-13-9-7-5-3-4*
42,10.495164410058027,126,0-1-2-5-7-9-10-12*1-3-11*6-14-5-2-1-4*8-14-6-9-10-11*7-14-6*12-13-9-7-5-3-4*
38,10.527401676337847,124,0-1-2-5-7-9-10-12*1-3-11*6-14-5-2-1-4*8-14-6-9-10-11*7-14*12-13-9-7-5-3-4*
37,10.58542875564152,123,0-1-2-5-7-9-10-11*2-1-3-11*6-14-5-2-1-4*9-6-14-8*5-7-14*10-12-13-9-7-5-3-4*
36,10.59832366215345,121,0-1-2-5-7-9-10-11*1-3-11*6-14-5-2-1-4*9-6-14-8*5-7-14*10-12-13-9-7-5-3-4*
35,10.633139909735654,119,0-1-2-5-7-9-10-11*1-3-11*6-14-5-2-1-4*9-6-14-8*5-7*10-12-13-9-7-5-3-4*
39,10.675693101225017,118,0-1-2-5-7-9-10-12*1-3-11*6-14-5-2-1*8-14-6-9-10-11*7-14*12-13-9-7-5-3-4*
30,10.741457124435847,117,0-1-2-5-7-9-10-11*1-3-11*6-14-7-5-2-1*9-6-14-8*5-14-6*10-12-13-9-7-5-3-4*
40,10.743391360412636,116,0-1-2-5-7-9-10-12*1-3-11*6-14-5-2*8-14-6-9-10-11*7-14*12-13-9-7-5-3-4*
33,10.74661508704062,115,0-1-2-5-7-9-10-11*1-3-11*6-14-5-2-1*9-6-14-8*5-7-14*10-12-13-9-7-5-3-4*
41,10.771760154738876,114,0-1-2-5-7-9-10-12*1-3*6-14-5-2-1-4*8-14-6-9-10-11*7-14*12-13-9-7-5-3-4*
34,10.781431334622825,113,0-1-2-5-7-9-10-11*1-3-11*6-14-5-2-1*9-6-14-8*5-7*10-12-13-9-7-5-3-4*
32,10.797549967762734,111,0-1-2-5-7-9-10-11*1-3*6-14-5-2-1-4*9-6-14-8*5-7-14*10-12-13-9-7-5-3-4*
35,10.798194713088332,109,4-3-5-7-9-10-11*5-7-14*6-14-5-2-1-3-4*0-1-2-5-7-9-13-12*10-12*8-14-6-9*
36,10.833010960670538,108,4-3-5-7-9-10-11*5-14*6-14-5-2-1-3-4*0-1-2-5-7-9-13-12*10-12*8-14-6-9*
19,10.872985170857511,107,6-14*9-13-12-10*9-6-14-7-5-2-1-0*11-10-9-7-5-3-4*8-14-7-5*11-3-1-4*
27,10.874919406834302,106,9-6-14-7-5-2-1-0*6-14*10-12-13-9*8-14-5*1-3-11*11-10-9-7-5-3-4-1*
34,10.888459058671826,105,8-14-5*0-1-2-5-7-14-6-9*7-14*4-1-2*4-3-5-7-9-10-12-13*9-10-11-3-1*
38,10.931012250161187,103,14-7*9-13-12-10*9-6-14-7-5-2-1-0*1-4-3-5-7-9-10-11*8-14*11-3-1*
31,10.947130883301096,102,9-6-14-7-5-2-1-0*6-14*10-12-13-9*8-14-5*2-1-3-11*11-10-9-7-5-3-4*
34,10.973565441650548,101,14-7*9-13-12-10*9-6-14-7-5-2-1-0*4-3-5-7-9-10-11*8-14-7-5*11-3-1*
26,10.975499677627337,100,9-6-14-7-5-2-1-0*6-14*10-12-13-9*8-14-5*1-3-11*11-10-9-7-5-3-4*
24,10.99290780141844,99,9-6-14-7-5-2-1-0*6-14*10-12-13-9*8-14-7*1-3-11*11-10-9-7-5-3-4*
25,11.031592520954225,97,9-6-14-7-5-2-1-0*6-14*10-12-13-9*8-14*1-3-11*11-10-9-7-5-3-4*
