,f_1,f_2,R_x
49,10.301096067053514,187,0-1-3-11-10-12-13-9*0-1-4*0-1-2-5-14-6-9-10*2-1-4-3-5-7-9-10*8-14-7-9-10-11*0-1-2-5-7-9-10-12*
48,10.314635718891038,182,2-1-3-11-10-12-13-9*0-1-3-4*0-1-2-5-14-6-9-10*2-1-4-3-5-7-9-10*8-14-7-9-10-11*0-1-2-5-7-9-10-12*
44,10.327530625402966,180,1-3-11-10-12-13-9*0-1-3-4*0-1-2-5-14-6-9-10*2-1-4-3-5-7-9-10*8-14-7-9-10-11*0-1-2-5-7-9-10-12*
47,10.332688588007738,177,2-1-3-11-10-12-13-9*0-1-3-4*0-1-2-5-14-6-9-10*2-1-4-3-5-7-9*8-14-7-9-10-11*0-1-2-5-7-9-10-12*
45,10.35009671179884,175,1-3-11-10-12-13-9*0-1-3-4*0-1-2-5-14-6-9*2-1-4-3-5-7-9-10*8-14-7-9-10-11*0-1-2-5-7-9-10-12*
46,10.355254674403609,172,2-1-3-11-10-12-13-9*0-1-3-4*0-1-2-5-14-6-9*2-1-4-3-5-7-9*8-14-7-9-10-11*0-1-2-5-7-9-10-12*
42,10.359767891682788,165,11-3-1-0*13-12-10-11*0-1-2-5-14-6-9-10*2-1-4-3-5-7-9-10*8-14-7-9-10-11*0-1-2-5-7-9-13-12*
33,10.376531270148293,164,1-2-5-14-6-9-10-11*8-14-5-2-1-4*4-3-5-7-9-10*12-10-11-3-1-0*0-1-2-5-7-9-13-12*8-14-7-9*
54,10.397163120567377,163,3-1-2*8-14-7-9-10-11*4-3-5-7-9-13*13-12-10-11-3-1-0*0-1-2-5-7-9-10-12*4-1-2-5-14-6-9-10*
52,10.399097356544164,162,1-2*8-14-7-9-10-11*4-3-5-7-9-13-12*13-12-10-11-3-1-0*0-1-2-5-7-9-10-12*4-1-2-5-14-6-9-10*
40,10.40167633784655,159,11-3-1-2*13-12-10-11*0-1-2-5-14-6-9-10*2-1-4-3-5-7-9-10*8-14-7-9-10-11*0-1-2-5-7-9-13-12*
50,10.404255319148936,157,1-2*8-14-7-9-10-11*4-3-5-7-9-10*13-12-10-11-3-1-0*0-1-2-5-7-9-13-12*4-1-2-5-14-6-9-10*
51,10.413926499032883,155,1-2*8-14-7-9-10-11*4-3-5-7-9-10*12-10-11-3-1-0*0-1-2-5-7-9-13-12*4-1-2-5-14-6-9-10*
34,10.426176660219213,153,1-2-5-14-6-9-10-11*8-14-7-9*4-3-5-7-9-10*12-10-11-3-1-0*0-1-2-5-7-9-13-12*5-2-1-4*
