,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:02:04.652569,0.7941204031860831
1,Run_10,0 days 00:01:43.761281,0.7963197456259437
2,Run_2,0 days 00:03:00.900513,0.8222897669706181
3,Run_3,0 days 00:02:34.812886,0.7316954399285575
4,Run_4,0 days 00:01:47.865941,0.7837812511263019
5,Run_5,0 days 00:02:00.293585,0.7544577531626562
6,Run_6,0 days 00:01:44.832047,0.7896119914621302
7,Run_7,0 days 00:02:52.983923,0.7858716676478008
8,Run_8,0 days 00:03:02.598331,0.7825798623208431
9,Run_9,0 days 00:01:38.401982,0.7731057102009924
