,f_1,f_2,R_x
18,10.333333333333334,169,6-14-5-2-1-3-11*0-1-2-5-7-9-10-12*8-14-7-5-2-1-4*4-3-5-7-9-13-12-10*0-1-3-4*8-14-6-9-10-11-3*
19,10.361702127659576,168,6-14-5-2-1-3-11*0-1-2-5-7-9-10-12*8-14-7-5-2-1-4*4-3-5-7-9-13-12-10*0-1-4*8-14-6-9-10-11-3*
20,10.369439071566731,166,6-14-5-2-1*0-1-2-5-7-9-10-12*8-14-7-5-2-1-4*4-3-5-7-9-13-12-10*0-1-3-11*8-14-6-9-10-11-3-5*
21,10.379110251450676,161,6-14-5-2-1*0-1-2-5-7-9-10-12*8-14-7-5-2-1-4*4-3-5-7-9-13-12*0-1-3-11*8-14-6-9-10-11-3-5*
22,10.389426176660221,157,6-14-5-2-1*0-1-2-5-7-9-10-12*8-14-7-5-2-1-4*4-3-5-7-9-13-12*0-1-3-11*8-14-6-9-10-11-3*
24,10.39651837524178,152,6-14-5-2-1-4*0-1-2-5-7-9-10-12*8-14-6-9-10-11*4-3-5-7-9-13-12-10*0-1-3-11*8-14-7-5-2-1*
23,10.410058027079305,147,6-14-5-2-1*0-1-2-5-7-9-10-12*8-14-7-5-2-1-4*4-3-5-7-9-13-12*0-1-3-11*8-14-6-9-10-11*
32,10.412637008381687,142,6-14-5-2-1-4*8-14-5*6-14-7*10-12-13-9-7-5-3-4*12-10-9-7-5-2-1-0*8-14-6-9-10-11-3-1*
33,10.422308188265637,137,6-14-5-2-1-4*8-14-5*6-14-7*12-13-9-7-5-3-4*12-10-9-7-5-2-1-0*8-14-6-9-10-11-3-1*
34,10.454545454545457,135,6-14-5-2-1-4*8-14-5*14-7*12-13-9-7-5-3-4*12-10-9-7-5-2-1-0*8-14-6-9-10-11-3-1*
31,10.464861379754996,134,6-14-5-2-1-4*14-5*6-14-7*10-12-13-9-7-5-3-4*12-10-9-7-5-2-1-0*8-14-6-9-10-11-3-1*
48,10.470664087685364,132,6-14-5-2-1-4*0-1-2-5-7-9-10-12*6-14-7*4-3-5-7-9-13-12*2-1-3*8-14-6-9-10-11-3-4*
30,10.474532559638943,129,6-14-5-2-1-4*14-5*6-14-7*12-13-9-7-5-3-4*12-10-9-7-5-2-1-0*8-14-6-9-10-11-3-1*
42,10.480980012894909,128,6-14-5-2-1-3-11*0-1-2-5-7-9-10-12*6-14-7*4-3-5-7-9-13-12*2-1-4*8-14-6-9-10-11*
28,10.506769825918765,127,6-14-5-2-1-4*14-5*14-7*12-13-9-7-5-3-4*12-10-9-7-5-2-1-0*8-14-6-9-10-11-3-1*
41,10.513217279174725,126,6-14-5-2-1-3-11*0-1-2-5-7-9-10-12*14-7*4-3-5-7-9-13-12*2-1-4*8-14-6-9-10-11*
38,10.527401676337847,124,6-14-5-2-1-4*0-1-2-5-7-9-10-12*14-7*4-3-5-7-9-13-12*1-3-11*8-14-6-9-10-11*
29,10.622823984526113,123,6-14-5-2-1*14-5*6-14-7*12-13-9-7-5-3-4*12-10-9-7-5-2-1-0*8-14-6-9-10-11-3-1*
36,10.634429400386848,122,2-1*0-1-2-5-7-9-10-11*6-14-5-2-1-3-4*4-3-5-7-9-10-12-13*3-11*8-14-6-9-13*
40,10.637008381689233,120,6-14-5-2-1-3-11*0-1-2-5-7-9-10-12*14-7*4-3-5-7-9-13-12*2-1*8-14-6-9-10-11*
39,10.675693101225017,118,6-14-5-2-1*0-1-2-5-7-9-10-12*14-7*4-3-5-7-9-13-12*1-3-11*8-14-6-9-10-11*
25,10.715667311411993,116,2-1*0-1-2-5-7-9-10-11*6-14-5-2-1-4*4-3-5-7-9-10-12-13*1-3-11*8-14-6-9*
35,10.748549323017409,114,2-1*0-1-2-5-7-9-10-11*6-14-5-2-1-3-4*4-3-5-7-9-10-12-13*3-11*8-14-6-9*
31,10.803997421018698,113,1-3-11*9-6-14-8*0-1-2-5-7-9-10-11*4-3-5-7-14-6*6-14-5-2-1-4*9-13-12-10*
23,10.822695035460994,112,2-1-4*10-9-7-5-3-4*0-1-2-5-7-14-6*11-10-9-6-14-8*11-3-1-2*9-13-12-10*
22,10.835589941972922,110,2-1-4*10-9-7-5-3-4*0-1-2-5-7-14-6*11-10-9-6-14-8*11-3-1*9-13-12-10*
27,10.86782720825274,107,2-1-4*9-6-14-8*0-1-2-5-7-14-6*11-10-9-7-5-3-4*11-3-1-2*9-13-12-10*
31,10.914893617021274,106,2-1*0-1-2-5-7-9-10-11*6-14-5-2-1-4*4-3-5-7-9-10-12-13*1-3*8-14-6-9*
23,10.930367504835589,105,13-12-10-9-7-5-3-4*1-3-11*11-10-9*0-1-2-5-7-14-6-9*5-7-14-8*4-1-3*
21,10.950999355254677,103,13-12-10-9-7-5-3-4*1-3-11*11-10-9*0-1-2-5-7-14-6-9*5-7-14-8*1-3-4*
22,10.952933591231464,102,13-12-10-9-7-5-3-4*1-3-11*11-10-9*0-1-2-5-7-14-6-9*5-14-8*1-3-4*
17,10.978078658929725,101,13-12-10-9-7-5-3-4*3-11*11-10-9*0-1-2-5-7-14-6-9*7-5-14-8*1-3-4*
23,11.017408123791103,100,5-7*12-13-9-7-5-3-4*0-1-2-5-7-14-6-9*9-10-11-3-1*10-12*8-14-5*
27,11.02836879432624,99,13-12-10-9-7-5-3-4*1-3-11*11-10-9*0-1-2-5-7-14-6-9*7-14-8*2-1-3*
25,11.031592520954225,98,13-12-10-9-7-5-3-4*3-11*11-10-9*0-1-2-5-7-14-6-9*5-7-14-8*2-1-3*
26,11.050934880722117,96,13-12-10-9-7-5-3-4*3-11*11-10-9*0-1-2-5-7-14-6-9*7-14-8*2-1-3*
24,11.079303675048356,94,13-12-10-9-7-5-3-4*3-11*11-10-9*0-1-2-5-7-14-6-9*7-14-8*1-3*
36,11.205029013539653,93,11-10-9-7-5-2-1-0*12-10*8-14*12-13-9-6-14-5-3-4*14-5*4-3-1-2*
27,11.21018697614442,89,4-3-5-7-9-10-11*9-13-12*0-1-2-5-7-14-6*2-1-3*10-12*8-14-6-9*
26,11.2321083172147,87,4-3-5-7-9-10-11*9-13-12*0-1-2-5-7-14-6*1-3*10-12*8-14-6-9*
25,11.245003223726627,85,4-3-5-7-9-10-11*9-13-12*0-1-2-5-7-14-6-9*1-3*10-12*8-14*
41,11.352030947775626,84,4-3-5-7-9-10-12-13*13-12*3-1*9-6-14-7-5-2-1-0*9-10-11*14-8*
42,11.4642166344294,83,4-3-5-7-9-10-12-13*13-12*3-1*9-6-14-5-2-1-0*9-10-11*14-8*
40,11.480980012894909,82,4-3-5-7-9-10-12-13*13-12*3-1*9-6-14-7-5-2-1-0*10-11*5-14-8*
37,11.495809155383625,81,4-3-5-7-9-10-12-13*13-12*3-1*9-6-14-7-5-2-1-0*10-11*7-14-8*
36,11.534493874919407,79,4-3-5-7-9-10-12-13*13-12*3-1*9-6-14-7-5-2-1-0*10-11*14-8*
35,11.652482269503546,78,4-3-5-7-9-10-12-13*13-12*3-1*9-6-14-5-2-1-0*10-11*14-8*
34,11.695680206318505,77,4-3-5-7-9-10-12*13-12*3-1*9-6-14-7-5-2-1-0*10-11*14-8*
30,11.803997421018698,76,4-3-5-14-6-9*13-12*0-1-2-5-7-9-10-12*1-3*10-11*8-14*
28,12.049000644745323,75,4-3-5-14-6-9*13-12*0-1-2-5-7-9-10-12*2-1*10-11*8-14*
43,12.206318504190845,74,4-3-5-7-9-10-12-13*13-12*3-1*6-14-7-5-2-1-0*10-11*7-14-8*
11,12.326241134751776,73,3-4*14-8*0-1-2-5-7-9-10-12*10-11*12-13*9-6-14-5-3*
39,12.338491295938105,72,4-3-5-7-9-10-12-13*13-12*3-1*6-14-7-5-2-1-0*10-11*14-8*
38,12.499677627337197,70,4-3-5-7-9-10-12*13-12*3-1*6-14-7-5-2-1-0*10-11*14-8*
5,12.847195357833655,69,13-12-10-9-7-5-14-6*5-3-4*8-14*11-10*3-1*0-1-2-5*
34,12.900709219858156,67,11-10*1-3*9-6-14-7-5-2-1-0*13-12-10-9*5-3-4*14-8*
31,13.22501611863314,66,4-3-1*13-12*0-1-2-5-7-9-10-12*6-14-7-5*10-11*8-14*
32,13.308833010960669,64,4-3-1*13-12*0-1-2-5-7-9-10-12*6-14-7*10-11*8-14*
0,14.106382978723405,63,10-9*14-8*4-3*11-10-12-13*0-1-2-5-7-14-6-9*3-1*
