,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:04:13.596233,0.8177421098790201
1,Run_10,0 days 00:03:23.758132,0.7676033494719896
2,Run_2,0 days 00:04:36.803815,0.8180016098609993
3,Run_3,0 days 00:04:10.203969,0.8101637492941839
4,Run_4,0 days 00:04:41.473477,0.8170621238151303
5,Run_5,0 days 00:08:36.505283,0.8234062576338246
6,Run_6,0 days 00:12:56.385475,0.8219205401444069
7,Run_7,0 days 00:04:11.875891,0.8148547721165668
8,Run_8,0 days 00:03:57.092044,0.8041151571216327
9,Run_9,0 days 00:03:40.170387,0.7900789312445186
