,f_1,f_2,R_x
29,10.286911669890394,178,8-14-5-2-1-3-11*6-14-7-5-3-11-10-12*8-14-6-9-10-11*4-3-5-7-9-13-12-10*6-14-5-2-1-4*0-1-2-5-7-9-10-12*
28,10.303030303030305,173,8-14-5-2-1-4*6-14-7-5-3-11-10-12*8-14-6-9-10-11*4-3-5-7-9-13-12*6-14-5-2-1-3-11*0-1-2-5-7-9-10-12*
33,10.337201805286911,160,0-1-3*6-14-7-5-3-11-10-12*8-14-6-9-10-11*4-3-5-7-9-13-12-10*6-14-5-2-1-4*0-1-2-5-7-9-10-12*
32,10.376531270148293,157,1-3-11*6-14-7-5-3-11-10-12*8-14-6-9-10-11*4-3-5-7-9-13-12*6-14-5-2-1-4*0-1-2-5-7-9-10-12*
34,10.382333978078659,155,0-1-3*6-14-7-5-3-11-10*8-14-6-9-10-11*4-3-5-7-9-13-12-10*6-14-5-2-1-4*0-1-2-5-7-9-10-12*
35,10.392005157962604,150,0-1-3*6-14-7-5-3-11-10*8-14-6-9-10-11*4-3-5-7-9-13-12*6-14-5-2-1-4*0-1-2-5-7-9-10-12*
30,10.392649903288204,149,2-1-3*6-14-7-5-3-11-10-12*8-14-6-9-10-11*4-3-5-7-9-13-12*6-14-5-2-1-4*0-1-2-5-7-9-10-12*
31,10.40167633784655,147,1-3*6-14-7-5-3-11-10-12*8-14-6-9-10-11*4-3-5-7-9-13-12*6-14-5-2-1-4*0-1-2-5-7-9-10-12*
36,10.412637008381687,140,0-1-3*6-14-7-5-3-11*8-14-6-9-10-11*4-3-5-7-9-13-12*6-14-5-2-1-4*0-1-2-5-7-9-10-12*
37,10.467440361057383,132,1-3*6-14-7-5-3-11*8-14-6-9-10-11*4-3-5-7-9-13-12*6-14-5-2-1-4*0-1-2-5-7-9-10-12*
38,10.530625402965828,131,1-3*6-14-5-3-11*8-14-6-9-10-11*4-3-5-7-9-13-12*6-14-5-2-1-4*0-1-2-5-7-9-10-12*
