,f_1,f_2,R_x
10,10.333333333333334,190,10-9-7-5-3-4-1-2*6-14-5-2-1-0*1-3-11-10-12-13-9-7*6-14-7-5-3-11-10-9*12-10-9-7-5-2-1-0*12-9-6-14-8*
9,10.351386202450033,185,9-7-5-3-4-1-2*6-14-5-2-1-0*1-3-11-10-12-13-9-7*6-14-7-5-3-11-10-9*12-10-9-7-5-2-1-0*12-9-6-14-8*
12,10.364925854287556,184,10-9-7-5-3-4-1-2*6-14-5-2-1*1-3-11-10-12-13-9-7*6-14-7-5-3-11-10-9*12-10-9-7-5-2-1-0*13-12-10-9-6-14-8*
11,10.365570599613152,182,10-9-7-5-3-4-1-2*6-14-5-2-1*1-3-11-10-12-13-9-7*6-14-7-5-3-11-10-9*12-10-9-7-5-2-1-0*12-10-9-6-14-8*
13,10.390070921985817,181,10-9-6-14-5-2-1-3*9-7-5-3-4-1-2*1-3-11-10-12-13*6-14-7-5-3-11-10-9*12-10-9-7-5-2-1-0*10-12-13-9-6-14-8*
14,10.39651837524178,176,10-9-6-14-5-2-1*9-7-5-3-4-1-2*1-3-11-10-12*6-14-7-5-3-11-10-9*12-10-9-7-5-2-1-0*10-12-13-9-6-14-8*
7,10.398452611218568,172,12-13-9-7-5-2-1-0*6-14-7-5-2-1-4*2-1-3-11-10-12-13*6-14-5-3-11-10-9*12-10-9-6-14-8*1-4-3-5-7-9-10*
15,10.406189555125726,171,10-9-6-14-5-2-1*9-7-5-3-4-1-2*1-3-11-10-12*6-14-7-5-3-11-10-9*12-10-9-7-5-2-1-0*12-13-9-6-14-8*
2,10.42682140554481,162,8-14-6-9-10-11-3*3-5-7-9-13-12-10-11*0-1-4-3-5-7-9*0-1-2-5-7-9-10*4-3-1-2-5-14-6*7-14-6*
6,10.444229529335912,157,13-12-10-9-6-14-8*6-14-7-5-2-1-0*2-1-4-3-5-7-9-13*6-14-5-3-11*10-9-7-5-2-1-0*9-10-11-3-1*
23,10.460348162475825,152,0-1-3-11*11-10-9-6-14-8*4-1-2-5-14-6*6-14-7-5-3-11*4-3-5-7-9-10-12-13*12-10-9-7-5-2-1-0*
24,10.470664087685364,146,0-1-3-11*11-10-9-6-14-8*4-1-2-5-14-6*6-14-7-5-3-4*4-3-5-7-9-10-12-13*12-10-9-7-5-2-1-0*
22,10.479690522243713,142,0-1-3-11*11-10-9-6-14-8*4-1-2-5-14-6*6-14-7-5-3*4-3-5-7-9-10-12-13*12-10-9-7-5-2-1-0*
