,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:12:01.220237,0.7882584838723343
1,Run_10,0 days 00:10:17.690637,0.7645010487075558
2,Run_2,0 days 00:06:04.073972,0.7756153430277255
3,Run_3,0 days 00:06:24.294179,0.7761234871625923
4,Run_4,0 days 00:05:38.395235,0.7549939305979132
5,Run_5,0 days 00:10:20.916331,0.7775120768694271
6,Run_6,0 days 00:05:53.035736,0.7626645007172044
7,Run_7,0 days 00:11:35.810307,0.7862605780993291
8,Run_8,0 days 00:05:18.510788,0.7693309715279268
9,Run_9,0 days 00:05:29.522979,0.7821778396136994
