,f_1,f_2,R_x
0,15.53659106850596,623,22-17-18-0-25-11-3-4-24-7-16*6-21-15-29-27-16-2-7-20-23-3-9*26-0-22-19-12-17-28-7-20-4-3-1-9-14*23-9-1-24-20-7-28-0-13-6-16-27-29*6-10-7-2-29-27-16-28-17-19-12-8-26*10-15-27-7-14-11-17-22-0-13-6-2-29*17-11-3-23-14-20-4-7-25-0-18-12-8-19*21-10-7-27-15-5-6-13-18-22-17-0-25-28-16*21-6-16-28-25-22-18-12-19-17-11-14-23-1*9-1-3-11-17-22-19-12-8-26-0-18-13-6-2*29-2-21-5-6-16-7-14-23-9-3-4-20*8-12-0-13-6-10-16-27-2-15-5*
2,15.539396773439329,603,22-17-18-0-25-11-3-4-24-7-16*6-21-15-29-27-2-7-20-23-3*26-0-19-12-17-28-7-20-24-4-3-1-9-14*1-24-7-28-0-18-12-8-19*6-10-7-2-29-27-16-28-17-19-12-8-26*6-13-0-22-17-11-14-7-27-15-10-2-29*17-11-3-23-14-20-4-7-25-0-13-6-16-27-29*21-10-7-27-15-5-6-13-18-22-17-11-25-28-16*21-6-16-28-25-22-18-12-19-17-11-14-23-1*9-1-3-11-17-22-19-12-8-26-0-18-13-6-2*29-2-21-5-6-16-7-14-23-9-3-4*8-12-0-13-6-10-16-27-2-15-5*
1,15.562222352115969,602,22-17-18-0-25-11-3-4-24-7-16*6-21-15-29-27-2-7-20-23-3*26-0-19-12-17-28-7-20-4-3-1-9-14*1-24-7-28-0-18-12-8-19*6-10-7-2-29-27-16-28-17-19-12-8-26*6-13-0-22-17-11-14-7-27-15-10-2-29*17-11-3-23-14-20-4-7-25-0-13-6-16-27-29*21-10-7-27-15-5-6-13-18-22-17-11-25-28-16*21-6-16-28-25-22-18-12-19-17-11-14-23-1*9-1-3-11-17-22-19-12-8-26-0-18-13-6-2*29-2-21-5-6-16-7-14-23-9-3-4*8-12-0-13-6-10-16-27-2-15-5*
3,15.572685293429974,598,22-17-18-0-25-11-3-4-24-7-16*6-21-15-29-27-2-7-20-23-3*26-0-19-12-17-28-7-20-24-4-1-3-9-14*1-24-7-28-0-18-12-8-19*6-10-7-2-29-27-16-28-17-19-12-8-26*6-13-0-22-17-11-14-7-27-15-10-2-29*17-11-3-23-14-20-4-7-25-0-13-6-16-27-29*21-10-7-27-15-5-6-13-18-22-17-11-25-28-16*21-6-16-28-25-22-18-19-17-11-14-23*9-1-3-11-17-22-19-12-8-26-0-18-13-6-2*29-2-21-5-6-16-7-14-23-9-3-4*8-12-0-13-6-10-16-27-2-15-5*
5,15.591974514846855,577,22-17-18-0-25-11-3-24-7-16*6-15-29-2-7-20-23-3*26-0-19-12-17-28-7-20-24-4-1-3-9-14*1-24-7-28-0-18-12-8-19*6-10-7-2-29-27-16-28-17-19-12-8-26*6-13-0-22-17-11-14-7-27-15-10-2-29*17-11-3-23-14-4-7-25-0-13-6-16-27-10*21-10-7-27-15-5-6-13-18-22-17-11-25-28-16*21-6-16-28-25-22-18-19-17-11-14-23*9-1-3-11-17-22-19-12-8-26-0-18-13-6-2*29-2-21-6-16-7-14-23-9-3-4*8-12-0-13-6-10-16-27-2-15-5*
4,15.60790273556231,572,22-17-18-0-25-11-3-24-7-16*6-15-29-2-7-20-23-3*26-0-19-12-17-28-7-20-24-4-1-3-9-14*1-24-7-28-0-18-12-8-19*6-10-7-2-29-27-16-28-17-19-12-8-26*6-13-0-22-17-11-14-7-27-15-10-2-29*17-11-3-23-14-4-7-25-0-13-6-16-27*21-10-7-27-15-5-6-13-18-22-17-11-25-28-16*21-6-16-28-25-22-18-19-17-11-14-23*9-1-3-11-17-22-19-12-8-26-0-18-13-6-2*29-2-21-6-16-7-14-23-9-3-4*8-12-0-13-6-10-16-27-2-15-5*
29,15.774374561608605,493,16-2-27-15-10-21-6-13-0-28-25-11-3-4-20*13-6-16-7-24-1-3-23*12-17-11-14-24-7-10-2-29*5-6-13-0-26-8-12-19-22-25-7-27-10-21*5-21-15-2-29-27-16-28-17-19-12-18-13-6-10*4-7-28-0-18-12*20-4-24-1-9-14-7-27-15-29-2-6-13-18*4-23-9-1-3-11-17-22-0-13-6-5-15-29-10*29-2-7-20-14-23-3-1*25-22-12-18-0-17-19-8-26*16-10-6-15-27*28-7-24-3-9-1-14*
30,15.778904606032263,488,16-2-27-15-10-21-6-13-0-28-25-11-3-4-20*13-6-16-7-24-1-3-23*12-17-11-14-24-7-10-2-29*5-6-13-0-26-8-12-19-22-25-7-27-10-21*5-21-15-2-29-27-16-28-17-19-12-18-13-6-10*4-7-28-0-18-12*20-4-24-1-9-14-7-27-15-29-2-6-13-18*4-23-9-1-3-11-17-22-0-13-6-5-15-29-10*29-2-7-20-14-23-3-1*22-12-18-0-17-19-8-26*16-10-6-15-27*28-7-24-3-9-1-14*
31,15.782294832826748,469,16-2-27-10-15-21-6-13-0-28-25-11-3-4-20*13-6-16-7-24-1-3*12-17-11-14-24-7-10-29*5-6-13-0-26-8-12-19-22-25-7-27-10-21*5-21-15-2-29-27-16-28-17-19-12-18-13-6-10*4-7-28-0-18-12*4-24-1-9-14-7-27-15-29-2-6-13-18*4-23-9-1-3-11-17-22-0-13-6-5-15-29*29-2-7-20-14-23-1-3-9*22-18-12-0-17-19-8-26*16-10-6-15-27*28-7-24-3-1*
32,15.793254617722702,462,2-27-10-15-21-6-13-0-28-25-11-3-4-20*13-6-16-7-24-1-3*12-17-11-14-24-7-10-29*5-6-13-0-26-8-12-19-22-25-7-27-10-21*5-21-15-2-29-27-16-28-17-19-12-18-13-6-10*4-7-28-0-18-12*4-24-1-9-14-7-27-15-29-2-6-13-18*4-23-9-1-3-11-17-22-0-13-6-5-15-29*29-2-7-20-14-23-1-3-9*22-18-12-0-17-19-8-26*16-10-6-15-27*28-7-24-3-1*
33,15.814034369885434,458,2-27-10-15-21-6-13-0-28-25-11-3-4*13-6-16-7-24-1-3*12-17-11-14-24-7-10-29*5-6-13-0-26-8-12-19-22-25-7-27-10-21*5-21-15-2-29-27-16-28-17-19-12-18-13-6-10*4-7-28-0-18-12*4-24-1-9-14-7-27-15-29-2-6-13-18*4-23-9-1-3-11-17-22-0-13-6-5-15-29*29-2-7-20-14-23-1-3-9*22-18-12-0-17-19-8-26*16-10-6-15-27*28-7-24-3-1*
