,f_1,f_2,R_x
135,15.64323708206687,432,9-14-24-4-7-27-10*11-25-28-16-6-21-2*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1-3-24-20*26-8-12-19-17-28-7-20-24-1-3-11-25-22-18*5-15-2-7-20-14-11*11-14-3-24-7-2*18-12-19-22-25-28-16-2-29-27-7-24*11-17-19-12-0-13-6-5-21-10-27-7-14-9-3*29-27-16-28-0-26-8-12-22-18-13-6-15-10*16-27-2-10-29-15*25-28*
136,15.643617021276595,429,9-14-24-4-7-27-10*11-25-28-16-6-21-2*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1-3-24-20*26-8-12-19-17-28-7-20-24-1-3-11-25-22-18*5-15-2-7-20-14-11*11-3-24-7-2*18-12-19-22-25-28-16-2-29-27-7-24*11-17-19-12-0-13-6-5-21-10-27-7-14-9-3*29-27-16-28-0-26-8-12-22-18-13-6-15-10*16-27-2-10-29-15*25-28*
134,15.652589431844753,428,9-14-24-4-7-27-10*11-25-28-16-6-21-2*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1-3-24-20*26-8-12-19-17-28-7-20-24-1-3-11-25-22-18*5-15-2-7-20-14-11*11-14-3-24-7-2*12-19-22-25-28-16-2-29-27-7-24*11-17-19-12-0-13-6-5-21-10-27-7-14-9-3*29-27-16-28-0-26-8-12-22-18-13-6-15-10*16-27-2-10-29-15*25-28*
137,15.65840542436287,425,9-14-24-4-7-27-29-10*11-25-28-16-6-21-2*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1-3-24-20*26-8-12-19-17-28-7-20-24-1-3-11-25-22-18*5-15-2-7-20-14-11*11-3-24-7-2*18-12-19-22-25-28-16-2-29-27-7-24*11-17-19-12-0-13-6-5-21-10-27-7-14-9-3*29-27-16-28-0-26-8-12-22-18-13-6-15-10*16-27-2-10-15*25-28*
148,15.666530278232406,385,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*4-20-7-25-0-18-22-17-11-14-23-9-1-24*13-6-16-7-14-23-1-3-24-4*26-8-12-17-28-7-20-24-1-3-11*15-2-7-24*4-20-14-1*8-12-19-22-25-28-16-2-21*1-3-4-7-27-10-16-15*2-29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
149,15.68827449146598,383,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*4-20-7-25-0-18-22-17-11-14-23-9-1-24*13-6-16-7-14-23-1-3-24-4*26-8-12-17-28-7-20-24-1-3-11*15-2-7-24*4-20-14-1*8-12-19-22-25-28-16-2-21*1-3-4-7-27-10-21-15*2-29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
152,15.69140168342296,380,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*4-20-7-25-0-18-22-17-11-14-23-9-1-24*13-6-16-7-14-23-1-3-24-4*26-8-12-17-28-7-20-24-1-3-11*15-2-7-24*20-14*8-12-19-22-25-28-16-2-21*1-3-4-7-27-10-21-15*2-29-27-16-28-0-26-8-12-18-13-6-10-15-5*27-7*25-28*
150,15.691840074818796,379,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*4-20-7-25-0-18-22-17-11-14-23-9-1-24*13-6-16-7-14-23-1-3-24-4*26-8-12-17-28-7-20-24-1-3-11*15-2-7-24*20-14-1*8-12-19-22-25-28-16-2-21*1-3-4-7-27-10-21-15*2-29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
151,15.69487958849661,374,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*4-20-7-25-0-18-22-17-11-14-23-9-1-24*13-6-16-7-14-23-1-3-24-4*26-8-12-17-28-7-20-24-1-3-11*15-2-7-24*20-14*8-12-19-22-25-28-16-2-21*1-3-4-7-27-10-21-15*2-29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
153,15.69736380640636,373,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*4-20-7-25-0-18-22-17-11-14-23-9-1-24*13-6-16-7-14-23-1-3-24-4*26-8-12-17-28-7-20-24-1-3*15-2-7-24*20-14*8-12-19-22-25-28-16-2-21*1-3-4-7-27-10-21-15*2-29-27-16-28-0-26-8-12-18-13-6-10-15-5*27-7*25-28*
155,15.703705868599483,368,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*4-20-7-25-0-18-22-17-11-14-23-9-1-24*13-6-16-7-14-23-1-3-24-4*26-8-12-17-28-7-20-24-1-3*15-2-7-24*24-20-14*8-12-19-22-25-28-16-2-21*1-3-4-7-27-10-21-15*29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
157,15.716360766892684,367,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*4-20-7-25-0-18-22-17-11-14-23-9-1-24*13-6-16-7-14-23-1-3-24-4*26-8-12-17-28-7-20-24-1-3*2-7-24*24-20-14*8-12-19-22-25-28-16-2-21*1-3-4-7-27-10-2-15*29-27-16-28-0-26-8-12-18-13-6-10-15*2-27-7*25-28*
154,15.72346270750526,365,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*4-20-7-25-0-18-22-17-11-14-23-9-1-24*13-6-16-7-14-23-1-3-24-4*26-8-12-17-28-7-20-24-1-3*15-2-7-24*20-14*8-12-19-22-25-28-16-2-21*1-3-4-7-27-10-21-15*29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
156,15.73155833528174,362,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*4-20-7-25-0-18-22-17-11-14-23-9-1-24*13-6-16-7-14-23-1-3-24-4*26-8-12-17-28-7-20-24-1-3*2-7-24*24-20-14*8-12-19-22-25-28-16-2-21*1-3-4-7-27-10-2-15*29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
147,15.737403553892916,358,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*20-7-25-0-18-22-17-11-14-23-9-1-24*13-6-16-7-14-23-1-3-24*8-12-17-28-7-20-24-1-3-11*15-2-7-24-4*4-20-14*8-12-19-22-25-28-16-27-2*1-3-4-7-27-10-16*2-29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
145,15.76873392564882,355,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*20-7-25-0-18-22-17-11-14-23-9-3-1-24*13-6-16-7-14-23-1-3-24*8-12-17-28-7-20-24-1-3-11*15-2-7-24-4*4-20-14*12-19-22-25-28-16-27-2*1-3-4-7-27-10-16*2-29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
146,15.773965396305822,354,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*20-7-25-0-18-22-17-11-14-23-9-1-24*13-6-16-7-14-23-1-3-24*8-12-17-28-7-20-24-1-3-11*15-2-7-24-4*4-20-14*12-19-22-25-28-16-27-2*1-3-4-7-27-10-16*2-29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
144,15.78255786766425,352,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*20-7-25-0-18-22-17-11-14-23-9-3-1-24*13-6-16-7-14-23-1-3-24*8-12-19-17-28-7-20-24-1-3-11*15-2-7-24*4-24-14*12-19-22-25-28-16-27-2*1-3-4-7-27-10-16*2-29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
142,15.798895253682488,351,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*20-7-25-0-18-22-17-11-14-23-9-3-1-24*13-6-16-7-14-23-1-3-24*8-12-19-17-28-7-20-24-1-3-11-25*15-2-7-24*4-24-14*12-19-22-25-28-16-27-2*1-3-4-7-27-10*2-29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
143,15.812339256488192,346,9-14-7-27-15-21-5-6-13-0-19-17-11-3-1*14-11-25-28-16-6-21-10-2-29*20-7-25-0-18-22-17-11-14-23-9-3-1-24*13-6-16-7-14-23-1-3-24*8-12-19-17-28-7-20-24-1-3-11*15-2-7-24*4-24-14*12-19-22-25-28-16-27-2*1-3-4-7-27-10*2-29-27-16-28-0-26-8-12-18-13-6-10-15*27-7*25-28*
141,15.93020808978256,345,9-14-7-27-15-21-5-6-13-0-17-11-3*14-11-25-28-16-6-21-10-2-29*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1-3-24-20*8-12-19-17-28-7-20-24-1-3-11*2-7-24-14*24-7*12-19-22-25-28-16-27-2*1-4-7-27-10*29-27-16-28-0-26-8-12-19-18-13-6-10-15*27-7*25-28*
138,15.96247369651625,344,9-14-7-27-15-21-5-6-13-0-19-17-11*11-25-28-16-6-21-10-2-29*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1-3-24-20*8-12-19-17-28-7-20-24-1-3-11*15-2-7-20-24-14*24-7*12-19-22-25-28-16-27-2*1-4-7-27-10*2-29-27-16-28-0-26-8-12-22-18-13-6-15-10*27-7*25-28*
139,15.969721767594107,342,9-14-7-27-15-21-5-6-13-0-19-17-11*11-25-28-16-6-21-10-2-29*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1-3-24-20*8-12-19-17-28-7-20-24-1-3-11*15-2-7-20-24-14*24-7*12-19-22-25-28-16-27-2*1-4-7-27-10*29-27-16-28-0-26-8-12-22-18-13-6-15-10*27-7*25-28*
140,15.97799275192892,341,9-14-7-27-15-21-5-6-13-0-19-17-11*11-25-28-16-6-21-10-2-29*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1-3-24-20*8-12-19-17-28-7-20-24-1-3-11*15-2-7-24-14*24-7*12-19-22-25-28-16-27-2*1-4-7-27-10*29-27-16-28-0-26-8-12-22-18-13-6-15-10*27-7*25-28*
133,16.034282207154547,340,14-23-24-4-7-27*25-28-16-6-21*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1-3*26-8-12-19-17-28-7-20-24-1-3-11-25*15-2-7-20-14-11*24-7*12-22-25-28-16-2-29-27-7*19-12-0-13-6-5-21-10-27-7-14-9-3*27-16-28-0-26-8-12-19-22-18-13-6-15-10*2-10-29-15*25-28*
132,16.04731704465747,334,14-23-24-4-7-27*25-28-16-6-21*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1-3*26-8-12-19-17-28-7-20-24-1-3-11-25*15-2-7-20-14-11*24-7*12-22-25-28-16-2-29-27-7*19-12-0-13-6-5-21-10-27-7-14-9-3*27-16-28-0-26-8-12-19-22-18-13-6-15-10*2-10-29*25-28*
131,16.060030395136778,330,14-23-24-4-7*25-28-16-6-21*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1-3*26-8-12-19-17-28-7-20-24-1-3-11-25*15-2-7-20-14-11*24-7*12-22-25-28-16-2-29-27-7*19-12-0-13-6-5-21-10-27-7-14-9-3*27-16-28-0-26-8-12-19-22-18-13-6-15-10*2-10-29*25-28*
130,16.10664601356091,325,14-23-24-4-7*25-28-16-6-21*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1-3*26-8-12-19-17-28-7-20-24-1-3-11-25*15-2-7-20-14*24-7*12-22-25-28-16-2-29-27-7*19-12-0-13-6-5-21-10-27-7-14-9-3*27-16-28-0-26-8-12-19-22-18-13-6-15-10*2-10-29*25-28*
129,16.157967032967033,324,14-1-23-24-4-7*25-28-16-6-21*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1*8-12-19-17-28-7-20-24-1-3-11-25*15-2-7-20-14*24-7*12-22-25-28-16-2-29-27-7*19-12-0-13-6-5-21-10-27-7-14-9-3*27-16-28-0-26-8-12-19-22-18-13-6-15-10*2-10-29*25-28*
128,16.198620528407762,323,14-1-23-24-4-7*25-28-16-6-21*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1*8-19-17-28-7-20-24-1-3-11-25*15-2-7-20-14*24-7*12-22-25-28-16-2-29-27-7*19-12-0-13-6-5-21-10-27-7-14-9-3*27-16-28-0-26-8-12-19-22-18-13-6-15-10*2-10-29*25-28*
127,16.21978021978022,321,14-1-23-24-4-7*25-28-16-6-21*20-7-25-0-18-22-17-11-14-23-9-3-1-4-24*13-6-16-7-14-23-1*8-19-17-28-7-20-24-1-3-11-25*15-2-7-20-14*24-7*12-22-25-28-16-2-29-27-7*12-0-13-6-5-21-10-27-7-14-9-3*27-16-28-0-26-8-12-19-22-18-13-6-15-10*2-10-29*25-28*
