,f_1,f_2,R_x
7,15.625789104512508,723,29-2-27-7-25-0-18-19-17-28-16-6-10*29-2-21-5-15-16-7-14-9-3-11-25-22-0-13*6-10-15-2-29-27-16-28-0-25-7-4-14-3-9*29-10-2-6-21-15-27-16-28-17-22-25-7*8-12-18-22-17-11-14-23-1-24-4-7-28-16-6*2-27-29-15-10-7-20-23-1-3-14-11-17-19-18*2-21-10-6-15-27-7-28-0-12-19-17-11-14-20*26-8-12-0-13-6-15-27-2-21-10-16-28-25*25-22-19-12-17-11-3-23-24-7-2-15-5-6*19-8-26-0-18-17-11-3-23-20-7-16-6-21*26-8-12-19-18-13-6-15-10-29-27-7-25-11-17*11-3-9-23-14-7-28-17-12-8-19-22-18-13-0*
8,15.649286883329436,718,29-2-27-7-25-0-18-19-17-28-16-6-10*29-2-21-5-15-16-7-14-9-3-11-25-22-0-13*6-10-15-2-29-27-16-28-0-25-7-4-14-3-9*29-10-2-6-15-27-16-28-17-22-25-7*8-12-18-22-17-11-14-23-1-24-4-7-28-16-6*2-27-29-15-10-7-20-23-1-3-14-11-17-19-18*2-21-10-6-15-27-7-28-0-12-19-17-11-14-20*26-8-12-0-13-6-15-27-2-21-10-16-28-25*25-22-19-12-17-11-3-23-24-7-2-15-5-6*19-8-26-0-18-17-11-3-23-20-7-16-6-21*26-8-12-19-18-13-6-15-10-29-27-7-25-11-17*11-3-9-23-14-7-28-17-12-8-19-22-18-13-0*
9,15.65095277063362,716,29-2-27-7-25-0-18-19-17-28-16-6-10*29-2-21-5-15-16-7-14-9-3-11-25-22-0-13*6-10-15-2-29-27-16-28-0-25-7-4-14-3*29-10-2-6-15-27-16-28-17-22-25-7*8-12-18-22-17-11-14-23-1-24-4-7-28-16-6*2-27-29-15-10-7-20-23-1-3-14-11-17-19-18*2-21-10-6-15-27-7-28-0-12-19-17-11-14-20*26-8-12-0-13-6-15-27-2-21-10-16-28-25*25-22-19-12-17-11-3-23-24-7-2-15-5-6*19-8-26-0-18-17-11-3-23-20-7-16-6-21*26-8-12-19-18-13-6-15-10-29-27-7-25-11-17*11-3-9-23-14-7-28-17-12-8-19-22-18-13-0*
6,15.695171849427169,715,29-2-27-7-25-0-18-19-17-28-16-6-10*29-2-21-5-15-16-7-14-9-3-11-25-22-0-13*6-10-15-2-29-27-16-28-0-25-7-4-14-3-9*29-10-2-6-21-15-27-16-28-17-22-25-7*8-12-18-22-17-11-14-23-1-24-4-7-28-16-6*2-27-29-15-10-7-20-23-1-3-14-11-17-19-18*2-21-10-6-15-27-7-28-0-12-19-17-11-14-20*26-8-12-0-13-6-15-27-2-10-16-28-25*25-22-19-0-17-11-3-23-24-7-2-15-6-5*19-8-26-0-18-17-11-3-23-20-7-16-6-21*26-8-12-19-18-13-6-15-10-29-27-7-25-11-17*11-3-9-23-14-7-28-17-12-8-19-22-18-13-0*
10,15.701221650689735,685,29-2-27-7-25-0-18-19-17-28-16-6-10-21*29-2-21-5-15-16-7-14-9-3-11-25-22-0-13*10-15-2-29-27-16-28-0-25-7-4-14*29-10-2-6-15-27-16-28-17-22-25-7*8-12-18-22-17-11-14-23-1-24-4-7-28-16-6*29-15-10-7-20-23-1-3-14-11-17-19-18*21-10-6-15-27-7-28-0-12-19-17-11-14-20*26-8-12-0-13-6-15-27-2-21-10-16-28-25*25-22-19-17-11-3-23-24-7-2-15-5-6*19-8-26-0-18-17-11-3-23-20-7-16-6-21*8-12-19-18-13-6-15-10-29-27-7-25-11-17*11-3-9-23-14-7-28-17-12-8-19-22-18-13-0*
11,15.702829085807808,679,29-2-27-7-25-0-18-19-17-28-16-6-10-21*29-2-21-5-15-16-7-14-9-3-11-25-22-0-13*10-15-2-29-27-16-28-0-25-7-4-14*29-10-2-6-15-27-16-28-17-22-25-7*8-12-18-22-17-11-14-23-1-24-4-7-28-16-6*15-10-7-20-23-1-3-14-11-17-19-18*21-10-6-15-27-7-28-0-12-19-17-11-14-20*26-8-12-0-13-6-15-27-2-21-10-16-28-25*25-22-19-17-11-3-23-24-7-2-15-5-6*19-8-26-0-18-17-11-3-23-20-7-16-6-21*8-12-19-18-13-6-15-10-29-27-7-25-11-17*11-3-9-23-14-7-28-17-12-8-19-22-18-13-0*
0,15.707592938975916,670,22-17-19-0-13-6-21-10-7-16-27-2-29-15-5*13-6-2-15-21-10-27-16-7-28-17-12-19-22-0*5-6-16-28-25-22-19-12-18-0-17-11-14-3-1*23-9-1-4-24-20-7-25-0-18-13-6-5-21-10*9-1-3-23-14-20-7-16-27-2-29-15-21-6*13-18-0-22-17-11-14-20-7-27-10-15-16-2*17-11-3-1-23-14-20-24-4-7-25-0-26-8-19*10-29-27-15-5-6-16-7-14-23-1-9-3-4-20*26-8-12-19-17-28-16-27-29-10-6-15-21*21-10-6-13-18-0-26-8-12-19-22-17-11-3-9*28-25-0-19-17-22-18-13-6-5-21-2-27-29-15*8-12-19-18-13-0-25-11-3-24-14-23-1*
1,15.711421557166238,666,22-17-19-0-13-6-21-10-7-16-27-2-29-15-5*13-6-2-15-21-10-27-16-7-28-17-12-19-22-0*5-6-16-28-25-22-19-12-18-0-17-11-14-3-1*23-9-1-4-24-20-7-25-0-18-13-6-5-21-10*9-1-3-23-14-20-7-16-27-2-29-15-21-6*13-18-0-22-17-11-14-20-7-27-10-15-16-2*17-11-3-1-23-14-20-24-4-7-25-0-26-8-19*10-29-27-15-5-6-16-7-14-23-1-9-3-4*26-8-12-19-17-28-16-27-29-10-6-15-21*21-10-6-13-18-0-26-8-12-19-22-17-11-3-9*28-25-0-19-17-22-18-13-6-5-21-2-27-29-15*8-12-19-18-13-0-25-11-3-24-14-23-1*
2,15.714051905541266,665,22-17-19-0-13-6-21-10-7-16-27-2-29-15-5*13-6-2-15-21-10-27-16-7-28-17-12-19-22-0*5-6-16-28-25-22-19-12-18-0-17-11-14-3-1*23-9-1-4-24-20-7-25-0-18-13-6-5-21-10*9-1-3-23-14-20-7-16-27-2-29-15-21-6*13-18-0-22-17-11-14-20-7-27-10-15-16-2*17-11-3-1-23-14-20-24-4-7-25-0-26-8-19*10-29-27-15-5-6-16-7-14-23-1-9-3-4*26-8-12-19-17-28-16-27-29-10-6-15-21*21-10-6-13-18-0-26-8-12-22-17-11-3-9*28-25-0-19-17-22-18-13-6-5-21-2-27-29-15*8-12-19-18-13-0-25-11-3-24-14-23-1*
4,15.719458732756603,658,22-17-19-0-13-6-21-10-7-16-27-29-2-15-5*13-6-2-15-21-10-27-16-7-28-17-12-19-22-0*6-16-28-25-22-19-12-18-0-17-11-14-3-1*23-9-1-4-24-20-7-25-0-18-13-6-5-21-10*9-1-3-23-14-20-7-16-2-29-15-21-6*13-18-0-22-17-11-14-20-7-27-10-15-16-2*17-11-3-1-23-14-20-24-4-7-25-0-26-8-19*10-29-27-15-5-6-16-7-14-23-1-9-3-4*26-8-12-19-17-28-16-27-29-10-6-15-21*21-10-6-13-18-0-26-8-19-22-17-11-3-9*28-25-0-19-17-22-18-13-6-5-21-15-29-27-2*8-12-19-22-18-13-0-25-11-3-24-14-23-20*
