,f_1,f_2,R_x
26,15.692453822772972,539,29-2-15-5-6-16-7-20-23-9-1-3-24-14*3-14-11-17-19-18-13-6-21-10-16-28*22-0-13-6-5-21-2-27-16-28-17-18-12-8-19*6-10-15-29-2-27-7-14-23-1-3*11-25-0-18-13-6-2-7-10-21-15*11-17-12-8-26-0-18-22-25*14-1-9-3-11-17-22-0-18-13-6-15-10-7-28*8-19-18-0-25-28-16-15-6*1-3-24-20-14-11-17-22-12-8*14-3-1-4-24-7-28-0-18-12-19-8-26*25-7-24-3-23-4*13-6-16-28-17-19-22-25-7-27-29-2-21*
27,15.69736380640636,534,29-2-15-5-6-16-7-20-23-9-1-3-24-14*3-14-11-17-19-18-13-6-21-10-16-28*22-0-13-6-5-21-2-27-16-28-17-18-12-8-19*10-15-29-2-27-7-14-23-1-3*11-25-0-18-13-6-2-7-10-21-15*11-17-12-8-26-0-18-22-25*14-1-9-3-11-17-22-0-18-13-6-15-10-7-28*8-19-18-0-25-28-16-15-6*1-3-24-20-14-11-17-22-12-8*14-3-1-4-24-7-28-0-18-12-19-8-26*25-7-24-3-23-4*13-6-16-28-17-19-22-25-7-27-29-2-21*
28,15.716360766892684,514,2-15-5-6-16-7-20-23-9-1-3-24-14*14-11-17-19-18-13-6-21-10-16-28*22-0-13-6-5-21-2-27-16-28-17-18-12-8-19*15-29-2-27-7-14-23-1-3*25-0-18-13-6-2-7*11-17-12-8-26-0-18-22-25*14-1-9-3-11-17-22-0-18-13-6-15-10-7-28*8-19-18-0-25-28-16-15-21-10-7-24-3-1*15-6*9-14-3-1-4-24-7-28-0-18-12-19-8-26*23-3-24-20-14-11-17-22-12-8*13-6-16-28-17-19-22-25-7-27-29-2-21*
29,15.73036006546645,509,2-15-5-6-16-7-20-23-9-1-3-24-14*14-11-17-19-18-13-6-21-10-16-28*22-0-13-6-5-21-2-27-16-28-17-18-12-8-19*15-29-2-27-7-14-23-1-3*25-0-18-13-6-2-7*17-12-8-26-0-18-22-25*14-1-9-3-11-17-22-0-18-13-6-15-10-7-28*8-19-18-0-25-28-16-15-21-10-7-24-3-1*15-6*9-14-3-1-4-24-7-28-0-18-12-19-8-26*23-3-24-20-14-11-17-22-12-8*13-6-16-28-17-19-22-25-7-27-29-2-21*
30,15.75055529576806,504,2-15-5-6-16-7-20-23-9-1-3-24-14*14-11-17-19-18-13-6-21-10-16-28*22-0-13-6-5-21-2-27-16-28-17-18-12-8-19*15-29-2-27-7-14-23-1-3*25-0-18-13-6-2-7*17-12-8-26-0-18-22-25*14-1-9-3-11-17-22-0-18-13-6-15-10-7-28*8-19-18-0-25-28-16-15-21-10-7-24-3-1*15-6*9-14-3-1-4-24-7-28-0-18-12-19-8-26*23-3-24-20-14-11-17-22-12-8*6-16-28-17-19-22-25-7-27-29-2-21*
31,15.777004909983631,499,2-15-5-6-16-7-20-23-9-1-3-24-14*11-17-19-18-13-6-21-10-16-28*22-0-13-6-5-21-2-27-16-28-17-18-12-8-19*15-29-2-27-7-14-23-1-3*25-0-18-13-6-2-7*17-12-8-26-0-18-22-25*14-1-9-3-11-17-22-0-18-13-6-15-10-7-28*8-19-18-0-25-28-16-15-21-10-7-24-3-1*15-6*9-14-3-1-4-24-7-28-0-18-12-19-8-26*23-3-24-20-14-11-17-22-12-8*6-16-28-17-19-22-25-7-27-29-2-21*
32,15.788783025485154,496,2-15-5-6-16-7-20-23-9-1-3-24*11-17-19-18-13-6-21-10-16-28*22-0-13-6-5-21-2-27-16-28-17-18-12-8-19*15-29-2-27-7-14-23-1-3*25-0-18-13-6-2-7*17-12-8-26-0-18-22-25*14-1-9-3-11-17-22-0-18-13-6-15-10-7-28*8-19-18-0-25-28-16-15-21-10-7-24-3-1*15-6*9-14-3-1-4-24-7-28-0-18-12-19-8-26*23-3-24-20-14-11-17-22-12-8*6-16-28-17-19-22-25-7-27-29-2-21*
33,15.792670095861585,451,15-21-5-6-16-7-20-23-9-1-3-11-17-12-8*20-4-23-9-3-11-17-22-18-12*2-15-10*24-23-3-1-14-7-10-15*19-8*14-9-3-11-25-0-17-28-16*5-15-10-27-16-28-25-0-12-19-22*17-19-18-13-6-21-10-27-16-15-29*13-6-2-29-27-7-20-23-3-1-24-14-11-17*9-3-23-14-11-17-0-13-6-21-2-29*17-22-18-0-28-7-4-24-20-14*10-29-2-7-25-22-19-8-26-0-13-6-15-27*
34,15.79950900163666,447,15-21-5-6-16-7-20-23-9-1-3-11-17-12-8*20-4-23-9-3-11-17-22-18-12*2-15*23-24-4-3-1-14-7-10-15*19-8*14-9-3-11-25-0-17-28-16*15-10-27-16-28-25-0-12-19-22*17-19-18-13-6-21-10-27-16-15-29*13-6-2-29-27-7-20-23-1-24-14-11-17*9-3-23-14-11-17-0-13-6-21-2-29*17-22-18-0-28-7-4-24-20-14*10-29-2-7-25-22-19-8-26-0-13-6-15-27*
35,15.80143792377835,444,15-21-5-6-16-7-20-23-9-1-3-11-17-12-8*20-4-23-9-3-11-17-22-18-12*2-15*23-24-4-3-1-14-7-10-15*19-8*14-9-3-11-25-0-17-28-16*15-10-27-16-28-25-0-12-19*17-19-18-13-6-21-10-27-16-15-29*13-6-2-29-27-7-20-23-1-24-14-11-17*9-3-23-14-11-17-0-13-6-21-2-29*17-22-18-0-28-7-4-24-20-14*10-29-2-7-25-22-19-8-26-0-13-6-15-27*
36,15.85024549918167,443,15-21-5-6-16-7-20-23-9-1-3-11-17-12-8*20-4-23-9-3-11-17-22-18-12*2-15*23-24-4-3-1-14-7-10-15*19-8*14-9-3-11-25-0-17-28-16*15-10-27-16-28-25-0-12-19*17-19-18-13-6-21-15-16-27-10-29*13-6-2-29-27-7-20-23-1-24-14-11-17*9-3-23-14-11-17-0-13-6-21-2-29*17-22-18-0-28-7-4-24-20-14*10-29-2-7-25-22-19-8-26-0-13-6-15-27*
37,15.854629413140051,438,15-21-5-6-16-7-20-23-9-1-3-11-17-12-8*20-4-23-9-3-11-17-22-18-12*2-15*23-24-4-3-1-14-7-10-15*19-8*14-9-3-11-25-0-17-28-16*15-10-27-16-28-25-0-12-19*17-19-18-13-6-21-15-16-27-10-29*13-6-2-29-27-7-20-23-1-24-14-11-17*9-3-23-14-11-17-0-13-6-21-2-29*17-22-18-0-28-7-4-24-20-14*29-2-7-25-22-19-8-26-0-13-6-15-27*
51,15.868862520458263,426,9-3-11-25-0-13-6-10*0-28-7-4-24-14-11-17-12-19*14-20-7-25-0-12-19-18-13-6-2-16-10*20-4-3-23-14-7-27-10-21-6-15-29-2*3-9-1-23-14-11-17-22-0-18-13-6-2-10*5-15-10-29-2-27-7-24-1-9*1-4-7-16-15-21-5*23-4*20-7-25-28-0-18-22-12-8*1-4-20-7*29-27-16-28-17-19-8-26-0-13-6-15*1-3-9-14-7-16-6-5-15*
52,15.87868248772504,416,9-3-11-25-0-13-6-10*0-28-7-4-24-14-11-17-12-19*14-20-7-25-0-12-19-18-13-6-2-16-10*20-4-3-23-14-7-27-10-21-6-15-29-2*3-9-1-23-14-11-17-22-0-18-13-6-2*5-15-10-29-2-27-7-24-1-9*1-4-7-16-15-21-5*23-4*20-7-25-28-0-18-22-12-8*1-4-20-7*29-27-16-28-17-19-8-26-0-13-6-15*1-3-9-14-7-16-6-5*
53,15.883212532148702,406,3-11-25-0-13-6-10*0-28-7-4-24-14-11-17-12-19*14-20-7-25-0-12-19-18-13-6-2-16-10*24-20-4-3-23-14-7-27-10-21-6-15-29*9-1-23-14-11-17-22-0-18-13-6*15-10-29-2-27-7-24-1-9-23*3-1-4-20-7-16-15-21-5*24-23-4*7-16-28-25-0-18-22-12-8*4-7*29-27-16-28-17-19-8-26-0-13-6-5*1-3-9-14-7-16-6-5-21*
54,15.958791208791208,396,23-9-3-11-25-0-18*13-0-25-28-7-24-4*17-11-14-20-7-25-22-12-19-18-13-6-21-2-16*24-20-4-3-23-14-7-27-10-21-6-15-29*9-1-23-14-11-17-22-0-18-12-19*6-10-2-29-27-7-24-1*4-24-14-11-17-19-12-8*5-21-15-16-7-20-23-4-1-9*28-0-18-12-17*4-7*10-27-16-28-17-19-8-26-0-13-6-5*24-3-1-9-14-7-16-6-5*
55,15.961567687631517,394,23-9-3-11-25-0-18*13-0-25-28-7-24-4*17-11-14-20-7-25-22-12-19-18-13-6-21-2-16*24-20-4-3-23-14-7-27-10-21-6-15-29*9-1-23-14-11-17-22-0-18-12-19*6-10-2-29-27-7-24-1*4-24-14-11-17-19-12-8*5-21-15-16-7-20-23-4-1*28-0-18-12-17*4-7*10-27-16-28-17-19-8-26-0-13-6-5*24-3-1-9-14-7-16-6-5*
45,15.967062193126022,370,21-5-6-16-7-20-23-9-1-3-11-17-12-8*9-3-11-17-18*2-15*24-3-1-14-7-10-15*19-8*9-3-11-25-0-17-28-7*10-27-16-28-25-0-12-19*17-19-18-13-6-10-2-29-27-16-15-21*2-29-27-7-20-23-1-24-14-11*1-23-14-11-17-22-0-13-6-21-2-29*18-0-28-7-4-24-20-14*2-7-25-22-19-8-26-0-13-6-15*
44,15.979980126256722,367,21-5-6-16-7-20-23-9-1-3-11-17-12-8*9-3-11-17-18*2-15*24-3-1-14-7-10-15*19-8*9-3-11-25-0-17-28-7*10-27-16-28-25-0-12-19*17-19-18-13-6-10-2-29-27-16-15-21*2-29-27-7-20-23-1-24-14-11*1-23-14-11-17-22-0-13-6-21-2-29*18-0-28-7-4-24-20*2-7-25-22-19-8-26-0-13-6-15*
60,15.987462006079028,361,3-1-23-14-7-27-10-21-6-15-29-2*28-25*11-14-20-7-10-15*4-20-24-1-3*7-28-0*21-2-7-24-4*4-24-14-11-17-12-8-26*20-7-25-22-19-12-18-13-6-10-16-2-15*15-16-7-4-1*7-24-23-14-11-17-22-0-13-6-5-21*2-10-29-27-16-28-17-19-12-8-26-0-18*21-5-6-16-7-14-23-9-1-3-11-25-0-18*
61,16.015051437923777,360,3-1-14-7-27-10-21-6-15-29-2*28-25*11-14-20-7-10-15*4-20-24-1-3*7-28-0*21-2-7-24-4*4-24-14-11-17-12-8-26*20-7-25-22-19-12-18-13-6-10-16-2-15*15-16-7-4-1*7-24-23-14-11-17-22-0-13-6-5-21*2-10-29-27-16-28-17-19-12-8-26-0-18*21-5-6-16-7-14-23-9-1-3-11-25-0-18*
62,16.03752630348375,358,3-1-14-7-27-10-21-6-15-29-2*28-25*11-14-20-7-10-15*4-20-24-1-3*7-28-0*21-2-7-4*4-24-14-11-17-12-8-26*20-7-25-22-19-12-18-13-6-10-16-2-15*15-16-7-4-1*7-24-23-14-11-17-22-0-13-6-5-21*2-10-29-27-16-28-17-19-12-8-26-0-18*21-5-6-16-7-14-23-9-1-3-11-25-0-18*
59,16.06596329202712,357,3-23-14-7-27-10-21-6-15-29-2*28-25*11-14-20-7-10-15*4-20-24-1-3*7-28-0*21-2-7-4*4-24-14-11-17-12-8-26*20-7-25-22-19-12-18-13-6-10-16-2-15*15-16-7-24-23-14-11-17-22-0-13-6-5-21*1-24-7*2-10-29-27-16-28-17-19-12-8-26-0-18*21-5-6-16-7-14-23-9-1-3-11-25-0-18*
63,16.075286415711947,355,3-1-14-7-27-10-21-6-15-29-2*28-25*11-14-20-7-10-15*4-24-1-3*7-28-0*21-2-7-4*4-24-14-11-17-12-8-26*20-7-25-22-19-12-18-13-6-10-16-2-15*15-16-7-20-4-1*7-24-23-14-11-17-22-0-13-6-5-21*2-10-29-27-16-28-17-19-12-8-26-0-18*21-5-6-16-7-14-23-9-1-3-11-25-0-18*
64,16.095510872106615,353,3-1-14-7-27-10-21-6-15-29-2*28-25*11-14-20-7-10-15*4-24-1-3*7-28-0*21-2-7-4*4-24-14-11-17-12-8-26*20-7-25-22-19-12-18-13-6-10-16-2-15*15-16-7-4-1*7-24-23-14-11-17-22-0-13-6-5-21*2-10-29-27-16-28-17-19-12-8-26-0-18*21-5-6-16-7-14-23-9-1-3-11-25-0-18*
50,16.14437689969605,344,10-21-5-6-16-7-20-23-9-1-3-11-17-12-8*3-14*2-15*24-3-1-14-7-10-15-21*19-8*9-3-11-25-22-17-28-7*27-16-28-25-0-12-19*17-19-18-13-6-10-2-29-27-16*2-29-27-7-4-24-1-23-20-14*1-23-14-11-17-22-0-13-6-21-2-29*18-0-28-7-20-24-4*2-7-25-22-19-12-8-26-0-13-6-15*
52,16.175473462707505,340,10-21-5-6-16-7-20-23-9-1-3-11-17-12-8*3-14*2-15*3-1-14-7-10-15-21*19-8*9-3-11-25-22-17-28-7*27-16-28-25-0-12-19*17-19-18-13-6-10-29-2-27-16*2-29-27-7-4-24-1-23-20-14*1-23-14-11-17-22-0-13-6-21-2-29*18-0-28-7-20-24-4*2-7-25-22-19-12-8-26-0-13-6-15*
51,16.177811550151976,339,10-21-5-6-16-7-20-23-9-1-3-11-17-12-8*3-14*2-15*3-1-14-7-10-15-21*19-8*9-3-11-25-22-17-28-7*27-16-28-25-0-12-19*17-19-18-13-6-10-2-29-27-16*2-29-27-7-4-24-1-23-20-14*1-23-14-11-17-22-0-13-6-21-2-29*18-0-28-7-20-24-4*2-7-25-22-19-12-8-26-0-13-6-15*
49,16.19493804068272,338,21-5-6-16-7-20-23-9-1-3-11-17-12-8*3-14*2-15*24-3-1-14-7-10-15-21*19-8*9-3-11-25-22-17-28-7*27-16-28-25-0-12-19*17-19-18-13-6-10-2-29-27-16*2-29-27-7-4-20-23-1-24-14*23-14-11-17-22-0-13-6-21-2-29*18-0-28-7-20-24-4*2-7-25-22-19-12-8-26-0-13-6-15*
53,16.20323825111059,337,10-21-5-6-16-7-20-23-9-1-3-11-17-12-8*3-14*2-15*3-1-14-7-10-15-21*19-8*9-3-11-25-22-17-28-7*27-16-28-25-0-12-19*17-19-18-13-6-10-29-2-27*2-29-27-7-4-24-1-23-20-14*1-23-14-11-17-22-0-13-6-21-2-29*18-0-28-7-20-24-4*2-7-25-22-19-12-8-26-0-13-6-15*
69,16.206453121346737,333,1-14-7-27-10-21-6-15-29-2*28-25*11-14-20-7-10-15*4-24-1-3*7-28-0*5-21-2-7-4*4-24-14-11-17-12-8-26*20-7-25-22-19-12-18-13-6-10-2-15*27-16-7-4*7-24-23-14-11-17-22-0-13-6-5-21*10-29-27-16-28-17-19-12-8-26-0-18*21-5-6-16-7-14-23-9-1-3-11-25-0-18*
55,16.218231236848258,330,21-5-6-16-7-20-23-9-1-3-11-17-12-8*3-14*2-15*3-1-14-7-10-15-21*19-8*9-3-11-25-22-17-28-7*27-16-28-25-0-12-19*17-19-18-13-6-10-29-2-27*29-27-7-4-24-1-23-20-14*1-23-14-11-17-22-0-13-6-21-2-29*18-0-28-7-20-24-4*2-7-25-22-19-12-8-26-0-13-6-15*
56,16.230243161094226,328,21-5-6-16-7-20-23-9-1-3-11-17-12-8*3-14*2-15*3-1-14-7-10-15-21*19-8*9-3-11-25-22-17-28-7*27-16-28-25-0-12*17-19-18-13-6-10-29-2-27*29-27-7-4-24-1-23-20-14*1-23-14-11-17-22-0-13-6-21-2-29*18-0-28-7-20-24-4*2-7-25-22-19-12-8-26-0-13-6-15*
71,16.27101356090718,327,21-5-6-16-7-20-23-9-1-3-11-17-22-0*23-24-20*9-14-23-4*24-7-2-29-10*21-10-27-7-14-3-1*6-21-15-16-28-17-19-12*27-16-28-25*2-6-13-0-19-12-18-22*12-18-0-28-7-4-24-1-14-20*2-15-5*3-24-14-11-17-12-8-26-0-13-6-10*5-15-10-2-29-27-7-25-22-19-12-8*
73,16.275134440028058,325,21-5-6-16-7-20-23-9-1-3-11-17-22-0*23-24-20*9-14-23-4*24-14-11-17-12-8-26-0-13-6-10*21-10-27-7-14-3-1-23*21-15-16-28-17-19-12*27-16-28-25*2-6-13-0-19-12-18-22*12-18-0-28-7-4-24-1-14-20*2-15-5*3-24-7-2-29-10*5-15-10-2-29-27-7-25-22-19-12-8*
57,16.30576338555062,324,21-5-6-16-7-20-23-9-1-3-11-17-12*3-14*2-15*3-1-14-7-10-15-21*19-8*9-3-11-25-22-17-28-7*27-16-28-25-0-12*17-19-18-13-6-10-29-2-27*29-27-7-4-24-1-23-20-14*1-23-14-11-17-22-0-13-6-21-2-29*18-0-28-7-20-24-4*2-7-25-22-19-12-8-26-0-13-6-15*
72,16.313362169745147,322,21-5-6-16-7-20-23-9-1-3-11-17-22-0*23-24-20*9-14-23-4*24-7-2-29-10*21-10-27-7-14-3-1*21-15-16-28-17-19-12*27-16-28-25*2-6-13-0-19-12-18-22*12-18-0-28-7-4-24-1-14-20*2-15-5*3-24-14-11-17-12-8-26-0-13-6-10*5-15-10-2-29-27-7-25-22-19-12-8*
75,16.33209609539397,320,9-3-1-23-14-7-27-29-10-21-6-15*28-25-0-17*24-7-16-6*20-14*7-28*2-7-4*1-3-4-24-14-11-17-12-8*2-10-6-13-18-12-19-22-25-7-20-4*20-7*20-24-23-1-3-11-17-22-0-13-6-5-21*21-15-10-27-16-28-17-19-8-26-0-25*19-22-18-0-25-11-3-9-23-14-7-10-15-2-27*
74,16.340279401449614,319,1-14-20-7-27-10-21-6-15-29-2*28-25*11-14-7-10-15*4-3-1-24*7-28*5-21-2-7*4-24-14-11-17-12-8-26*20-7-25-22-19-12-18-13-6-10-2-15*27-7-4*7-24-23-14-11-17-22-0-13-6-5-21*29-27-16-28-17-19-12-8-26-0-18*21-5-6-16-7-14-23-9-1-3-11-25-0-18*
74,16.34255903670797,318,21-5-6-16-7-20-23-9-1-3-11-17-22-0*23-24-20*9-14-23-4*24-14-11-17-12-8-26-0-13-6-10*21-10-27-7-14-3-1-23*21-15-16-28-17-19-12*27-16-28-25*2-6-13-0-19-12-18-22*12-18-0-28-7-4-24-14-20*2-15-5*3-24-7-2-29-10*5-15-10-2-29-27-7-25-22-19-12-8*
75,16.36272504091653,315,21-5-6-16-7-20-23-9-1-3-11-17-22-0*23-24-20*9-14-23-4*24-14-11-17-12-8-26-0-13-6-10*21-10-27-7-14-3-1-23*21-15-16-28-17-19-12*27-16-28-25*2-6-13-0-19-12-18-22*12-18-0-28-7-4-24-20*2-15-5*3-24-7-2-29-10*5-15-10-2-29-27-7-25-22-19-12-8*
76,16.37210661678747,310,21-5-6-16-7-20-23-9-1-3-11-17-22-0*23-24-20*9-14-23-4*24-14-11-17-12-8-26-0-13-6-10*21-10-27-7-14-3-1-23*21-15-16-28-17-19-12*27-16-28-25*2-6-13-0-19-12-18-22*12-18-0-28-7-4-24-20*15-5*3-24-7-2-29-10*5-15-10-2-29-27-7-25-22-19-12-8*
77,16.38642740238485,305,21-5-6-16-7-20-23-9-1-3-11-17-22-0*23-24-20*14-23-4*24-14-11-17-12-8-26-0-13-6-10*21-10-27-7-14-3-1-23*21-15-16-28-17-19-12*27-16-28-25*2-6-13-0-19-12-18-22*12-18-0-28-7-4-24-20*15-5*3-24-7-2-29-10*5-15-10-2-29-27-7-25-22-19-12-8*
78,16.415039747486556,303,21-5-6-16-7-20-23-9-1-3-11-17-22-0*23-24-20*14-23-4*24-14-11-17-12-8-26-0-13-6-10*21-10-27-7-14-3-1-23*21-15-16-28-17-19-12*27-16-28-25*2-6-13-0-18-12-19-22*12-18-0-28-7-4-24-20*15-5*3-24-7-2-29-10*5-15-10-2-29-27-7-25-22-19-12-8*
79,16.428659106850596,293,21-5-6-16-7-20-23-9-1-3-11-17-22-0*24-20*23-4*24-14-11-17-12-8-26-0-13-6-10*21-10-27-7-14-3-1-23*21-15-16-28-17-19-12*27-16-28-25*2-6-13-0-18-22-19-12*12-18-0-28-7-4-24-20*15-5*3-24-7-2-29-10*5-15-10-2-29-27-7-25-22-19-12-8*
80,16.460398643909283,290,21-5-6-16-7-20-23-9-1-3-11-17-22-0*24-20*23-4*24-14-11-17-12-8-26-0-13-6-10*21-10-27-7-14-3-1*21-15-16-28-17-19-12*27-16-28-25*2-6-13-0-18-22-19-12*12-18-0-28-7-4-24-20*15-5*3-24-7-2-29-10*5-15-10-2-29-27-7-25-22-19-12-8*
81,16.48205517886369,283,21-5-6-16-7-20-23-9-1-3-11-17-22-0*24-20*23-4*24-14-11-17-12-8-26-0-13-6-10*21-10-27-7-14-1-3*21-15-16-28-17-19-12*27-16-28-25*2-6-13-0-18-22-19-12*18-0-28-7-4-24*15-5*3-24-7-2-29-10*5-15-10-2-29-27-7-25-22-19-12-8*
82,16.56973345803133,280,5-6-16-7-20-23-9-1-3-11-17-22-0*24-20*23-4*24-14-11-17-12-8-26-0-13-6-10*21-10-27-7-14-1-3*21-15-16-28-17-19-12*27-16-28-25*2-6-13-0-18-22-19-12*18-0-28-7-4-24*15-5*3-24-7-2-29-10*5-15-10-2-29-27-7-25-22-19-12-8*
70,16.58265139116203,279,21-5-6-16-7-20-23-9-1-3-11-17-22-0*24-20*14-23-4*24-7-2-29*21-10-27-7-14*6-21-15-16-28-17-19-12*27-16-28-25*6-13-0-19-12-18-22*18-0-28-7-4-24-1-14-20*2-15-5*24-14-11-17-12-8-26-0-13-6-10*15-10-2-29-27-7-25-22-19-12*
83,16.61015314472761,272,5-6-16-7-20-23-9-1-3-11-17-22-0*24-20*23-4*24-14-11-17-12-8-26-0-13-6-10*21-10-27-7-14-1-3*21-15-16-28-17-19-12*27-16-28-25*6-13-0-18-22-19-12*18-0-28-7-4-24*15-5*3-24-7-2-29-10*5-15-10-2-29-27-7-25-22-19-12-8*
