,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:06:23.390017,0.7593775221910166
1,Run_10,0 days 00:07:47.325223,0.7866051865821804
2,Run_2,0 days 00:09:30.058235,0.7752269817078062
3,Run_3,0 days 00:10:41.680312,0.7686963916694882
4,Run_4,0 days 00:07:10.266110,0.7755767556500429
5,Run_5,0 days 00:10:29.404812,0.7685324143516574
6,Run_6,0 days 00:02:00.866396,0.6797491761561869
7,Run_7,0 days 00:09:30.219267,0.782487574265345
8,Run_8,0 days 00:08:03.363723,0.7758071732132912
9,Run_9,0 days 00:09:24.495242,0.7884714353294232
