,f_1,f_2,R_x
17,15.612549684358196,552,24-20-23-1-3-9-14-7-10-15-21-5*1-9-23-14-11-17-18-13-6-2-15*3-24-7-27-29-2-10-6-13-0-18-19-12-8-26*23-24-4-20-14-1-3-11-17-19-12-0-22-25-7*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15-29*22-18-12-8-26-0-25-7-20-23-3-1-24-4*29-2-27-16-28-17-12-8-26*29-15-10-27-16-6-5*2-21-5-6-16-7-4-24-14-11-17-22-0-26-8*19-0-18-22-25-7-4-24*23-9-3-11-17-22-25-7-10-21-6-2*
16,15.61287117138181,551,24-20-23-1-9-14-7-10-15-21-5*1-9-23-14-11-17-18-13-6-2-15*3-24-7-27-29-2-10-6-13-0-18-19-12-8-26*23-24-4-20-14-1-3-11-17-19-12-0-22-25-7*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15-29*22-18-12-8-26-0-25-7-20-23-3-1-24-4*29-2-27-16-28-17-12-8-26*29-15-10-27-16-6-5*2-21-5-6-16-7-4-24-14-11-17-22-0-26-8*19-0-18-22-25-7-4-24*23-9-3-11-17-22-25-7-10-21-6-2*
18,15.619914659808275,549,20-23-1-3-9-14-7-10-15-21-5*1-9-23-14-11-17-18-13-6-2-15*3-24-7-27-29-2-10-6-13-0-18-19-12-8-26*23-24-4-20-14-1-3-11-17-19-12-0-22-25-7*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15-29*22-18-12-8-26-0-25-7-20-23-3-1-24-4*29-2-27-16-28-17-12-8-26*29-15-10-27-16-6-5*2-21-5-6-16-7-4-24-14-11-17-22-0-26-8*19-0-18-22-25-7-4-24*23-9-3-11-17-22-25-7-10-21-6-2*
15,15.62023614683189,548,20-23-1-9-14-7-10-15-21-5*1-9-23-14-11-17-18-13-6-2-15*3-24-7-27-29-2-10-6-13-0-18-19-12-8-26*23-24-4-20-14-1-3-11-17-19-12-0-22-25-7*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15-29*22-18-12-8-26-0-25-7-20-23-3-1-24-4*29-2-27-16-28-17-12-8-26*29-15-10-27-16-6-5*2-21-5-6-16-7-4-24-14-11-17-22-0-26-8*19-0-18-22-25-7-4-24*23-9-3-11-17-22-25-7-10-21-6-2*
19,15.655395136778116,541,20-23-1-3-9-14-7-10-15-21-5*1-9-23-14-11-17-18-13-6-2-15*3-24-7-27-29-2-10-6-13-0-18-19-12-8-26*23-24-4-20-14-1-3-11-17-19-12-0-22-25-7*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15-29*22-18-12-8-26-0-25-7-20-23-3-1-24-4*29-2-27-16-28-17-12-8-26*29-15-10-27-16-6-5*21-5-6-16-7-4-24-14-11-17-22-0-26-8*19-0-18-22-25-7-4-24*23-9-3-11-17-22-25-7-10-21-6-2*
20,15.670241992050505,537,20-23-1-3-9-14-7-10-15-21-5*1-9-23-14-11-17-18-13-6-2-15*3-24-7-27-29-2-10-6-13-0-18-19-12-8-26*23-24-4-20-14-1-3-11-17-19-12-0-22-25-7*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15-29*22-18-12-8-26-0-25-7-20-23-3-1-24-4*29-2-27-16-28-17-12-8-26*29-15-10-27-16-6-5*21-5-6-16-7-4-24-14-11-17-22-0-26-8*0-18-22-25-7-4-24*23-9-3-11-17-22-25-7-10-21-6-2*
21,15.690729483282675,520,20-23-1-3-9-14-7-10-15-21-5*9-23-14-11-17-18-13-6-2-15*3-24-7-27-29-2-10-6-13-0-18-19-12-8-26*23-24-4-20-14-1-3-11-17-19-12-0-22-25-7*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15-29*22-18-12-8-26-0-25-7-20-23-3-1-24*29-2-27-16-28-17-12-8*29-15-10-27-16-6-5*21-5-6-16-7-4-24-14-11-17-22-0-26-8*0-18-22-25-7-4-24*23-9-3-11-17-22-25-7-10-21-6*
22,15.69870820668693,516,20-23-1-3-9-14-7-10-15-21-5*9-23-14-11-17-18-13-6-2-15*3-24-7-27-29-2-10-6-13-0-18-19-12-8-26*23-24-4-20-14-1-3-11-17-19-12-0-22-25-7*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15-29*18-12-8-26-0-25-7-20-23-3-1-24*29-2-27-16-28-17-12-8*29-15-10-27-16-6-5*21-5-6-16-7-4-24-14-11-17-22-0-26-8*0-18-22-25-7-4*23-9-3-11-17-22-25-7-10-21-6*
23,15.71019406125789,510,20-23-1-3-9-14-7-10-15-21-5*9-23-14-11-17-18-13-6-2-15*3-24-7-27-29-2-10-6-13-0-18-19-12-8-26*23-24-4-20-14-1-3-11-17-19-12-0-22-25*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15-29*18-12-8-26-0-25-7-20-23-3-1-24*29-2-27-16-28-17-12-8*29-15-10-27-16-6-5*21-5-6-16-7-4-24-14-11-17-22-0-26-8*18-22-25-7-4*23-9-3-11-17-22-25-7-10-21-6*
24,15.722352115969136,505,20-23-1-3-9-14-7-10-15-21-5*9-23-14-11-17-18-13-6-2-15*3-24-7-27-29-2-10-6-13-0-18-19-12-8*23-24-4-20-14-1-3-11-17-19-12-0-22-25*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15-29*18-12-8-26-0-25-7-20-23-3-1-24*29-2-27-16-28-17-12-8*29-15-10-27-16-6-5*21-5-6-16-7-4-24-14-11-17-22-0-26-8*18-22-25-7-4*23-9-3-11-17-22-25-7-10-21-6*
2,15.732464344166472,503,8-26-0-13-6-10-2-29-27-7-24-23-1-3*8-12-19-22-17-11-14-20-24-3-1-4*16-15-6-2-27-7-28-17-22-19-12-8-26*21-15-29-27-16-28-25-0-26-8-19-17-12-22*14-24*21-6-16-28-17-12-18-0-25-7-20-23-4*18-22-25-11-17-19-12-0*29-2-15-5-21-6-16-7-14-1-3-9-23-24-20*16-10-21-5-6-13-0-22-17-11-3-1-9-23-14*5-21-15-2-7-20-14-9-1-24-4-3-23*21-6-13-18-19-0-25-22*1-4-7-10-15*
3,15.758913958382044,502,8-26-0-13-6-10-2-29-27-7-24-23-1-3*8-12-19-22-17-11-14-20-24-3-1-4*16-15-6-2-7-28-17-22-19-12-8-26*21-15-29-27-16-28-25-0-26-8-19-17-12-22*14-24*21-6-16-28-17-12-18-0-25-7-20-23-4*18-22-25-11-17-19-12-0*29-2-15-5-21-6-16-7-14-1-3-9-23-24-20*16-10-21-5-6-13-0-22-17-11-3-1-9-23-14*5-21-15-2-7-20-14-9-1-24-4-3-23*21-6-13-18-19-0-25-22*1-4-7-10-15*
25,15.768529342997429,500,20-23-1-3-9-14-7-10-15-21-5*9-23-14-11-17-18-13-6-2-15*24-7-27-29-2-10-6-13-0-18-19-12-8*23-24-4-20-14-1-3-11-17-19-12-0-22-25*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15-29*18-12-8-26-0-25-7-20-23-3-1-24*29-2-27-16-28-17-12-8*29-15-10-27-16-6-5*21-5-6-16-7-4-24-14-11-17-22-0-26-8*18-22-25-7-4*23-9-3-11-17-22-25-7-10-21-6*
26,15.77127659574468,494,20-23-1-3-9-14-7-10-15-21-5*9-23-14-11-17-18-13-6-2-15*24-7-27-29-2-10-6-13-0-18-19-12-8*23-24-4-20-14-1-3-11-17-19-12-0-22-25*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15*18-12-8-26-0-25-7-20-23-3-1-24*29-2-27-16-28-17-12-8*29-15-10-27-16-6-5*21-5-6-16-7-4-24-14-11-17-22-0-26-8*18-22-25-7-4*23-9-3-11-17-22-25-7-10-21-6*
27,15.772182604629414,486,20-23-1-3-9-14-7-10-15-21-5*9-23-14-11-17-18-13-6-2-15*24-7-27-29-2-10-6-13-0-18-19-12-8*23-24-4-20-14-1-3-11-17-19-12-0-22-25*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15*18-12-8-26-0-25-7-20-23-3-1-24*29-2-27-16-28-17-12-8*29-15-10-27-16-6-5*21-5-6-16-7-4-24-14-11-17-22-0-26*18-22-25-7-4*9-3-11-17-22-25-7-10-21-6*
28,15.7800736497545,481,20-23-1-3-9-14-7-10-15-21-5*9-23-14-11-17-18-13-6-2-15*24-7-27-29-2-10-6-13-0-18-19-12-8*23-24-4-20-14-1-3-11-17-19-12-0-22-25*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15*18-12-8-26-0-25-7-20-23-3-1-24*29-2-27-16-28-17-12-8*29-15-10-27-16-6*21-5-6-16-7-4-24-14-11-17-22-0-26*18-22-25-7-4*9-3-11-17-22-25-7-10-21-6*
29,15.782733224222586,478,20-23-1-3-9-14-7-10-15-21-5*9-23-14-11-17-18-13-6-15-2*24-7-27-29-2-10-6-13-0-18-19-12-8*23-24-4-20-14-1-3-11-17-19-12-0-22-25*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6-15*18-12-8-26-0-25-7-20-23-3-1-24*29-2-27-16-28-17-12-8*29-15-10-27-16-6*21-5-6-16-7-4-24-14-11-17-22-0-26*18-22-25-7-4*9-3-11-17-22-25-7-10-21-6*
30,15.80114566284779,473,20-23-1-3-9-14-7-10-15-21-5*9-23-14-11-17-18-13-6-15-2*24-7-27-29-2-10-6-13-0-18-19-12-8*23-24-4-20-14-1-3-11-17-19-12-0-22-25*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6*18-12-8-26-0-25-7-20-23-3-1-24*29-2-27-16-28-17-12-8*29-15-10-27-16-6*21-5-6-16-7-4-24-14-11-17-22-0-26*18-22-25-7-4*9-3-11-17-22-25-7-10-21-6*
31,15.829845686228666,468,20-23-1-3-9-14-7-10-15-21-5*9-23-14-11-17-18-13-6-15*24-7-27-29-2-10-6-13-0-18-19-12-8*23-24-4-20-14-1-3-11-17-19-12-0-22-25*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6*18-12-8-26-0-25-7-20-23-3-1-24*29-2-27-16-28-17-12-8*29-15-10-27-16-6*21-5-6-16-7-4-24-14-11-17-22-0-26*18-22-25-7-4*9-3-11-17-22-25-7-10-21-6*
32,15.835807809212064,462,20-23-1-3-9-14-7-10-15-21-5*9-23-14-11-17-18-13-6-15*24-7-27-29-2-10-6-13-0-18-19-12-8*23-24-4-20-14-1-3-11-17-19-12-0-22-25*7-2-16-10-15-6-13-0-12-22-19-8*9-1-4-7-28-25-0-22-18-13-6*18-12-8-26-0-25-7-20-23-3-1-24*29-2-27-16-28-17-12-8*29-15-10-27-16*21-5-6-16-7-4-24-14-11-17-22-0-26*18-22-25-7-4*9-3-11-17-22-25-7-10-21-6*
