,f_1,f_2,R_x
0,15.70765139116203,590,6-5-21-15-27-7*6-16-28-0-12-17-11-14-23-24-7-2-15-5*17-19-12-8-26-0-25-7-2-21-15-10-16-28*15-6-2-29-27-7-28-17-19-8-12-22-18*5-15-2-21-6-10-7-27*0-17-11-25-7-14-24-23*27-15-21-5-6-16-7-24-3-9-14*24-4-14-11-3-9-23-20-7-10-15-29-27-16-6*23-20-7-25-22-17-19-12-18-0-13-6-21-10-29*20-14-7-28-25-22-0-18-19-17-11-3-1*2-15-10-6-16-7-4-1-24-20-23-3-9-14*21-5-6-13-18-22-17-11-14-9-1-3-23-4*
1,15.735065466448445,585,6-5-21-15-27-7*6-16-28-0-12-17-11-14-23-24-7-2-15-5*17-19-12-8-26-0-25-7-2-21-15-10-16-28*6-2-29-27-7-28-17-19-8-12-22-18*5-15-2-21-6-10-7-27*0-17-11-25-7-14-24-23*27-15-21-5-6-16-7-24-3-9-14*24-4-14-11-3-9-23-20-7-10-15-29-27-16-6*23-20-7-25-22-17-19-12-18-0-13-6-21-10-29*20-14-7-28-25-22-0-18-19-17-11-3-1*2-15-10-6-16-7-4-1-24-20-23-3-9-14*21-5-6-13-18-22-17-11-14-9-1-3-23-4*
2,15.78384381575871,583,6-5-21-15-27-7*6-16-28-0-12-17-11-14-23-24-7-2-15-5*17-19-12-8-26-0-25-7-2-21-15-10-16-28*6-2-29-27-7-28-17-19-8-12-22-18*5-15-2-21-6-10-7-27*0-17-11-25-7-14-24-23*27-10-21-5-6-16-7-24-3-9-14*24-4-14-11-3-9-23-20-7-10-15-29-27-16-6*23-20-7-25-22-17-19-12-18-0-13-6-21-10-29*20-14-7-28-25-22-0-18-19-17-11-3*2-15-10-6-16-7-4-1-24-20-23-3-9-14*21-5-6-13-18-22-17-11-14-9-1-3-23-4*
3,15.804652794014496,577,6-5-21-15-27-7*16-28-0-12-17-11-14-23-24-7-2-15-5*17-19-12-8-26-0-25-7-2-21-15-10-16-28*6-2-29-27-7-28-17-19-8-12-22-18*5-15-2-21-6-10-7-27*0-17-11-25-7-14-24-23*27-10-21-5-6-16-7-24-3-9-14*24-4-14-11-3-9-23-20-7-10-15-29-27-16-6*23-20-7-25-22-17-19-12-18-0-13-6-21-10-29*20-14-7-28-25-22-0-18-19-17-11-3*2-15-10-6-16-7-4-1-24-20-23-3-9-14*21-5-6-13-18-22-17-11-14-9-1-3-23-4*
4,15.837239887771805,570,6-5-21-15-27-7*16-28-0-12-17-11-14-23-24-7-2-15-5*17-19-12-8-26-0-25-7-2-21-15-10-16-28*6-15-2-29-27-7-28-17-19-8-12-22-18*15-2-21-6-10-7-27*0-17-11-25-7-14-24-23*27-10-21-5-6-16-7-24-3-9-14*24-4-14-11-3-9-23-20-7-10-29-27-16-6*23-20-7-25-22-17-19-12-18-0-13-6-21-10-29*20-14-7-28-25-22-0-18-19-17-11-3*2-15-10-6-16-7-4-1-24-20-23-3-9-14*21-5-6-13-18-22-17-11-14-9-1-3-23-4*
5,15.864010989010987,564,6-5-21-15-27-7*16-28-0-12-17-11-14-23-24-7-2-15-5*17-19-12-8-26-0-25-7-2-21-15-10-16-28*6-15-2-29-27-7-28-17-19-8-12-22-18*15-2-21-6-10-7-27*0-17-11-25-7-14-24-23*27-10-21-5-6-16-7-24-3-9-14*24-4-14-11-3-9-23-20-7-10-29-27-16-6*23-20-7-25-22-17-19-12-18-0-13-6-21-10-29*20-14-7-28-25-22-0-18-19-17-11-3*2-15-10-6-16-7-4-1-24-20-23-3-9-14*21-5-6-13-18-22-17-11-14-9-1-3-23*
6,15.89592588262801,549,6-5-21-15-27-7*16-28-0-12-17-11-14-23-24-7-2-15-5*17-19-12-8-26-0-25-7-2-21-15-10-16-28*6-15-2-29-27-7-28-17-19-8-12-22-18*2-21-6-10-7-27*0-17-11-25-7-14-24-23*27-10-21-5-6-16-7-24-3-9*24-4-14-11-3-9-23-20-7-10-29-27-16-6*23-20-7-25-22-17-19-12-18-0-13-6-21-10*20-14-7-28-25-22-0-18-19-17-11-3*2-15-10-6-16-7-4-1-24-20-23-3-9-14*21-5-6-13-18-22-17-11-14-9-1-3-23*
7,15.947276128127193,547,6-5-21-15-27-7*16-28-0-12-17-11-14-23-24-7-2-15-5*17-19-12-8-26-0-25-7-2-21-15-10-16-28*6-15-2-29-27-7-28-17-19-8-12-22-18*2-21-6-10-7-27*0-17-11-25-7-14-24-23*27-10-21-5-6-16-7-24-3-9*4-14-11-3-9-23-20-7-10-29-27-16-6*23-20-7-25-22-17-19-12-18-0-13-6-21-10*20-14-7-28-25-22-0-18-19-17-11-3*2-15-10-6-16-7-4-1-24-20-23-3-9-14*21-5-6-13-18-22-17-11-14-9-1-3-23*
8,16.003214870236146,542,6-5-21-15-27-7*16-28-0-12-17-11-14-23-24-7-2-15-5*17-19-12-8-26-0-25-7-2-21-15-10-16*6-15-2-29-27-7-28-17-19-8-12-22-18*2-21-6-10-7-27*0-17-11-25-7-14-24-23*27-10-21-5-6-16-7-24-3-9*4-14-11-3-9-23-20-7-10-29-27-16-6*23-20-7-25-22-17-19-12-18-0-13-6-21-10*20-14-7-28-25-22-0-18-19-17-11-3*2-15-10-6-16-7-4-1-24-20-23-3-9-14*21-5-6-13-18-22-17-11-14-9-1-3-23*
9,16.0357727379004,534,6-5-21-15-27-7*16-28-0-12-17-11-14-23-24-7-2-15-5*17-19-12-8-26-0-25-7-2-21-15-10-16*6-15-2-29-27-7-28-17-19-8-12-22-18*2-21-6-10-7*17-11-25-7-14-24-23*27-10-21-5-6-16-7-24-3-9*4-14-11-3-9-23-20-7-10-29-27-16-6*23-20-7-25-22-17-19-12-18-0-13-6-21-10*20-14-7-28-25-22-0-18-19-17-11-3*2-15-10-6-16-7-4-1-24-20-23-3-9-14*21-5-6-13-18-22-17-11-14-9-1-3-23*
