,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:02:13.753047,0.663770780681184
1,Run_10,0 days 00:09:03.806043,0.762690267094711
2,Run_2,0 days 00:03:02.960454,0.6224407522062273
3,Run_3,0 days 00:10:22.986638,0.7675948618974962
4,Run_4,0 days 00:02:35.732590,0.611296244390692
5,Run_5,0 days 00:06:02.814488,0.733696294807606
6,Run_6,0 days 00:02:26.991437,0.6505606551542764
7,Run_7,0 days 00:01:55.214274,0.6452821343964505
8,Run_8,0 days 00:02:18.398241,0.6129366572229377
9,Run_9,0 days 00:10:54.136207,0.7879162842449905
