,f_1,f_2,R_x
54,23.114314935857166,1335,61-17-59-9-68-11-1-26-8-56-51-41-27-67-37-65-39-48-66-19-3-69-29*31-9-49-62-24-63-6-35-41-36-54-18-39-48-3-23-50-13-20-55-8-51-57-25-4-7-46*46-40-4-25-34-35-64-52-55-17-60-44*56-51-35-6-47-53-4-25-27-67-5-32-18-54-36-45-58-64-52-8-28-10-16-1-31-11-68*63-21-62-42-49-1-59-17-50-23-69-18-67-65-5-32-39*46-40-4-25-41-36-19-69-0-2-14-44-60-61-43-20-52-10-59-9-31*13-50-0-69-18-65-37-5-54-38-22-33-20-17-9-11-31*41-57-34-51-8-10-59-68-9-1-49-11-31*12-25-4-53-7-46-40-47-6-63-24-42-15-49-26-8-51-34-45-36-38-66-29-23-2*46-40-12-41-36-19-22-33-58-35-51-64-52-20-17-44-14*37-5-54-66-19-65-18-32-39-48-3-69-38-36-41-12-40-7-47-6-56-8-55-10-16-9-11-31-1-26*42-62-24-30-26-16-10-20-43-50-0-23-29-66-3-69*13-50-23-29-48-39-32-37-67-27-41-35-6-21-30-26-16-55-52-64-51-57-58*53-47-6-56-28-10-17-61-44-14-2-50-33-58-34-41-12-4-7-40*64-35-57-34-51-8-28-56-6-63-30-15-62-26-16-55-17-43-13-22-45-41-25-4-12-27-67-37-65-32*
55,23.117559716951256,1330,61-17-59-9-68-11-1-26-8-56-51-41-27-67-37-65-39-48-66-19-3-69-29*31-9-49-62-24-63-6-35-41-36-54-18-39-48-3-23-50-13-20-55-8-51-57-25-4-7-46*46-40-4-25-34-35-64-52-55-17-60-44*56-51-35-6-47-53-4-25-27-67-5-32-18-54-36-45-58-64-52-8-28-10-16-1-31-11-68*63-21-62-42-49-1-59-17-50-23-69-18-67-65-5-32-39*46-40-4-25-41-36-19-69-0-2-14-44-60-61-43-20-52-10-59-9*13-50-0-69-18-65-37-5-54-38-22-33-20-17-9-11-31*41-57-34-51-8-10-59-68-9-1-49-11-31*12-25-4-53-7-46-40-47-6-63-24-42-15-49-26-8-51-34-45-36-38-66-29-23-2*46-40-12-41-36-19-22-33-58-35-51-64-52-20-17-44-14*37-5-54-66-19-65-18-32-39-48-3-69-38-36-41-12-40-7-47-6-56-8-55-10-16-9-11-31-1-26*42-62-24-30-26-16-10-20-43-50-0-23-29-66-3-69*13-50-23-29-48-39-32-37-67-27-41-35-6-21-30-26-16-55-52-64-51-57-58*53-47-6-56-28-10-17-61-44-14-2-50-33-58-34-41-12-4-7-40*64-35-57-34-51-8-28-56-6-63-30-15-62-26-16-55-17-43-13-22-45-41-25-4-12-27-67-37-65-32*
53,23.13074131566788,1328,61-17-59-9-68-11-1-26-8-56-51-41-27-67-37-65-39-48-66-19-3-69-29*31-9-49-62-24-63-6-35-41-36-54-18-39-48-3-23-50-13-20-55-8-51-57-25-4-7-46*46-40-4-25-34-35-64-52-55-17-60-44*56-51-35-6-47-53-4-25-27-67-5-32-18-54-36-45-58-64-52-8-28-10-16-1-31-11-68*63-21-62-42-49-1-59-17-50-23-69-18-67-65-5-32-39*46-7-40-4-25-41-36-19-69-0-2-14-44-60-61-43-20-52-10-59*13-50-0-69-18-65-37-5-54-38-22-33-20-17-9-11-31*41-57-34-51-8-10-59-68-9-1-49-11-31*12-25-4-53-7-46-40-47-6-63-24-42-15-49-26-8-51-34-45-36-38-66-29-23-2*46-40-12-41-36-19-22-33-58-35-51-64-52-20-17-44-14*37-5-54-66-19-65-18-32-39-48-3-69-38-36-41-12-40-7-47-6-56-8-55-10-16-9-11-31-1-26*42-24-30-26-16-10-20-43-50-0-23-29-66-3-69*13-50-23-29-48-39-32-37-67-27-41-35-6-21-30-26-16-55-52-64-51-57-58*53-47-6-56-28-10-17-61-44-14-2-50-33-58-34-41-12-4-7-40*64-35-57-34-51-8-28-56-6-63-30-15-62-26-16-55-17-43-13-22-45-41-25-4-12-27-67-37-65-32*
56,23.134946551965815,1326,61-17-59-9-68-11-1-26-8-56-51-41-27-67-37-65-39-48-66-19-3-69-29*31-9-49-62-24-63-6-35-41-36-54-18-39-48-3-23-50-13-20-55-8-51-57-25-4-7-46*46-40-4-25-34-35-64-52-55-17-60-44*56-51-35-6-47-53-4-25-27-67-5-32-18-54-36-45-58-64-52-8-28-10-16-1-31-11-68*63-21-62-42-49-1-59-17-50-23-69-18-67-65-5-32-39*46-40-4-25-41-36-19-69-0-2-14-44-60-61-43-20-52-10-59-9*13-50-0-69-18-65-37-5-54-38-22-33-20-17-9-11-31*57-34-51-8-10-59-68-9-1-49-11-31*12-25-4-53-7-46-40-47-6-63-24-42-15-49-26-8-51-34-45-36-38-66-29-23-2*46-40-12-41-36-19-22-33-58-35-51-64-52-20-17-44-14*37-5-54-66-19-65-18-32-39-48-3-69-38-36-41-12-40-7-47-6-56-8-55-10-16-9-11-31-1-26*42-62-24-30-26-16-10-20-43-50-0-23-29-66-3-69*13-50-23-29-48-39-32-37-67-27-41-35-6-21-30-26-16-55-52-64-51-57-58*53-47-6-56-28-10-17-61-44-14-2-50-33-58-34-41-12-4-7-40*64-35-57-34-51-8-28-56-6-63-30-15-62-26-16-55-17-43-13-22-45-41-25-4-12-27-67-37-65-32*
57,23.139603461792053,1324,61-17-59-9-68-11-1-26-8-56-51-41-27-67-37-65-39-48-66-19-3-69-29*31-9-49-62-24-63-6-35-41-36-54-18-39-48-3-23-50-13-20-55-8-51-57-25-4-7-46*46-40-4-25-34-35-64-52-55-17-60-44*56-51-35-6-47-53-4-25-27-67-5-32-18-54-36-45-58-64-52-8-28-10-16-1-31-11-68*63-21-62-42-49-1-59-17-50-23-69-18-67-65-5-32-39*46-40-4-25-41-36-19-69-0-2-14-44-60-61-43-20-52-10-59-9*13-50-0-69-18-65-37-5-54-38-22-33-20-17-9-11-31*34-51-8-10-59-68-9-1-49-11-31*12-25-4-53-7-46-40-47-6-63-24-42-15-49-26-8-51-34-45-36-38-66-29-23-2*46-40-12-41-36-19-22-33-58-35-51-64-52-20-17-44-14*37-5-54-66-19-65-18-32-39-48-3-69-38-36-41-12-40-7-47-6-56-8-55-10-16-9-11-31-1-26*42-62-24-30-26-16-10-20-43-50-0-23-29-66-3-69*13-50-23-29-48-39-32-37-67-27-41-35-6-21-30-26-16-55-52-64-51-57-58*53-47-6-56-28-10-17-61-44-14-2-50-33-58-34-41-12-4-7-40*64-35-57-34-51-8-28-56-6-63-30-15-62-26-16-55-17-43-13-22-45-41-25-4-12-27-67-37-65-32*
58,23.16731648816044,1321,61-17-59-9-68-11-1-26-8-56-51-41-27-67-37-65-39-48-66-19-3-69-29*31-9-49-62-24-63-6-35-41-36-54-18-39-48-3-23-50-13-20-55-8-51-57-25-4-7-46*46-40-4-25-34-35-64-52-55-17-60-44*56-51-35-6-47-53-4-25-27-67-5-32-18-54-36-45-58-64-52-8-28-10-16-1-31-11-68*63-21-62-42-49-1-59-17-50-23-69-18-67-65-5-32-39*46-40-4-25-41-36-19-69-0-2-14-44-60-61-43-20-52-10-59-9*13-50-0-69-18-65-37-5-54-38-22-33-20-17-9-11*34-51-8-10-59-68-9-1-49-11-31*12-25-4-53-7-46-40-47-6-63-24-42-15-49-26-8-51-34-45-36-38-66-29-23-2*46-40-12-41-36-19-22-33-58-35-51-64-52-20-17-44-14*37-5-54-66-19-65-18-32-39-48-3-69-38-36-41-12-40-7-47-6-56-8-55-10-16-9-11-31-1-26*42-62-24-30-26-16-10-20-43-50-0-23-29-66-3-69*13-50-23-29-48-39-32-37-67-27-41-35-6-21-30-26-16-55-52-64-51-57-58*53-47-6-56-28-10-17-61-44-14-2-50-33-58-34-41-12-4-7-40*64-35-57-34-51-8-28-56-6-63-30-15-62-26-16-55-17-43-13-22-45-41-25-4-12-27-67-37-65-32*
59,23.17137116661561,1319,61-17-59-9-68-11-1-26-8-56-51-41-27-67-37-65-39-48-66-19-3-69-29*31-9-49-62-24-63-6-35-41-36-54-18-39-48-3-23-50-13-20-55-8-51-57-25-4-7-46*46-40-4-25-34-35-64-52-55-17-60-44*56-51-35-6-47-53-4-25-27-67-5-32-18-54-36-45-58-64-52-8-28-10-16-1-31-11-68*63-21-62-42-49-1-59-17-50-23-69-18-67-65-5-32-39*40-4-25-41-36-19-69-0-2-14-44-60-61-43-20-52-10-59-9*13-50-0-69-18-65-37-5-54-38-22-33-20-17-9-11*34-51-8-10-59-68-9-1-49-11-31*12-25-4-53-7-46-40-47-6-63-24-42-15-49-26-8-51-34-45-36-38-66-29-23-2*46-40-12-41-36-19-22-33-58-35-51-64-52-20-17-44-14*37-5-54-66-19-65-18-32-39-48-3-69-38-36-41-12-40-7-47-6-56-8-55-10-16-9-11-31-1-26*42-62-24-30-26-16-10-20-43-50-0-23-29-66-3-69*13-50-23-29-48-39-32-37-67-27-41-35-6-21-30-26-16-55-52-64-51-57-58*53-47-6-56-28-10-17-61-44-14-2-50-33-58-34-41-12-4-7-40*64-35-57-34-51-8-28-56-6-63-30-15-62-26-16-55-17-43-13-22-45-41-25-4-12-27-67-37-65-32*
60,23.17710274794021,1307,61-17-59-9-68-11-1-26-8-56-51-34-45-36-38-66-29-23-2*9-49-62-24-63-6-35-41-36-54-18-39-48-3-23-50-13-20-55-8-51-57-25-4-7-46*46-40-4-25-34-35-64-52-55-17-60-44*51-35-6-47-53-4-25-27-67-5-32-18-54-36-45-58-64-52-8-28-10-16-1-31-11-68*63-21-62-42-49-1-59-17-50-23-69-18-67-65-5-32-39*40-4-25-41-36-19-69-0-2-14-44-60-61-43-20-52-10-59-9*13-50-0-69-18-65-37-5-54-38-22-33-20-17-9-11*34-51-8-10-59-68-9-1-49-11-31*12-25-4-53-7-46-40-47-6-63-24-42-15-49-26-8-51-41-27-67-37-65-39-48-66-19-3-69-29*46-40-12-41-36-19-22-33-58-35-51-64-52-20-17-44-14*37-5-54-66-19-65-18-32-39-48-3-69-38-36-41-12-40-7-47-6-56-8-55-10-16-9-11-31-1-26*62-24-30-26-16-10-20-43-50-0-23-29-66-3-69*13-50-23-29-48-39-32-37-67-27-41-35-6-21-30-26-16-55-52-64-51-57-58*53-47-6-56-28-10-17-61-44-14-2-50-33-58-34-41-12-4-7-40*64-35-57-34-51-8-28-56-6-63-30-15-62-26-16-55-17-43-13-22-45-41-25-4-12-27-67-37-65-32*
61,23.180150246343786,1303,61-17-59-9-68-11-1-26-8-56-51-34-45-36-38-66-29-23-2*9-49-62-24-63-6-35-41-36-54-18-39-48-3-23-50-13-20-55-8-51-57-25-4-7-46*46-40-4-25-34-35-64-52-55-17-60-44*51-35-6-47-53-4-25-27-67-5-32-18-54-36-45-58-64-52-8-28-10-16-1-31-11-68*63-21-62-42-49-1-59-17-50-23-69-18-67-65-5-32-39*40-4-25-41-36-19-69-0-2-14-44-60-61-43-20-52-10-59-9*13-50-0-69-18-65-37-5-54-38-22-33-20-17-9-11*34-51-8-10-59-68-9-1-49-11-31*12-25-4-53-7-46-40-47-6-63-24-42-15-49-26-8-51-41-27-67-37-65-39-48-66-19-3-69-29*46-40-12-41-36-19-22-33-58-35-51-64-52-20-17-44-14*37-5-54-66-19-65-18-32-39-48-3-69-38-36-41-12-40-7-47-6-56-8-55-10-16-9-11-31-1-26*24-30-26-16-10-20-43-50-0-23-29-66-3-69*13-50-23-29-48-39-32-37-67-27-41-35-6-21-30-26-16-55-52-64-51-57-58*53-47-6-56-28-10-17-61-44-14-2-50-33-58-34-41-12-4-7-40*64-35-57-34-51-8-28-56-6-63-30-15-62-26-16-55-17-43-13-22-45-41-25-4-12-27-67-37-65-32*
62,23.1860998769579,1298,61-17-59-9-68-11-1-26-8-56-51-34-45-36-38-66-29-23-2*9-49-62-24-63-6-35-41-36-54-18-39-48-3-23-50-13-20-55-8-51-57-25-4-7-46*46-40-4-25-34-35-64-52-55-17-60-44*51-35-6-47-53-4-25-27-67-5-32-18-54-36-45-58-64-52-8-28-10-16-1-31-11-68*63-21-62-42-49-1-59-17-50-23-69-18-67-65-5-32-39*40-4-25-41-36-19-69-0-2-14-44-60-61-43-20-52-10-59-9*50-0-69-18-65-37-5-54-38-22-33-20-17-9-11*34-51-8-10-59-68-9-1-49-11-31*12-25-4-53-7-46-40-47-6-63-24-42-15-49-26-8-51-41-27-67-37-65-39-48-66-19-3-69-29*46-40-12-41-36-19-22-33-58-35-51-64-52-20-17-44-14*37-5-54-66-19-65-18-32-39-48-3-69-38-36-41-12-40-7-47-6-56-8-55-10-16-9-11-31-1-26*24-30-26-16-10-20-43-50-0-23-29-66-3-69*13-50-23-29-48-39-32-37-67-27-41-35-6-21-30-26-16-55-52-64-51-57-58*53-47-6-56-28-10-17-61-44-14-2-50-33-58-34-41-12-4-7-40*64-35-57-34-51-8-28-56-6-63-30-15-62-26-16-55-17-43-13-22-45-41-25-4-12-27-67-37-65-32*
