,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:30:16.577263,0.7532576253043817
1,Run_10,0 days 00:22:15.859657,0.755622506716342
2,Run_2,0 days 00:24:52.461369,0.7440070284201163
3,Run_3,0 days 00:20:26.225459,0.7406495260404513
4,Run_4,0 days 00:26:01.623301,0.7607180949075845
5,Run_5,0 days 00:23:58.182778,0.7434826764501385
6,Run_6,0 days 00:24:50.090228,0.747005708315792
7,Run_7,0 days 00:24:12.574052,0.7456948443285695
8,Run_8,0 days 00:24:15.754571,0.7480820208429816
9,Run_9,0 days 00:23:23.622729,0.7461916652242985
