,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:21:09.521628,0.7453326060112502
1,Run_10,0 days 00:25:31.667174,0.7468883154055708
2,Run_2,0 days 00:28:02.716111,0.7493535715798116
3,Run_3,0 days 00:29:29.134268,0.7396570767953784
4,Run_4,0 days 00:18:54.997405,0.7381880359246598
5,Run_5,0 days 00:27:23.373044,0.7458859265874205
6,Run_6,0 days 00:20:23.485063,0.7299670815658318
7,Run_7,0 days 00:24:24.245879,0.7487757500192505
8,Run_8,0 days 00:25:14.157310,0.7465479053925297
9,Run_9,0 days 00:26:09.104337,0.7549824728897561
