,f_1,f_2,R_x
24,22.859410124755343,1795,43-20-55-8-56-51-58-33-22-45-41-12-27-67-18-38*3-48-39-65-54-5-67-37-18-66-29-69-23-2-14-60-61-43-13-22-45-41-25-4-53-40-7*64-52-10-59-11-15-30-42-49-26-62-24-63-6-35-41-36-38-3-29-69-23-0-50-13-20-55-8-56-28*39-65-5-67-27-12-4-7-46-40-53-47-6-35-58-33-50-2-14-61-17-9-11-15-49-1-59-10*24-30-62-42-15-49-26-8-51-41-27-67-37-65-32-18-54-36-45-34-57-58-64-52-10-55-16-1-59-9*2-0-23-3-38-66-69-29-48-39-32-65-18-54-36-45-58-64-52-10-59-68-9-1-16-26-62-49-11-31*34-57-25-4-40-46-7-47-6-21-30-26-1-59-17-50-23-3-48-39-32-65-37-18-19-36-45-22-33-13*60-14-2-23-3-66-19-22-33-20-17-43-50-0-69-38-36-45-34-51-56-28-8-55-16-9-11*33-22-38-69-48-29-23-50-2-14-44-60-17-20-52-64-35-34-41-12-40-7-4-25-57-51-58*62-26-16-10-52-64-58-35-41-27-67-65-37-5-54-38-22-33-20-17-9-68-11-15-42-24-21-6-47-7*31-11-1-59-10-28-56-51-35-57-41-36-54-18-39-48-66-19-65-67-27-25-34-58-33-50-23-69-3-0*2-14-44-17-10-8-56-6-47-53-46-40-7-4-12-25-27-67-37-65-18-39-32-54-19-66-69-0-50-33*69-18-67-27-25-34-51-56-6-63-21-24-62-49-9-68-1-16-55-52-64-58-41-12-40-46-7-47-53-4*28-8-52-64-51-56-6-63-30-26-16-10-20-43-33-58-57-25-12-40-46*60-44-61-43-33-22-45-34-51-8-26-1-31-11-9-68-59-17-50-0-3-19-18-5-65-37-67-27-12-4*
25,22.861626959198823,1786,43-20-55-8-56-51-58-33-22-45-41-12-27-67-18-38*3-48-39-65-54-5-67-37-18-66-29-69-23-2-14-60-61-43-13-22-45-41-25-4-53-40-7*64-52-10-59-11-15-30-42-49-26-62-24-63-6-35-41-36-38-3-29-69-23-0-50-13-20-55-8-56-28*39-65-5-67-27-12-4-7-46-40-53-47-6-35-58-33-50-2-14-61-17-9-11-15-49-1-59-10*24-30-62-42-15-49-26-8-51-41-27-67-37-65-32-18-54-36-45-34-57-58-64-52-10-55-16-1-59-9*2-0-23-3-38-66-69-29-48-39-32-65-18-54-36-45-58-64-52-10-59-68-9-1-16-26-62-49-11-31*34-57-25-4-40-46-7-47-6-21-30-26-1-59-17-50-23-3-48-39-32-65-37-18-19-36-45-22-33-13*60-14-2-23-3-66-19-22-33-20-17-43-50-0-69-38-36-45-34-51-56-28-8-55-16-9-11*33-22-38-69-48-29-23-50-2-14-44-60-17-20-52-64-35-34-41-12-40-7-4-25-57-51-58*62-26-16-10-52-64-58-35-41-27-67-65-37-5-54-38-22-33-20-17-9-68-11-15-42-24-21-6-47-7*31-11-1-59-10-28-56-51-35-57-41-36-54-18-39-48-66-19-65-67-27-25-34-58-33-50-23-69-3*2-14-44-17-10-8-56-6-47-53-46-40-7-4-12-25-27-67-37-65-18-39-32-54-19-66-69-0-50-33*69-18-67-27-25-34-51-56-6-63-21-24-62-49-9-68-1-16-55-52-64-58-41-12-40-46-7-47-53-4*28-8-52-64-51-56-6-63-30-26-16-10-20-43-33-58-57-25-12-40*60-44-61-43-33-22-45-34-51-8-26-1-31-11-9-68-59-17-50-0-3-19-18-5-65-37-67-27-12-4*
26,22.861824241889344,1784,43-20-55-8-56-51-58-33-22-45-41-12-27-67-18-38*3-48-39-65-54-5-67-37-18-66-29-69-23-2-14-60-61-43-13-22-45-41-25-4-53-40*64-52-10-59-11-15-30-42-49-26-62-24-63-6-35-41-36-38-3-29-69-23-0-50-13-20-55-8-56-28*39-65-5-67-27-12-4-7-46-40-53-47-6-35-58-33-50-2-14-61-17-9-11-15-49-1-59-10*24-30-62-42-15-49-26-8-51-41-27-67-37-65-32-18-54-36-45-34-57-58-64-52-10-55-16-1-59-9*2-0-23-3-38-66-69-29-48-39-32-65-18-54-36-45-58-64-52-10-59-68-9-1-16-26-62-49-11-31*34-57-25-4-40-46-7-47-6-21-30-26-1-59-17-50-23-3-48-39-32-65-37-18-19-36-45-22-33-13*60-14-2-23-3-66-19-22-33-20-17-43-50-0-69-38-36-45-34-51-56-28-8-55-16-9-11*33-22-38-69-48-29-23-50-2-14-44-60-17-20-52-64-35-34-41-12-40-7-4-25-57-51-58*62-26-16-10-52-64-58-35-41-27-67-65-37-5-54-38-22-33-20-17-9-68-11-15-42-24-21-6-47-7*31-11-1-59-10-28-56-51-35-57-41-36-54-18-39-48-66-19-65-67-27-25-34-58-33-50-23-69-3*2-14-44-17-10-8-56-6-47-53-46-40-7-4-12-25-27-67-37-65-18-39-32-54-19-66-69-0-50-33*69-18-67-27-25-34-51-56-6-63-21-24-62-49-9-68-1-16-55-52-64-58-41-12-40-46-7-47-53-4*28-8-52-64-51-56-6-63-30-26-16-10-20-43-33-58-57-25-12-40*60-44-61-43-33-22-45-34-51-8-26-1-31-11-9-68-59-17-50-0-3-19-18-5-65-37-67-27-12-4*
27,22.862130549224627,1780,43-20-55-8-56-51-58-33-22-45-41-12-27-67-18-38*48-39-65-54-5-67-37-18-66-29-69-23-2-14-60-61-43-13-22-45-41-25-4-53-40*64-52-10-59-11-15-30-42-49-26-62-24-63-6-35-41-36-38-3-29-69-23-0-50-13-20-55-8-56-28*39-65-5-67-27-12-4-7-46-40-53-47-6-35-58-33-50-2-14-61-17-9-11-15-49-1-59-10*24-30-62-42-15-49-26-8-51-41-27-67-37-65-32-18-54-36-45-34-57-58-64-52-10-55-16-1-59-9*2-0-23-3-38-66-69-29-48-39-32-65-18-54-36-45-58-64-52-10-59-68-9-1-16-26-62-49-11-31*34-57-25-4-40-46-7-47-6-21-30-26-1-59-17-50-23-3-48-39-32-65-37-18-19-36-45-22-33-13*60-14-2-23-3-66-19-22-33-20-17-43-50-0-69-38-36-45-34-51-56-28-8-55-16-9-11*33-22-38-69-48-29-23-50-2-14-44-60-17-20-52-64-35-34-41-12-40-7-4-25-57-51-58*62-26-16-10-52-64-58-35-41-27-67-65-37-5-54-38-22-33-20-17-9-68-11-15-42-24-21-6-47-7*31-11-1-59-10-28-56-51-35-57-41-36-54-18-39-48-66-19-65-67-27-25-34-58-33-50-23-69-3*2-14-44-17-10-8-56-6-47-53-46-40-7-4-12-25-27-67-37-65-18-39-32-54-19-66-69-0-50-33*69-18-67-27-25-34-51-56-6-63-21-24-62-49-9-68-1-16-55-52-64-58-41-12-40-46-7-47-53-4*28-8-52-64-51-56-6-63-30-26-16-10-20-43-33-58-57-25-12-40*60-44-61-43-33-22-45-34-51-8-26-1-31-11-9-68-59-17-50-0-3-19-18-5-65-37-67-27-12-4*
28,22.864347383668107,1771,43-20-55-8-56-51-58-33-22-45-41-12-27-67-18-38*48-39-65-54-5-67-37-18-66-29-69-23-2-14-60-61-43-13-22-45-41-25-4-53-40*64-52-10-59-11-15-30-42-49-26-62-24-63-6-35-41-36-38-3-29-69-23-0-50-13-20-55-8-56-28*39-65-5-67-27-12-4-7-46-40-53-47-6-35-58-33-50-2-14-61-17-9-11-15-49-1-59-10*24-30-62-42-15-49-26-8-51-41-27-67-37-65-32-18-54-36-45-34-57-58-64-52-10-55-16-1-59-9*2-0-23-3-38-66-69-29-48-39-32-65-18-54-36-45-58-64-52-10-59-68-9-1-16-26-62-49-11-31*34-57-25-4-40-46-7-47-6-21-30-26-1-59-17-50-23-3-48-39-32-65-37-18-19-36-45-22-33-13*60-14-2-23-3-66-19-22-33-20-17-43-50-0-69-38-36-45-34-51-56-28-8-55-16-9-11*33-22-38-69-48-29-23-50-2-14-44-60-17-20-52-64-35-34-41-12-40-7-4-25-57-51-58*62-26-16-10-52-64-58-35-41-27-67-65-37-5-54-38-22-33-20-17-9-68-11-15-42-24-21-6-47-7*31-11-1-59-10-28-56-51-35-57-41-36-54-18-39-48-66-19-65-67-27-25-34-58-33-50-23-69-3*2-14-44-17-10-8-56-6-47-53-46-40-7-4-12-25-27-67-37-65-18-39-32-54-19-66-69-0-50-33*69-18-67-27-25-34-51-56-6-63-21-24-62-49-9-68-1-16-55-52-64-58-41-12-40-46-7-47-53-4*28-8-52-64-51-56-6-63-30-26-16-10-20-43-33-58-57-25-12*60-44-61-43-33-22-45-34-51-8-26-1-31-11-9-68-59-17-50-0-3-19-18-5-65-37-67-27-12-4*
29,22.869372900626637,1766,43-20-55-8-56-51-58-33-22-45-41-12-27-67-18-38*48-39-65-54-5-67-37-18-66-29-69-23-2-14-60-61-43-13-22-45-41-25-4-53-40*64-52-10-59-11-15-30-42-49-26-62-24-63-6-35-41-36-38-3-29-69-23-0-50-13-20-55-8-56-28*39-65-5-67-27-12-4-7-46-40-53-47-6-35-58-33-50-2-14-61-17-9-11-15-49-1-59-10*24-30-62-42-15-49-26-8-51-41-27-67-37-65-32-18-54-36-45-34-57-58-64-52-10-55-16-1-59-9*2-0-23-3-38-66-69-29-48-39-32-65-18-54-36-45-58-64-52-10-59-68-9-1-16-26-62-49-11-31*34-57-25-4-40-46-7-47-6-21-30-26-1-59-17-50-23-3-48-39-32-65-37-18-19-36-45-22-33-13*60-14-2-23-3-66-19-22-33-20-17-43-50-0-69-38-36-45-34-51-56-28-8-55-16-9-11*33-22-38-69-48-29-23-50-2-14-44-60-17-20-52-64-35-34-41-12-40-7-4-25-57-51-58*62-26-16-10-52-64-58-35-41-27-67-65-37-5-54-38-22-33-20-17-9-68-11-15-42-24-21-6-47-7*31-11-1-59-10-28-56-51-35-57-41-36-54-18-39-48-66-19-65-67-27-25-34-58-33-50-23-69-3*2-14-44-17-10-8-56-6-47-53-46-40-7-4-12-25-27-67-37-65-18-39-32-54-19-66-69-0-50-33*69-18-67-27-25-34-51-56-6-63-21-24-62-49-9-68-1-16-55-52-64-58-41-12-40-46-7-47-53*28-8-52-64-51-56-6-63-30-26-16-10-20-43-33-58-57-25-12*60-44-61-43-33-22-45-34-51-8-26-1-31-11-9-68-59-17-50-0-3-19-18-5-65-37-67-27-12-4*
30,22.87007377334296,1763,43-20-55-8-56-51-58-33-22-45-41-12-27-67-18-38*48-39-65-54-5-67-37-18-66-29-69-23-2-14-60-61-43-13-22-45-41-25-4-53-40*64-52-10-59-11-15-30-42-49-26-62-24-63-6-35-41-36-38-3-29-69-23-0-50-13-20-55-8-56-28*39-65-5-67-27-12-4-7-46-40-53-47-6-35-58-33-50-2-14-61-17-9-11-15-49-1-59-10*24-30-62-42-15-49-26-8-51-41-27-67-37-65-32-18-54-36-45-34-57-58-64-52-10-55-16-1-59-9*2-0-23-3-38-66-69-29-48-39-32-65-18-54-36-45-58-64-52-10-59-68-9-1-16-26-62-49-11-31*34-57-25-4-40-46-7-47-6-21-30-26-1-59-17-50-23-3-48-39-32-65-37-18-19-36-45-22-33-13*60-14-2-23-3-66-19-22-33-20-17-43-50-0-69-38-36-45-34-51-56-28-8-55-16-9-11*33-22-38-69-48-29-23-50-2-14-44-60-17-20-52-64-35-34-41-12-40-7-4-25-57-51-58*62-26-16-10-52-64-58-35-41-27-67-65-37-5-54-38-22-33-20-17-9-68-11-15-42-24-21-6-47-7*31-11-1-59-10-28-56-51-35-57-41-36-54-18-39-48-66-19-65-67-27-25-34-58-33-50-23-69-3*2-14-44-17-10-8-56-6-47-53-46-40-7-4-12-25-27-67-37-65-18-39-32-54-19-66-69-0-50-33*69-18-67-27-25-34-51-56-6-63-21-24-62-49-9-68-1-16-55-52-64-58-41-12-40-46-7-47-53*28-8-52-64-51-56-6-63-30-26-16-10-20-43-33-58-57-25-12*44-61-43-33-22-45-34-51-8-26-1-31-11-9-68-59-17-50-0-3-19-18-5-65-37-67-27-12-4*
31,22.87411287684888,1758,43-20-55-8-56-51-58-33-22-45-41-12-27-67-18*48-39-65-54-5-67-37-18-66-29-69-23-2-14-60-61-43-13-22-45-41-25-4-53-40*64-52-10-59-11-15-30-42-49-26-62-24-63-6-35-41-36-38-3-29-69-23-0-50-13-20-55-8-56-28*39-65-5-67-27-12-4-7-46-40-53-47-6-35-58-33-50-2-14-61-17-9-11-15-49-1-59-10*24-30-62-42-15-49-26-8-51-41-27-67-37-65-32-18-54-36-45-34-57-58-64-52-10-55-16-1-59-9*2-0-23-3-38-66-69-29-48-39-32-65-18-54-36-45-58-64-52-10-59-68-9-1-16-26-62-49-11-31*34-57-25-4-40-46-7-47-6-21-30-26-1-59-17-50-23-3-48-39-32-65-37-18-19-36-45-22-33-13*60-14-2-23-3-66-19-22-33-20-17-43-50-0-69-38-36-45-34-51-56-28-8-55-16-9-11*33-22-38-69-48-29-23-50-2-14-44-60-17-20-52-64-35-34-41-12-40-7-4-25-57-51-58*62-26-16-10-52-64-58-35-41-27-67-65-37-5-54-38-22-33-20-17-9-68-11-15-42-24-21-6-47-7*31-11-1-59-10-28-56-51-35-57-41-36-54-18-39-48-66-19-65-67-27-25-34-58-33-50-23-69-3*2-14-44-17-10-8-56-6-47-53-46-40-7-4-12-25-27-67-37-65-18-39-32-54-19-66-69-0-50-33*69-18-67-27-25-34-51-56-6-63-21-24-62-49-9-68-1-16-55-52-64-58-41-12-40-46-7-47-53*28-8-52-64-51-56-6-63-30-26-16-10-20-43-33-58-57-25-12*44-61-43-33-22-45-34-51-8-26-1-31-11-9-68-59-17-50-0-3-19-18-5-65-37-67-27-12-4*
32,22.882331258403983,1754,43-20-55-8-56-51-58-33-22-45-41-12-27-67-18*48-39-65-54-5-67-37-18-66-29-69-23-2-14-60-61-43-13-22-45-41-25-4-53-40*64-52-10-59-11-15-30-42-49-26-62-24-63-6-35-41-36-38-3-29-69-23-0-50-13-20-55-8-56-28*39-65-5-67-27-12-4-7-46-40-53-47-6-35-58-33-50-2-14-61-17-9-11-15-49-1-59-10*24-30-62-42-15-49-26-8-51-41-27-67-37-65-32-18-54-36-45-34-57-58-64-52-10-55-16-1-59-9*0-23-3-38-66-69-29-48-39-32-65-18-54-36-45-58-64-52-10-59-68-9-1-16-26-62-49-11-31*34-57-25-4-40-46-7-47-6-21-30-26-1-59-17-50-23-3-48-39-32-65-37-18-19-36-45-22-33-13*60-14-2-23-3-66-19-22-33-20-17-43-50-0-69-38-36-45-34-51-56-28-8-55-16-9-11*33-22-38-69-48-29-23-50-2-14-44-60-17-20-52-64-35-34-41-12-40-7-4-25-57-51-58*62-26-16-10-52-64-58-35-41-27-67-65-37-5-54-38-22-33-20-17-9-68-11-15-42-24-21-6-47-7*31-11-1-59-10-28-56-51-35-57-41-36-54-18-39-48-66-19-65-67-27-25-34-58-33-50-23-69-3*2-14-44-17-10-8-56-6-47-53-46-40-7-4-12-25-27-67-37-65-18-39-32-54-19-66-69-0-50-33*69-18-67-27-25-34-51-56-6-63-21-24-62-49-9-68-1-16-55-52-64-58-41-12-40-46-7-47-53*28-8-52-64-51-56-6-63-30-26-16-10-20-43-33-58-57-25-12*44-61-43-33-22-45-34-51-8-26-1-31-11-9-68-59-17-50-0-3-19-18-5-65-37-67-27-12-4*
33,22.89391382899744,1747,43-20-55-8-56-51-58-33-22-45-41-12-27-67-18*48-39-65-54-5-67-37-18-66-29-69-23-2-14-60-61-43-13-22-45-41-25-4-53-40*64-52-10-59-11-15-30-42-49-26-62-24-63-6-35-41-36-38-3-29-69-23-0-50-13-20-55-8-56-28*39-65-5-67-27-12-4-7-46-40-53-47-6-35-58-33-50-2-14-61-17-9-11-15-49-1-59-10*24-30-62-42-15-49-26-8-51-41-27-67-37-65-32-18-54-36-45-34-57-58-64-52-10-55-16-1-59-9*0-23-3-38-66-69-29-48-39-32-65-18-54-36-45-58-64-52-10-59-68-9-1-16-26-62-49-11-31*34-57-25-4-40-46-7-47-6-21-30-26-1-59-17-50-23-3-48-39-32-65-37-18-19-36-45-22-33-13*60-14-2-23-3-66-19-22-33-20-17-43-50-0-69-38-36-45-34-51-56-28-8-55-16-9-11*33-22-38-69-48-29-23-50-2-14-44-60-17-20-52-64-35-34-41-12-40-7-4-25-57-51-58*62-26-16-10-52-64-58-35-41-27-67-65-37-5-54-38-22-33-20-17-9-68-11-15-42-24-21-6-47*31-11-1-59-10-28-56-51-35-57-41-36-54-18-39-48-66-19-65-67-27-25-34-58-33-50-23-69-3*2-14-44-17-10-8-56-6-47-53-46-40-7-4-12-25-27-67-37-65-18-39-32-54-19-66-69-0-50-33*69-18-67-27-25-34-51-56-6-63-21-24-62-49-9-68-1-16-55-52-64-58-41-12-40-46-7-47-53*28-8-52-64-51-56-6-63-30-26-16-10-20-43-33-58-57-25-12*44-61-43-33-22-45-34-51-8-26-1-31-11-9-68-59-17-50-0-3-19-18-5-65-37-67-27-12-4*
