,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:09:17.889888,0.6499766055235928
1,Run_10,0 days 00:21:11.427630,0.7490783311656857
2,Run_2,0 days 00:03:08.894285,0.5927289917640061
3,Run_3,0 days 00:09:05.152902,0.6635753569658785
4,Run_4,0 days 00:16:35.081554,0.7464839582927985
5,Run_5,0 days 00:21:31.349122,0.7362848826692494
6,Run_6,0 days 00:19:48.911326,0.7440311805960742
7,Run_7,0 days 00:08:23.824504,0.6542419165101392
8,Run_8,0 days 00:09:38.946716,0.6581234110214329
9,Run_9,0 days 00:08:02.407881,0.6785526002488076
