,Run_nr,HV,Epochs,Poor_epochs,Total_iterations
0,Run_1,0.6875272844000512,415,38,20751
1,Run_2,0.7175558431234464,523,0,26151
2,Run_3,0.7461029153859695,1189,6,59451
3,Run_4,0.7428293798077218,821,164,41051
4,Run_5,0.7337721012194292,535,0,26751
5,Run_6,0.7409160265113168,1357,26,67692
6,Run_7,0.7453967422386177,838,3,41901
7,Run_8,0.7281591724416594,735,38,36751
8,Run_9,0.7323273859675623,705,199,35251
9,Run_10,0.7318927823974519,851,95,42551
10,Run_11,0.71591218745557,681,197,34051
11,Run_12,0.7225547720149144,602,136,30101
12,Run_13,0.7253942212147854,646,47,32301
13,Run_14,0.7182177669813613,976,28,48801
14,Run_15,0.7226736867499206,1058,145,52278
15,Run_16,0.401652504088839,602,600,6146
16,Run_17,0.7340782485703381,1060,123,53001
17,Run_18,0.7229078492283408,786,90,39301
18,Run_19,0.7024756041071777,742,85,37101
19,Run_20,0.7265703565025132,843,1,42151
20,Run_21,0.7017294079495396,588,22,29401
21,Run_22,0.710593992393417,1247,152,62351
22,Run_23,0.7223519836762186,713,83,35651
23,Run_24,0.7285186358750595,822,6,41101
24,Run_25,0.601616833948754,602,600,6263
25,Run_26,0.7016842032063078,751,181,37551
26,Run_27,0.7367947361692672,1047,56,52351
27,Run_28,0.7006511294663739,625,156,31232
28,Run_29,0.7294388081066665,811,138,40551
29,Run_30,0.6926701677565221,380,138,19001
