,R_x,f_1,f_2,Generation,Rank
0,0-1-3-5-7-14-8*3-5-7-9-13-12-10*0-1-4-3-5-7-9-10*5-3-11-10-9-6-14-8*0-1-2-5-7-14-6-9*0-1-2-5-7-9-10-12*,10.336557059961317,198.0,32,0.0
1,0-1-3-5-7-14-8*5-7-9-13-12-10*0-1-4-3-5-7-9-10*5-3-11-10-9-6-14-8*0-1-2-5-7-14-6-9*0-1-2-5-7-9-10-12*,10.346228239845262,194.0,33,0.0
2,0-1-3-5-7-14-8*7-9-13-12-10*0-1-4-3-5-7-9-10*5-3-11-10-9-6-14-8*0-1-2-5-7-14-6-9*0-1-2-5-7-9-10-12*,10.352675693101226,192.0,35,0.0
3,0-1-3-5-7-14-8*5-7-9-13-12-10*0-1-4-3-5-7-9-10*3-11-10-9-6-14-8*0-1-2-5-7-14-6-9*0-1-2-5-7-9-10-12*,10.359767891682786,190.0,35,0.0
4,0-1-3-5-7-14-8*7-9-13-12-10*0-1-4-3-5-7-9-10*3-11-10-9-6-14-8*0-1-2-5-7-14-6-9*0-1-2-5-7-9-10-12*,10.36621534493875,188.0,36,0.0
5,0-1-3-5-7-14-8*7-9-13-12*0-1-4-3-5-7-9-10*3-11-10-9-6-14-8*0-1-2-5-7-14-6-9*0-1-2-5-7-9-10-12*,10.375886524822697,183.0,40,0.0
6,0-1-3-5-7-14-8*7-9-13-12*0-1-4-3-5-7-9*3-11-10-9-6-14-8*0-1-2-5-7-14-6-9*0-1-2-5-7-9-10-12*,10.393939393939394,178.0,39,0.0
7,0-1-2-5-7-9-10-12*1-4*0-1-3-5-14-6-9-10*4-3-5-7-9-13-12-10*5-3-11-10-9-6-14-8*0-1-2-5-7-14-6-9*,10.404255319148936,176.0,21,0.0
8,0-1-2-5-7-9-10-12*1-4*0-1-3-5-14-6-9-10*4-3-5-7-9-13-12-10*3-11-10-9-6-14-8*0-1-2-5-7-14-6-9*,10.41779497098646,172.0,26,0.0
2,0-1-4-3-5-7-9*0-1-2-5-7-14-6-9*0-1-2-5-7-9-10-12*3-5-7-9-13-12-10*3-11-10-9-6-14-8*4-3-1-2*,10.451966473243068,171.0,98,0.0
0,3-5-14-6-9-10-11*0-1-2-5-7-14-6-9*4-3-5-7-9-10-12*8-14-7-9-13-12-10*0-1-2-5-7-9-10-12*11-3-1-4*,10.462927143778208,170.0,27,0.0
9,8-14*0-1-2-5-7-9-10-12*0-1-2-5-7-14-6-9*0-1-3-5-7-14-8*4-3-5-7-9-13-12-10*3-11-10-9-6-14-8*,10.465506125080593,169.0,73,0.0
10,8-14*0-1-2-5-7-9-10-12*0-1-2-5-7-14-6-9*0-1-3-5-7-14-8*4-3-5-7-9-13-12*3-11-10-9-6-14-8*,10.47517730496454,164.0,74,0.0
5,4-3-5-7-9-10-12*11-3-1-4*0-1-2-5-7-9-10-11*11-10-12-13-9-6-14-8*5-7-14-8*4-1-2-5-7-14-6-9*,10.493230174081235,163.0,187,0.0
1,0-1-2-5-7-14-6-9*0-1-3-4*0-1*3-11-10-9-6-14-8*0-1-2-5-7-9-10-11*4-3-5-7-9-13-12-10*,10.493874919406837,162.0,96,0.0
3,4-3-1-2-5-7-14-8*0-1-2-5-7-9-10-12*0-1-2-5-7-14-6-9*11-3-1*3-5-7-9-13-12-10*4-3-5-14-6-9-10-11*,10.511283043197936,160.0,175,0.0
5,0-1-2-5-7-9-10-12*0-1-4*4-3-5-7-9-13-12-10*3-11-10-9*3-1-2-5-7-14-8*0-1-3-5-14-6-9-10*,10.520954223081883,157.0,181,0.0
6,0-1-2-5-7-9-10-12*0-1-4*4-3-5-7-9-13-12-10*3-11-10-9*1-2-5-7-14-8*0-1-3-5-14-6-9-10*,10.533849129593811,154.0,183,0.0
7,0-1-2-5-7-9-10-11*6-14*11-3-1-4*4-3-5-7-9-10-12*11-10-12-13-9-6-14-8*0-1-2-5-7-14-6*,10.5357833655706,148.0,118,0.0
5,0-1-2-5-7-9-10-12*3-11-10-9-6-14-8*12-13*9-13*3-1-2-5-14-6-9*0-1-4-3-5-7-9*,10.56802063185042,137.0,8,0.0
13,12-13*4-3-5-7-9-13-12-10*0-1-2-5-7-9-10-12*3-5-14-6-9-10-11*1-3-11*4-3-1-2-5-7-14-8*,10.65183752417795,136.0,68,0.0
14,13-9-10-11-3*0-1-2-5-7-9-10-12*0-1-3-5-14-6-9*14-7*4-3-5-7-9-6-14-8*12-13*,10.652482269503546,132.0,127,0.0
14,4-3-5-7-9-13*4-3-5-14-6-9-10-11*0-1-2-5-7-9-10-12*4-3-1-2-5-7-14-8*12-13*3-11*,10.669890393294647,130.0,76,0.0
15,4-3-5-7-9-13*3-5-14-6-9-10-11*0-1-2-5-7-9-10-12*4-3-1-2-5-7-14-8*12-13*3-11*,10.693745970341714,126.0,80,0.0
15,0-1-2-5-7-9-10-12*4-3-5-7-9-13*8-14-7*3-11-10-9*12-13*0-1-3-5-14-6-9*,10.713733075435202,123.0,163,0.0
16,4-3-5-7-9-13*5-14-6-9-10-11*0-1-2-5-7-9-10-12*4-3-1-2-5-7-14-8*12-13*3-11*,10.741457124435849,122.0,83,0.0
8,4-1-2-5-7-14-6-9*14-8*3-11-10-9*1-3*4-3-5-7-9-10-12*0-1-2-5-7-9-13-12*,10.758220502901354,121.0,44,0.0
16,4-3*9-10-11*0-1-2-5-7-14-6-9*11-3-1-4*4-3-5-7-9-10-12-13*8-14-7-9-13*,10.764023210831722,120.0,177,0.0
13,0-1-2-5-7-14-6-9*1-3*0-1-3-4*3-11-10-9-6-14-8*7-14*4-3-5-7-9-10-12-13*,10.771760154738878,118.0,126,0.0
18,4-3-1-2-5-7-14-8*12-13*1-3-11*0-1-2-5-7-9-10-12*4-3-5-14-6-9-10-11*9-13*,10.79819471308833,115.0,64,0.0
19,4-3-1-2-5-7-14-8*12-13*3-11*0-1-2-5-7-9-10-12*4-3-5-14-6-9-10-11*9-13*,10.820760799484203,112.0,65,0.0
17,4-3*8-14-6-9-10-11*4-3-5-7-9-10-12-13*0-1-2-5-7-14-6-9*11-3*4-3-1-2*,10.826563507414573,111.0,78,0.0
18,7-14*11-3*4-3-5-7-9-10-12-13*8-14-6-9-10-11*0-1-2-5-7-14-6-9*4-3-1*,10.878143133462284,107.0,130,0.0
24,0-1-2-5-7-14-6-9*11-3*11-10-9-13*4-3-5-7-9-10-12-13*1-3-4*8-14*,10.931656995486785,104.0,17,0.0
14,13-9-10-11-3*4-3-5-7-9-10-12*0-1-2-5-7-14-6-9*5-14-8*12-13*1-3*,10.967117988394584,103.0,136,0.0
15,1-3*7-14-8*4-3-5-7-9-10-12*12-13*0-1-2-5-7-14-6-9*13-9-10-11-3*,10.984526112185687,102.0,70,0.0
20,9-10-11*0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*14-8*4-3-1-2*11-3*,10.987105093488072,98.0,135,0.0
21,9-10-11*0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*14-8*4-3-1*11-3*,11.038684719535784,96.0,136,0.0
18,0-1-2-5-7-14-6-9*3-11-10-9*5-2*4-3-5-7-9-10-12-13*1-3*14-8*,11.118633139909736,95.0,30,0.0
22,0-1-2-5-7-14-6-9*4-3-5-7-9-10-12-13*4-3-1-2*14-8*11-3*10-11*,11.152159896840748,93.0,195,0.0
23,1-3-4*14-8*9-13-12*10-12-13*4-3-5-7-9-10-11*0-1-2-5-7-14-6-9*,11.15538362346873,91.0,59,0.0
24,1-3-4*14-8*9-13-12*10-12*4-3-5-7-9-10-11*0-1-2-5-7-14-6-9*,11.165054803352676,89.0,60,0.0
25,4-3-1*0-1-2-5-7-14-6-9*7-14*4-3-5-7-9-10-12-13*8-14*9-10-11*,11.272082527401675,88.0,38,0.0
34,4-3-1*10-12*0-1-2-5-7-14-6-9*8-14*9-13-12*3-5-7-9-10-11*,11.334622823984526,85.0,34,0.0
32,5-14*1-3-4*8-14*0-1-2-5-7-14-6-9*10-11*4-3-5-7-9-10-12-13*,11.447453255963897,84.0,67,0.0
21,1-3-4*4-3-5-7-9-10-12-13*14-8*10-11*7-14*0-1-2-5-7-14-6-9*,11.454545454545457,83.0,97,0.0
25,11-10*1-3*5-14*7-14-8*4-3-5-7-9-10-12-13*0-1-2-5-7-14-6-9*,11.491940683430045,82.0,128,0.0
26,1-3*0-1-2-5-7-14-6-9*14-8*11-10*4-3-5-7-9-10-12-13*5-14*,11.527401676337847,80.0,107,0.0
22,6-14*1-3*0-1-2-5-7-14-6-9*10-11*4-3-5-7-9-10-12-13*14-8*,11.534493874919407,79.0,96,0.0
23,4-3-5-7-9-10-12*13-12*0-1-2-5-7-14-6-9*10-11*14-8*1-3*,11.695680206318505,77.0,160,0.0
29,12-13*11-10*1-3*0-1-2-5-7-9-10-12*14-8*4-3-5-14-6-9*,11.803997421018698,76.0,52,0.0
38,4-3-5-14-6-9*12-13*0-1-2-5-7-9-10-12*14-8*14-7*11-10*,12.01418439716312,75.0,57,0.0
29,10-11*12-13*14-8*0-1-2-5-7-14-6-9*9-10-12*4-3-5-7-9*,12.19084461637653,74.0,193,0.0
39,11-10*12-13*0-1-2-5-7-9-10-12*3-4*14-8*3-5-14-6-9*,12.326241134751774,73.0,40,0.0
26,6-14*1-3*0-1-2-5-7-14-6*10-11*4-3-5-7-9-10-12-13*14-8*,12.338491295938104,72.0,97,0.0
27,4-3-5-7-9-10-12*1-3*0-1-2-5-7-14-6*14-8*10-11*13-12*,12.4996776273372,70.0,104,0.0
28,14-8*10-11*13-12*0-1-2-5-7-14-6*4-3-5-7-9-10-12*7-14*,12.74468085106383,69.0,130,0.0
32,0-1-2-5-7-14-6-9*9-10-12-13*14-8*3-5*1-3-4*10-11*,12.966473243068988,67.0,26,0.0
29,9-10-12-13*0-1-2-5-7-14-6-9*4-3-5*1-2*14-8*11-10*,13.145712443584785,66.0,28,0.0
34,8-14*12-13*4-3-5*0-1-2-5-7-14-6-9*9-10-12*10-11*,13.306898774983882,64.0,22,0.0
35,9-10-12*0-1-2-5-7-14-6-9*1-3-4*10-11*12-13*8-14*,13.493874919406837,63.0,45,0.0
