,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:02:19.154934,0.8079740179647672
1,Run_10,0 days 00:02:17.447105,0.8093275826855847
2,Run_11,0 days 00:02:16.722791,0.8074574207784199
3,Run_12,0 days 00:02:16.357560,0.8091033234418991
4,Run_13,0 days 00:02:14.471245,0.8061230782784898
5,Run_14,0 days 00:02:15.034211,0.8125929574588224
6,Run_15,0 days 00:02:14.881536,0.8139649434746565
7,Run_16,0 days 00:02:16.340075,0.8081269948059959
8,Run_17,0 days 00:02:17.153077,0.81195862416954
9,Run_18,0 days 00:02:16.995648,0.8067846430473627
10,Run_19,0 days 00:02:16.227410,0.8089575549335031
11,Run_2,0 days 00:02:18.106020,0.8112506057001894
12,Run_20,0 days 00:02:17.010202,0.808718879024152
13,Run_3,0 days 00:02:15.215429,0.8152880730124022
14,Run_4,0 days 00:02:16.467857,0.8096006984073588
15,Run_5,0 days 00:02:17.030215,0.809069684555346
16,Run_6,0 days 00:02:16.656333,0.8117375686293355
17,Run_7,0 days 00:02:16.811906,0.8048520089223142
18,Run_8,0 days 00:02:15.059118,0.8134539527694015
19,Run_9,0 days 00:02:16.365582,0.8106042585228523
20,Average,0 days 00:02:16.475412700,0.8098473435291197
