,R_x,f_1,f_2,Generation,Rank
0,31-1-16-26-30-24-21-63-6-47-53-4-25-57-35-64*53-47-6-56-28-8-10-55-17-61-44*2-50-13-22-45-41-25-4-40-46*59-17-20-33-22-38-54-36-41-57*65-39-18-54-36-45-58-64-52-8-26-49-11-15-42*4-25-34-35-51-8-26-1-9-68-11*14-44-60-17-50-0-23-69-38-36-41-25-4-7-46*42-15-49-26-16-10-20-43-50-23-69-29-19*47-6-35-34-45-36-38-19-66-3-48-39-32*60-61-43-33-22-38-54-5-37-67*29-3-69-23-50-43-20-10-16-26-30-62*21-24-30-26-8-56-51-35-34-41-27-67*31-9-59-17-20-33-22-36-54-5*53-4-12-41-58-64-52-20-17-61-44*14-44-17-10-28-8-56-6-47-53-40*,26.11068078103179,702.0,17,0.0
1,31-1-16-26-30-24-21-63-6-47-53-4-25-57-35-64*53-47-6-56-28-8-10-55-17-61-44*2-50-13-22-45-41-25-4-40-46*59-17-20-33-22-38-54-36-41-57*65-39-18-54-36-45-58-64-52-8-26-49-11-15-42*4-25-34-35-51-8-26-1-9-68-11*14-44-60-17-50-0-23-69-38-36-41-25-4-7-46*42-15-49-26-16-10-20-43-50-23-69-29-19*47-6-35-34-45-36-38-19-66-3-48-39-32*60-61-43-33-22-38-54-5-37-67*29-3-69-23-50-43-20-10-16-26-30-62*24-30-26-8-56-51-35-34-41-27-67*31-9-59-17-20-33-22-36-54-5*53-4-12-41-58-64-52-20-17-61-44*14-44-17-10-28-8-56-6-47-53-40*,26.11673943629067,699.0,20,0.0
2,31-1-16-26-30-24-21-63-6-47-53-4-25-57-35-64*53-47-6-56-28-8-10-55-17-61-44*2-50-13-22-45-41-25-4-40-46*59-17-20-33-22-38-54-36-41-57*65-39-18-54-36-45-58-64-52-8-26-49-11-15*4-25-34-35-51-8-26-1-9-68-11*14-44-60-17-50-0-23-69-38-36-41-25-4-7-46*42-15-49-26-16-10-20-43-50-23-69-29-19*47-6-35-34-45-36-38-19-66-3-48-39-32*60-61-43-33-22-38-54-5-37-67*29-3-69-23-50-43-20-10-16-26-30-62*24-30-26-8-56-51-35-34-41-27-67*31-9-59-17-20-33-22-36-54-5*53-4-12-41-58-64-52-20-17-61-44*14-44-17-10-28-8-56-6-47-53-40*,26.12384161314941,696.0,25,0.0
0,53-4-25-34-35-51-8-26-16-9-68-11*29-3-66-19-38-36-45-34-35-6-63-24-62*14-44-61-17-59-1-26-30-24-21*39-32-65-37-67-27-25-4-7-40-46*59-10-55-52-64-51-35-41-27-67*32-18-54-19-38-22-13-43-61-60*15-49-26-8-52-64-58-45-36-54-18-32-37*53-4-12-41-45-22-33-13-50-2-14-60*9-59-17-20-33-22-38-54-5-37-65-67*69-23-50-43-20-10-16-26-30-42*0-23-69-38-36-45-41-25-4-7*31-1-26-8-51-34-25-4-7-40*60-44-17-10-8-28-56-6-47-40*48-3-69-23-50-43-17-59-1-49-15*27-12-25-34-57-35-51-8-26-49-15*,26.123867571398165,615.0,51,0.0
1,53-4-25-34-35-51-8-26-16-9-68-11*29-3-66-19-38-36-45-34-35-6-63-24-62*14-44-61-17-59-1-26-30-24-21*39-32-65-37-67-27-25-4-7-40-46*59-10-55-52-64-51-35-41-27-67*32-18-54-19-38-22-13-43-61-60*15-49-26-8-52-64-58-45-36-54-18-32-37*53-4-12-41-45-22-33-13-50-2-14-60*9-59-17-20-33-22-38-54-5-37-65-67*69-23-50-43-20-10-16-26-30-42*0-23-69-38-36-45-41-25-4-7*31-1-26-8-51-34-25-4-7-40*60-44-17-10-8-28-56-6-47-40*48-3-69-23-50-43-17-59-1-49-15*27-12-25-34-57-35-51-8-26-49*,26.14444727100931,611.0,56,0.0
2,53-4-25-34-35-51-8-26-16-9-68-11*29-3-66-19-38-36-45-34-35-6-63-24-62*14-44-61-17-59-1-26-30-24-21*39-32-65-37-67-27-25-4-7-40-46*59-10-55-52-64-51-35-41-27-67*32-18-54-19-38-22-13-43-61-60*15-49-26-8-52-64-58-45-36-54-18-32-37*53-4-12-41-45-22-33-13-50-2-14-60*9-59-17-20-33-22-38-54-5-37-65-67*69-23-50-43-20-10-16-26-30-42*0-23-69-38-36-45-41-25-4-7*31-1-26-8-51-34-25-4-7-40*60-44-17-10-8-28-56-6-47-40*48-3-69-23-50-43-17-59-1-49*27-12-25-34-57-35-51-8-26-49*,26.182320355939503,607.0,57,0.0
3,53-4-25-34-35-51-8-26-16-9-68-11*29-3-66-19-38-36-45-34-35-6-63-24-62*14-44-61-17-59-1-26-30-24-21*39-32-65-37-67-27-25-4-7-40-46*59-10-55-52-64-51-35-41-27-67*32-18-54-19-38-22-13-43-61-60*26-8-52-64-58-45-36-54-18-32-37*53-4-12-41-45-22-33-13-50-2-14-60*9-59-17-20-33-22-38-54-5-37-65-67*69-23-50-43-20-10-16-26-30-42*0-23-69-38-36-45-41-25-4-7*31-1-26-8-51-34-25-4-7-40*60-44-17-10-8-28-56-6-47-40*48-3-69-23-50-43-17-59-1-49*27-12-25-34-57-35-51-8-26-49-15*,26.20869393667225,604.0,56,0.0
9,41-34-58-64-52-20-17-61-44-14*31-11-9-59-17-20-33-22-19-18*47-6-35-34-45-36-38-19-66-3*65-39-18-54-36-45-58-64-52-8-26-49-11-15-62*37-65-5-67-27-25-4-7-40-46*0-23-69-38-36-45-41-12-4-7*42-15-49-26-16-10-20-43-50-23-69-29-19*39-48-3-69-23-50-43-17-9-68*40-53-47-6-56-28-8-10-59-9*10-55-20-33-22-38-19-54-18-32*60-61-43-33-22-38-54-5-37-67*65-67-27-41-34-35-51-8-26-1-9*31-1-16-26-30-24-21-63-6-47-53-4-25-57-35*28-8-51-35-34-45-36-38-66-48*2-50-13-22-45-41-12-4-40-46*,26.33774277452146,603.0,196,0.0
0,7-47-6-56-28-8-55-17-61-44-14*61-43-13-22-19-54-5-37-67-27*27-41-34-35-51-8-26-1-9-68*12-41-34-57-35-51-8-26-49-15-42*3-38-36-45-41-25-4-7-40-46*65-37-32-39-18-54-36-45-58-51*39-48-29-3-66-19-38-36-45-34-35-6-21-24-63*48-3-69-23-50-43-17-59-1-49*0-50-43-20-10-16-26-30-24-62*11-31-1-26-30-24-21-63-6-47*53-46-40-4-25-34-58-64-52-20-17-60*31-11-68-9-59-17-20-33-22-38*55-20-33-22-38-19-54-18-32-39*46-40-53-47-6-56-28-8-10-59*14-2-50-13-22-45-41-12-4-7*,26.361323247688414,580.0,167,0.0
1,7-47-6-56-28-8-55-17-61-44-14*61-43-13-22-19-54-5-37-67-27*27-41-34-35-51-8-26-1-9-68*12-41-34-57-35-51-8-26-49-15-42*3-38-36-45-41-25-4-7-40-46*65-37-32-39-18-54-36-45-58-51*39-48-29-3-66-19-38-36-45-34-35-6-21-24*48-3-69-23-50-43-17-59-1-49*0-50-43-20-10-16-26-30-24-62*11-31-1-26-30-24-21-63-6-47*53-46-40-4-25-34-58-64-52-20-17-60*31-11-68-9-59-17-20-33-22-38*55-20-33-22-38-19-54-18-32-39*46-40-53-47-6-56-28-8-10-59*14-2-50-13-22-45-41-12-4-7*,26.36971295368529,576.0,168,0.0
