,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:05:22.734147,0.6864826119448642
1,Run_10,0 days 00:05:21.571736,0.6946655586310228
2,Run_11,0 days 00:05:24.240560,0.7043229663289303
3,Run_12,0 days 00:05:23.707089,0.6995201738262897
4,Run_13,0 days 00:05:44.620238,0.6884262862770277
5,Run_14,0 days 00:05:19.814398,0.6805629779453138
6,Run_15,0 days 00:05:27.968818,0.6995631665148769
7,Run_16,0 days 00:05:29.738874,0.6892591731192909
8,Run_17,0 days 00:05:27.024657,0.6822626246020163
9,Run_18,0 days 00:05:26.808056,0.687064342952779
10,Run_19,0 days 00:05:27.701014,0.6907381618608217
11,Run_2,0 days 00:05:32.050989,0.6962690683404705
12,Run_20,0 days 00:05:23.375751,0.68214767760089
13,Run_3,0 days 00:05:23.274442,0.6904432480236464
14,Run_4,0 days 00:05:19.076480,0.6925513277011283
15,Run_5,0 days 00:05:24.675450,0.6971563280120983
16,Run_6,0 days 00:05:28.634556,0.6928933061884142
17,Run_7,0 days 00:05:33.534092,0.688751891714651
18,Run_8,0 days 00:05:27.580092,0.6936593927245068
19,Run_9,0 days 00:05:25.922178,0.6914261846242118
20,Average,0 days 00:05:26.702680850,0.6914083234466626
