,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:02:48.180227,0.8488332512384316
1,Run_10,0 days 00:02:47.371048,0.8515083436452539
2,Run_11,0 days 00:02:50.234557,0.8472313994978193
3,Run_12,0 days 00:02:52.820693,0.8506241214844361
4,Run_13,0 days 00:02:50.913630,0.8484584179311283
5,Run_14,0 days 00:02:49.475924,0.8468341402661477
6,Run_15,0 days 00:02:47.809463,0.8386959324979676
7,Run_16,0 days 00:02:48.074302,0.846687570831882
8,Run_17,0 days 00:02:52.398345,0.843849089547517
9,Run_18,0 days 00:02:49.002214,0.8470968439516081
10,Run_19,0 days 00:02:48.538599,0.8519007973217039
11,Run_2,0 days 00:02:46.531658,0.8440180849061516
12,Run_20,0 days 00:02:50.104505,0.8467260152736564
13,Run_3,0 days 00:02:48.128381,0.8516404964138544
14,Run_4,0 days 00:02:43.479859,0.8437449691843772
15,Run_5,0 days 00:02:50.757806,0.8520281445350826
16,Run_6,0 days 00:02:48.852424,0.8468101124900385
17,Run_7,0 days 00:03:03.626213,0.851383399209486
18,Run_8,0 days 00:03:07.102619,0.8502276631786345
19,Run_9,0 days 00:03:05.190586,0.8532191213042276
20,Average,0 days 00:02:51.429652650,0.8480758957354702
