,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:06:43.977125,0.7254639914016403
1,Run_10,0 days 00:06:43.857697,0.7344459688569309
2,Run_11,0 days 00:06:34.147443,0.7339758006898733
3,Run_12,0 days 00:06:38.738877,0.7300657390006026
4,Run_13,0 days 00:06:49.132743,0.7211754508055674
5,Run_14,0 days 00:06:37.293202,0.7249502191446158
6,Run_15,0 days 00:06:43.212533,0.7396787147577176
7,Run_16,0 days 00:06:47.561488,0.7294791741574488
8,Run_17,0 days 00:06:37.544846,0.7287266251731596
9,Run_18,0 days 00:06:46.762297,0.7344298467631476
10,Run_19,0 days 00:06:58.672662,0.7350823699959738
11,Run_2,0 days 00:06:38.627367,0.737663260466636
12,Run_20,0 days 00:06:55.561720,0.7278451411296607
13,Run_3,0 days 00:06:58.562780,0.726955366333687
14,Run_4,0 days 00:06:48.291063,0.7234126463721605
15,Run_5,0 days 00:06:43.521098,0.7315549275807436
16,Run_6,0 days 00:06:45.187335,0.7220706979575854
17,Run_7,0 days 00:06:44.344480,0.7220562178033569
18,Run_8,0 days 00:06:40.264447,0.7200945008565911
19,Run_9,0 days 00:06:33.854184,0.7271185249949603
20,Average,0 days 00:06:44.455769350,0.728812259212103
