,R_x,f_1,f_2,Generation,Rank
0,0-1-4-3-5-7-14-6*0-1-2-5-7-9-13-12*0-1-3-11-10-12*0-1-2-5-14-6-9-10*11-10-9-6-14-8*2-1-4-3-5-7-9-10*,10.214055448098,190.0,100,0.0
1,0-1-4-3-5-7-14-6*0-1-2-5-7-9-13-12*0-1-3-11-10-12*0-1-2-5-14-6*11-10-9-6-14-8*2-1-4-3-5-7-9-10*,10.228239845261122,178.0,199,0.0
2,4-3-1-0*0-1-2-5-7-9-13-12*12-10-11-3-5-7-14-6*0-1-2-5-14-6-9-10*11-10-9-6-14-8*2-1-4-3-5-7-9-10*,10.24822695035461,176.0,156,0.0
2,0-1-2-5-14-6*2-1-4-3-5-7-9-10*0-1-3-11-10-12-13-9*8-14-6-9-10-11*1-3-5-7-14-6*0-1-2-5-7-9-10-12*,10.272082527401675,173.0,179,0.0
4,3-5-7-14-6*0-1-2-5-7-9-13-12*12-10-11-3-1-0*0-1-2-5-14-6-9-10*11-10-9-6-14-8*2-1-4-3-5-7-9-10*,10.28368794326241,172.0,198,0.0
1,6-14-7-5-3-11-10-9*2-1-4-3-5-7-9-13*0-1-2-5-7-9-10-12*0-1-3-4*13-12-10-9-6-14-8*0-1-2-5-14-6*,10.284977433913603,164.0,145,0.0
1,4-3-5-7-9-13-12*0-1-2-5-7-9-10-12*4-3-1-0*4-1-2-5-7-14-8*1-3-11-10-9-6-14-8*0-1-2-5-14-6*,10.312056737588652,162.0,163,0.0
4,1-3-11-10-9-6-14-8*4-1-2*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*0-1-2-5-14-6*0-1-4-3-5-7-14-6*,10.31270148291425,160.0,168,0.0
2,4-3-5-7-9-13-12*0-1-2-5-7-9-10-12*4-3-1-0*4-1-2-5-7-14-8*3-11-10-9-6-14-8*0-1-2-5-14-6*,10.32495164410058,159.0,200,0.0
9,0-1-2-5-7-9-10-12*10-9-6-14-8*6-14-7-5-3-11-10-9*0-1-2-5-14-6*4-3-5-7-9-13-12-10*0-1-3-4*,10.331399097356543,156.0,133,0.0
8,7-14-6*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12-10*4-1-2-5-14-6*4-3-11-10-9-6-14-8*0-1-3-5-14-6*,10.336557059961317,152.0,179,0.0
10,0-1-2-5-7-9-10-12*10-9-6-14-8*6-14-7-5-3-11-10-9*0-1-2-5-14-6*4-3-5-7-9-13-12*0-1-3-4*,10.34107027724049,151.0,125,0.0
3,0-1-3-4*11-3-5-7-14-6*0-1-2-5-14-6*0-1-2-5-7-9-13-12*4-3-5-7-9-10-12-13*11-10-9-6-14-8*,10.354609929078014,148.0,149,0.0
9,3-11-10-9-6-14-8*4-1-2-5-14-6*7-14-6*0-1-2-5-7-9-10-12*4-3-5-7-9-13-12*0-1-3-5-14-6*,10.36621534493875,143.0,125,0.0
