,R_x,f_1,f_2,Generation,Rank
0,15-62-26-8-28-56-51-34-45-36-38-66-48*48-29-3-66-19-36-45-34-57-35-6-63-21-24*39-48-3-69-23-50-43-17-59-1-49-15-42-24*25-27-67-37-65-5-54-19-22-13-43-61-44-60*32-39-18-54-36-45-58-64-52-8-26-49-11-9*44-60-14-2-50-13-22-45-41-25-4-7-46*29-19-38-22-13-20-10-16-26-49-62*53-40-4-12-25-34-35-51-8-26-1-9-68*2-14-44-60-61-17-50-0-23-69-19-36-41-12-4-7-46*16-1-31-11-9-17-20-33-22-19-54-18-39-48*14-2-50-13-33-58-41-25-4-53-46*51-57-25-27-41-34-35-64-52-20-17-60-61*2-50-43-20-55-16-26-30-24-63-6-35-58-34*46-40-53-47-6-56-8-52-10-59-68*46-40-7-47-6-56-8-55-17-61-44*,24.597403136794775,776.0,199,0.0
0,10-59-9-17-60-61-43-13-22-38-18-37-5-67*46-7-53-47-6-56-28-8-26-1-31*65-39-18-54-36-41-35-6-63-24-62-15*0-2-50-43-20-55-16-26-30-24-21-63-6*62-26-8-52-64-58-45-36-38-54-65-5*49-11-31-9-68-1-26-8-56-51-34-41-27-67-37*48-29-69-23-50-17-59-1-49-15-42-30-62*7-46-53-4-12-41-34-58-33-13-50-2-14-60*32-18-54-36-45-58-64-52-55-10-16-1-11-49-26*0-23-69-38-36-45-41-25-4-7-40-47*46-40-4-25-34-35-64-52-20-17-61-43-33*48-29-3-66-19-36-45-34-57-35-6-21-30*18-5-54-19-38-22-33-20-17-9-68-11-31*60-14-44-61-17-55-8-56-6-47-7-40*42-15-49-26-8-51-41-25-27-67-37-65-32*,24.644839240565474,771.0,198,0.0
1,10-59-9-17-60-61-43-13-22-38-18-5-37-67*46-7-53-47-6-56-28-8-26-1-31*65-39-18-54-36-41-35-6-63-24-62-15*0-2-50-43-20-55-16-26-30-24-21-63-6*62-26-8-52-64-58-45-36-38-54-65-5*49-11-31-9-68-1-26-8-56-51-34-41-27-67-37*48-29-69-23-50-17-59-1-49-15-42-30-62*7-46-53-4-12-41-34-58-33-13-50-2-14-60*32-18-54-36-45-58-64-52-55-10-16-1-11-49-26*0-23-69-38-36-45-41-25-4-7-40-47*46-40-4-25-34-35-64-52-20-17-61-43-33*48-29-3-66-19-36-45-34-57-35-6-21-30*18-5-54-19-38-22-33-20-17-9-68-11-31*60-14-44-61-17-55-8-56-6-47-7-40*42-15-49-26-8-51-41-25-27-67-37-65-32*,24.66196130144276,770.0,197,0.0
2,10-59-9-17-60-61-43-13-22-38-18-5-37-67*46-7-53-47-6-56-28-8-26-1-31*65-39-18-54-36-41-35-6-63-24-62-15*0-2-50-43-20-55-10-16-26-30-24-21-63-6*62-26-8-52-64-58-45-36-38-54-65-5*49-11-9-68-1-26-8-56-51-34-41-27-67-37*48-29-69-23-50-17-59-1-49-15-42-30-62*53-46-7-4-12-41-34-58-33-13-50-2-14-60*32-18-54-36-45-58-64-52-55-10-16-1-31-11-49-26*0-23-69-38-36-45-41-25-4-7-40-47*46-40-4-25-34-35-64-52-20-17-61-43-33*48-29-3-66-19-36-45-34-57-35-6-21-30*18-5-54-19-38-22-33-20-17-9-68-11-31*60-14-44-61-17-55-8-56-6-47-7-40*42-15-49-26-8-51-41-25-27-67-37-65-32*,24.69175098771137,768.0,197,0.0
3,59-9-17-60-61-43-13-22-38-18-5-37-67*46-7-53-47-6-56-28-8-26-1-11-31*65-39-18-54-36-41-51-8-26-49-15-42*0-2-50-43-20-55-10-16-26-30-24-21-63-6*62-26-8-52-64-58-45-36-38-54-65-5*49-11-31-9-68-1-26-8-56-51-34-41-27-67-37*48-29-69-23-50-43-17-59-1-49-15-42-30-62-21*46-7-4-12-41-34-58-33-13-50-2-14-60*32-18-54-36-45-58-64-52-55-10-16-1-49-26*0-23-69-38-22-45-41-25-4-7-40-47*46-40-4-25-34-35-64-52-20-17-61-43-33*48-29-3-66-19-36-45-34-57-35-6-21-30*18-5-54-19-38-22-33-20-17-9-68-11-31*60-14-44-61-17-55-8-56-6-47-7-40*32-65-37-67-27-25-41-35-6-63-24-62-15*,24.71287581054632,766.0,192,0.0
4,59-9-17-60-61-43-13-22-38-18-5-37-67*46-7-53-47-6-56-28-8-26-1-11-31*65-39-18-54-36-41-51-8-26-49-15-42*0-2-50-43-20-55-10-16-26-30-24-21-63-6*62-26-8-52-64-58-45-36-38-54-65-5*49-11-31-9-68-1-26-8-56-51-34-41-27-67-37*48-29-69-23-50-43-17-59-1-49-15-42-30-62-21*46-7-4-12-41-34-58-33-13-50-2-14-60*32-18-54-36-45-58-64-52-55-10-16-1-49-26*0-23-69-38-36-45-41-25-4-7-40-47*46-40-4-25-34-35-64-52-20-17-61-43-33*48-29-3-66-19-36-45-34-57-35-6-21-30*18-5-54-19-38-22-33-20-17-9-68-11-31*60-14-44-61-17-55-8-56-6-47-7-40*32-65-37-67-27-25-41-35-6-63-24-62-15*,24.72412092390599,763.0,189,0.0
5,59-9-17-60-61-43-13-22-38-18-5-37-67*46-7-53-47-6-56-28-8-26-1-11-31*65-39-18-54-36-41-51-8-26-49-15-42*0-2-50-43-20-55-10-16-26-30-24-21-63-6*62-26-8-52-64-58-45-36-38-54-65-5*49-11-31-9-68-1-26-8-56-51-34-41-27-67-37*48-29-69-23-50-43-17-59-1-49-15-42-30-62*46-7-4-12-41-34-58-33-13-50-2-14-60*32-18-54-36-45-58-64-52-55-10-16-1-49-26*0-23-69-38-36-45-41-25-4-7-40-47*46-40-4-25-34-35-64-52-20-17-61-43-33*48-29-3-66-19-36-45-34-57-35-6-21-30*18-5-54-19-38-22-33-20-17-9-68-11-31*60-14-44-61-17-55-8-56-6-47-7-40*32-65-37-67-27-25-41-35-6-63-24-62-15*,24.729354106854537,757.0,187,0.0
6,59-9-17-60-61-43-13-22-38-18-5-37-67*46-7-53-47-6-56-28-8-26-1-11-31*65-39-18-54-36-41-51-8-26-49-15-42*0-2-50-43-20-55-10-16-26-30-24-21-63-6*62-26-8-52-64-58-45-36-38-54-65-5*49-11-31-9-68-1-26-8-56-51-34-41-27-67-37*48-29-69-23-50-43-17-59-1-49-15-42-30-62-21*46-7-4-12-41-34-58-33-13-50-2-14*32-18-54-36-45-58-64-52-55-10-16-1-49-26*0-23-69-38-36-45-41-25-4-7-40-47*46-40-4-25-34-35-64-52-20-17-61-43-33*48-29-3-66-19-36-45-34-57-35-6-21-30*18-5-54-19-38-22-33-20-17-9-68-11-31*60-14-44-61-17-55-8-56-6-47-7-40*32-65-37-67-27-25-41-35-6-63-24-62-15*,24.73040801175389,756.0,198,0.0
7,59-9-17-60-61-43-13-22-38-18-5-37-67*46-7-53-47-6-56-28-8-26-1-11-31*65-39-18-54-36-41-51-8-26-49-15-42*0-2-50-43-20-55-10-16-26-30-24-21-63-6*62-26-8-52-64-58-45-36-38-54-5-65*49-11-31-9-68-1-26-8-56-51-34-41-27-67-37*48-29-69-23-50-43-17-59-1-49-15-42-30-62*46-7-4-12-41-34-58-33-13-50-2-14-60*32-18-54-36-45-58-64-52-55-10-16-1-49-26*0-23-69-38-36-45-41-25-4-7-40-47*46-40-4-25-34-35-64-52-20-17-61-43-33*48-29-3-66-19-36-45-34-57-35-6-21-30*5-54-19-38-22-33-20-17-9-68-11-31*60-14-44-61-17-55-8-56-6-47-7-40*32-65-37-67-27-25-41-35-6-63-24-62-15*,24.74096782734649,752.0,194,0.0
8,59-9-17-60-61-43-13-22-38-18-5-37-67*46-7-53-47-6-56-28-8-26-1-11-31*65-39-18-54-36-41-51-8-26-49-42*0-2-50-43-20-55-10-16-26-30-24-21-63-6*62-26-8-52-64-58-45-36-38-54-65-5*49-11-31-9-68-1-26-8-56-51-34-41-27-67-37*48-29-69-23-50-43-17-59-1-49-15-42-30-62*46-7-4-12-41-34-58-33-13-50-2-14-60*32-18-54-36-45-58-64-52-55-10-16-1-49-26*0-23-69-38-36-45-41-25-4-7-40-47*46-40-4-25-34-35-64-52-20-17-61-43-33*48-29-3-66-19-36-45-34-57-35-6-21*18-5-54-19-38-22-33-20-17-9-68-11-31*60-14-44-61-17-55-8-56-6-47-7-40*32-65-37-67-27-25-41-35-6-63-24-62-15*,24.78281771598561,751.0,199,0.0
9,59-9-17-60-61-43-13-22-38-18-5-37-67*40-46-7-53-47-6-56-28-8-26-1-11-31*65-39-18-54-36-41-35-6-63-24-62-15*0-2-50-43-20-55-10-16-26-30-24-21-63-6*62-26-8-52-64-58-45-36-38-54-65-5*11-31-9-68-1-26-8-56-51-34-41-27-67-37*48-29-69-23-50-43-17-59-1-49-15-42-30-62*46-7-4-12-41-34-58-33-13-50-2-14-60*32-18-54-36-45-58-64-52-55-10-16-1-49-26*0-23-69-38-36-45-41-25-4-7-40-47*46-40-4-25-34-35-64-52-20-17-61-43*48-29-3-66-19-36-45-34-57-35-6-21-30*18-5-54-19-38-22-33-20-17-9-68-11-31*60-14-44-61-17-55-8-56-6-47-7-40*42-15-49-26-8-51-41-25-27-67-37-65-32*,24.78415716162125,748.0,195,0.0
10,59-9-17-60-61-43-13-22-38-18-5-37-67*46-7-53-47-6-56-28-8-26-1-11-31*65-39-18-54-36-41-35-6-63-24-62-15*0-2-50-43-20-55-10-16-26-30-24-21-63-6*62-26-8-52-64-58-45-36-38-54-65-5*11-31-9-68-1-26-8-56-51-34-41-27-67-37*48-29-69-23-50-43-17-59-1-49-15-42-30-62*46-7-4-12-41-34-58-33-13-50-2-14-60*32-18-54-36-45-58-64-52-55-10-16-1-49-26*0-23-69-38-36-45-41-25-4-7-40-47*46-40-4-25-34-35-64-52-20-17-61-43*48-29-3-66-19-36-45-34-57-35-6-21-30*18-5-54-19-38-22-33-20-17-9-68-11-31*60-14-44-61-17-55-8-56-6-47-7-40*42-15-49-26-8-51-41-25-27-67-37-65-32*,24.78431291111377,746.0,191,0.0
11,59-9-17-60-61-43-13-22-38-18-5-37-67*40-46-7-53-47-6-56-28-8-26-1-11-31*65-39-18-54-36-41-35-6-63-24-62-15*0-2-50-43-20-55-10-16-26-30-24-21-63-6*62-26-8-52-64-58-45-36-54-65-5*11-31-9-68-1-26-8-56-51-34-41-27-67-37*48-29-69-23-50-43-17-59-1-49-15-42-30-62*46-7-4-12-41-34-58-33-13-50-2-14-60*32-18-54-36-45-58-64-52-55-10-16-1-49-26*0-23-69-38-36-45-41-25-4-7-40-47*46-40-4-25-34-35-64-52-20-17-61-43*48-29-3-66-19-36-45-34-57-35-6-21-30*18-5-54-19-38-22-33-20-17-9-68-11-31*60-14-44-61-17-55-8-56-6-47-7*42-15-49-26-8-51-41-25-27-67-37-65-32*,24.83222145501176,743.0,199,0.0
12,10-59-17-44-61-43-13-33-22-38-54-5-37-67-65-39*40-46-7-53-47-6-56-28-8-26-1-11-31*39-18-54-36-41-35-6-63-30-62*0-2-50-43-20-55-10-16-26-30-24-21-63*62-26-8-51-64-58-45-36-54-5-65*11-9-68-1-26-8-51-34-41-27-67*39-48-29-69-23-50-43-17-55-8-56-6-47-7-40-46*7-4-12-41-58-33-50-2-14-60*32-54-36-45-58-64-52-55-16-26-49-42*0-23-69-38-36-45-41-25-4-7-40-53*40-4-12-25-57-35-64-52-20-17-60-61-43-13*48-29-3-66-19-36-45-34-57-35-6-63-21-62-15-49*5-18-19-38-22-33-20-17-9-68-11-31-1*14-44-61-17-59-1-49-15-42-62*42-15-49-26-8-56-51-41-25-27-67-37-18*,24.89132838742167,738.0,193,0.0
13,10-59-17-44-61-43-13-33-22-38-54-5-37-67-65-39*40-46-7-53-47-6-56-28-8-26-1-11-31*39-18-54-36-41-35-6-63-30-62*0-2-50-43-20-55-10-16-26-30-24-21-63*62-26-8-51-64-58-45-36-54-5-65*11-9-68-1-26-8-51-34-41-27-67*39-48-29-69-23-50-43-17-55-8-56-6-47-7-40*7-4-12-41-58-33-50-2-14-60*32-54-36-45-58-64-52-55-16-26-49-42*0-23-69-38-36-45-41-25-4-7-40-53*40-4-12-25-57-35-64-52-20-17-60-61-43-13*48-29-3-66-19-36-45-34-57-35-6-63-21-62-15-49*5-18-19-38-22-33-20-17-9-68-11-31-1*14-44-61-17-59-1-49-15-42-62*42-15-49-26-8-56-51-41-25-27-67-37-18*,24.91174714589055,736.0,192,0.0
14,10-59-17-44-61-43-13-33-22-38-54-5-37-67-65*40-46-7-53-47-6-56-28-8-26-1-11-31*39-18-54-36-41-35-6-63-30-62*0-2-50-43-20-55-10-16-26-30-24-21-63*62-26-8-51-64-58-45-36-54-5-65*11-9-68-1-26-8-51-34-41-27-67*39-48-29-69-23-50-43-17-55-8-56-6-47-7-40-46*7-4-12-41-58-33-50-2-14-60*32-54-36-45-58-64-52-55-16-26-49-42*0-23-69-38-36-45-41-25-4-7-40-53*40-4-12-25-57-35-64-52-20-17-60-61-43-13*48-29-3-66-19-36-45-34-57-35-6-63-21-62-15-49*5-18-19-38-22-33-20-17-9-68-11-31-1*14-44-61-17-59-1-49-15-42-62*42-15-49-26-8-56-51-41-25-27-67-37-18*,24.92749861123369,732.0,194,0.0
