,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:06:56.908732,0.7147525980532472
1,Run_10,0 days 00:07:15.963792,0.7169826464368778
2,Run_11,0 days 00:07:17.958461,0.7116600215986897
3,Run_12,0 days 00:07:00.151414,0.7177054486493657
4,Run_13,0 days 00:07:05.518078,0.7126972092947803
5,Run_14,0 days 00:07:19.457880,0.7217911860315356
6,Run_15,0 days 00:07:13.879705,0.7219981976136254
7,Run_16,0 days 00:07:38.480904,0.7104750591402954
8,Run_17,0 days 00:06:51.325765,0.7138313558186297
9,Run_18,0 days 00:06:48.533149,0.7221551391465677
10,Run_19,0 days 00:07:02.105950,0.711673751415078
11,Run_2,0 days 00:06:45.117069,0.7238696841835669
12,Run_20,0 days 00:07:46.005896,0.7196732778896678
13,Run_3,0 days 00:07:13.605113,0.7152491022183708
14,Run_4,0 days 00:07:19.595376,0.7114933135307961
15,Run_5,0 days 00:07:14.643200,0.7184740350298291
16,Run_6,0 days 00:07:16.014355,0.715972434878729
17,Run_7,0 days 00:06:59.787961,0.7257787276163223
18,Run_8,0 days 00:07:08.910247,0.7195186796572473
19,Run_9,0 days 00:06:58.411030,0.7160513974377699
20,Average,0 days 00:07:09.618703850,0.7170901632820496
