,Run_number,Duration,HV Obtained
0,Run_1,0 days 00:02:02.742179,0.8529780426172657
1,Run_10,0 days 00:01:52.812950,0.8540761119854552
2,Run_11,0 days 00:02:42.328667,0.852362130623
3,Run_12,0 days 00:02:24.801078,0.8505944872272349
4,Run_13,0 days 00:02:40.857362,0.8537229036766503
5,Run_14,0 days 00:03:17.197770,0.8455078070249207
6,Run_15,0 days 00:02:36.006806,0.8491984734352913
7,Run_16,0 days 00:03:09.225690,0.8452170709339999
8,Run_17,0 days 00:02:58.864821,0.8448991033634882
9,Run_18,0 days 00:02:35.771332,0.8517774547376766
10,Run_19,0 days 00:03:08.311446,0.8505880798202723
11,Run_2,0 days 00:02:25.719595,0.848274204980958
12,Run_20,0 days 00:03:43.212197,0.8511094825618415
13,Run_3,0 days 00:02:03.502069,0.8542234823455914
14,Run_4,0 days 00:12:28.396274,0.852869116698904
15,Run_5,0 days 00:02:12.343024,0.8523845565473688
16,Run_6,0 days 00:02:46.843402,0.8505336168610913
17,Run_7,0 days 00:04:21.354384,0.8497967650604099
18,Run_8,0 days 00:04:19.929709,0.8536315981274353
19,Run_9,0 days 00:02:24.590547,0.8491127743671686
20,Average,0 days 00:03:18.740565100,0.8506428631498011
