,R_x,f_1,f_2,Generation,Rank
0,46-40-7-4-25-57-51-64-52-20-17-60-44-61-43-13-33-58-35-6-56-28-8-55-16-9*10-55-52-64-35-41-45-36-54-18-67-27-25-34-51-8-26-1-31-11-68-9-17-43-50-23-3-69-48-39*2-0-50-33-58-34-25-12-4-40-7-53-47-6-35-51-64-52-10-59-68-9-1-49-26-30-15-62-21-24*33-58-45-36-19-38-66-69-23-50-43-17-55-8-56-6-47-40-46*10-16-26-1-59-17-9-68-11-15-62-24-63-6-35-58-45-36-38-19-66-3-0-2-50-23-69-29-48*67-27-25-57-58-34-51-64-52-55-8-26-49-9-17-61-60-14-2-50-13-22-45-41-12-4-7-46-40*49-62-24-21-6-47-53-46-40-7-4-25-34-58-33-43-61-60-14-44-17-50-2-0-69-48-3-66-54-5*18-5-37-67-65-19-22-36-38-66-3-29-69-23-50-43-20-55-16-1-49-62-26-8-28-56-51-35-6-47*32-39-48-29-69-19-36-41-25-4-40-46-7-53-47-6-63-30-26-16-10-17-43-13-33-58-51-64-52-20*43-17-10-28-56-6-63-30-26-16-55-52-64-58-45-36-38-54-32-39-48-3-69-19-66-18-37-65*44-14-2-23-3-66-19-65-67-37-5-32-18-54-36-45-58-64-52-8-26-49-15-42-62-24-21-63*60-44-17-59-68-9-31-11-49-15-42-30-24-63-6-35-57-34-45-36-54-5-65-32-37-67-27-41-51-56*24-21-63-6-47-7-46-40-53-4-12-27-67-5-54-19-38-22-33-20-17-59-9-11-49-26-62-30-42*22-45-58-51-41-36-38-3-29-69-23-0-2-50-43-20-55-10-16-26-49-15-42-24-63-21-6-35-34-25*14-44-61-17-59-10-55-8-56-6-47-7-40-53-4-25-34-35-57-41-36-54-18-39-48-3-38-19-66-69*,23.04346449171153,1774.0,200,0.0
1,46-40-7-4-25-57-51-64-52-20-17-60-44-61-43-13-33-58-35-6-56-28-8-55-16-9*10-55-52-64-35-41-45-36-54-18-67-27-25-34-51-8-26-1-31-11-68-9-17-43-50-23-3-69-48-39*2-0-50-33-58-34-25-12-4-40-7-53-47-6-35-51-64-52-10-59-68-9-1-49-26-30-15-62-21-24*33-58-45-36-19-38-66-69-23-50-43-17-55-8-56-6-47-40-46*10-16-26-1-59-17-9-68-11-15-62-24-63-6-35-58-45-36-38-19-66-3-0-2-50-23-69-29-48*67-27-25-57-58-34-51-64-52-55-8-26-49-9-17-61-60-14-2-50-13-22-45-41-12-4-7-46-40*49-62-24-21-6-47-53-46-40-7-4-25-34-58-33-43-61-60-14-44-17-50-2-0-69-48-3-66-54-5*18-5-37-67-65-19-22-36-38-66-3-29-69-23-50-43-20-55-16-1-49-62-26-8-28-56-51-35-6-47*48-29-69-19-36-41-25-4-40-46-7-53-47-6-63-30-26-16-10-17-43-13-33-58-51-64-52-20*43-17-10-28-56-6-63-30-26-16-55-52-64-58-45-36-38-54-32-39-48-3-69-19-66-18-37-65*44-14-2-23-3-66-69-19-65-67-37-5-32-18-54-36-45-58-64-52-8-26-49-15-42-62-24-21-63*60-44-17-59-68-9-31-11-49-15-42-30-24-63-6-35-57-34-45-36-54-5-65-32-37-67-27-41-51-56*24-21-63-6-47-7-46-40-53-4-12-27-67-5-54-19-38-22-33-20-17-59-9-11-49-26-62-30-42-15*22-45-58-51-41-36-38-3-29-69-23-0-2-50-43-20-55-10-16-26-49-15-42-24-63-21-6-35-34-25*14-44-61-17-59-10-55-8-56-6-47-7-40-53-4-25-34-35-57-41-36-54-18-39-48-3-38-19-66*,23.070289745972577,1773.0,194,0.0
2,53-46-40-7-4-25-57-51-64-52-20-17-60-44-61-43-13-33-58-35-6-56-28-8-55-16-9*10-55-52-64-35-41-45-36-54-18-67-27-25-34-51-8-26-1-31-11-68-9-17-43-50-23-3-69-48-39*2-0-50-33-58-34-25-12-4-40-7-53-47-6-35-51-64-52-10-59-68-9-1-49-26-30-15-62-21-24*58-45-36-19-38-66-69-23-50-43-17-55-8-56-6-47-40-46*10-16-26-1-59-17-9-68-11-15-62-24-63-6-35-58-45-36-38-19-66-3-0-2-50-23-69-29-48*67-27-25-57-58-34-51-64-52-55-8-26-49-9-17-61-60-14-2-50-13-22-45-41-12-4-7-46-40*49-62-24-21-6-47-53-46-40-7-4-25-34-58-33-43-61-60-14-44-17-50-2-0-69-48-3-66-54-5*18-5-37-67-65-19-22-36-38-66-3-29-69-23-50-43-20-55-16-1-49-62-26-8-28-56-51-35-6-47*48-29-69-19-36-41-25-4-40-46-7-53-47-6-63-30-26-16-10-17-43-13-33-58-51-64-52*43-17-10-28-56-6-63-30-26-16-55-52-64-58-45-36-38-54-32-39-48-3-69-19-66-18-37-65*44-14-2-23-3-66-69-19-65-67-37-5-32-18-54-36-45-58-64-52-8-26-49-15-42-62-24-21-63*60-44-17-59-68-9-31-11-49-15-42-30-24-63-6-35-57-34-45-36-54-5-65-32-37-67-27-41-51-56*24-21-63-6-47-7-46-40-53-4-12-27-67-5-54-19-38-22-33-20-17-59-9-11-49-26-62-30-42-15*22-45-58-51-41-36-38-3-29-69-23-0-2-50-43-20-55-10-16-26-49-15-42-24-63-21-6-35-34-25*14-44-61-17-59-10-55-8-56-6-47-7-40-53-4-25-34-35-57-41-36-54-18-39-48-3-38-19-66-69*,23.071146368181417,1772.0,179,0.0
0,65-39-32-37-67-5-18-54-19-69-0-2-50-43-20-55-10-16-26-30-63-6-35-57-51-8-28-56*15-49-1-59-9-16-10-17-20-13-50-23-69-38-36-41-25-4-7-40-46*1-9-17-60-61-43-33-58-41-27-67-18-37-65-5-54-36-45-34-51-8-26-49-15-42-30*19-22-45-36-41-58-64-52-55-10-59-68-9-11-31-1-16-26-8-56-6-47-7-46-40-53-4-25-12-27*60-14-44-61-17-55-8-28-56-6-47-40-7-4-12-25-34-35-57-51-41-27-67-37-65-54-66-19-29-23*56-8-26-30-21-24-63-6-35-34-45-36-38-19-66-48-29-69-23-50-17-43-13-33-58-51-57-41-27*68-1-49-42-62-24-63-6-47-40-4-12-27-41-34-58-64-52-20-17-61-60-44-14-2-50-0-3-29*0-2-23-69-48-39-18-54-36-45-58-64-52-55-10-16-1-11-31-9-17-43-50-13-22-38-66-19*32-18-54-36-45-41-35-6-63-24-42-15-49-11-9-1*29-48-3-38-36-45-34-51-8-26-1-68-9-16-10-55-52-64-35-57-25-4-53*59-10-52-8-28-56-51-57-34-58-33-43-17-44-14-2-50-13-22-45-41-12-4-40-46-7-53-47-6*40-12-27-67-5-37-65-54-32-39-48-29-3-66-19-38-36-45-58-64-52-55-16-26-49-15-62-24-63-30*11-31-9-17-50-23-3-29-69-66-19-18-54-38-22-33-20-10-16-26-49-15-42-24-63-21-30-62*52-55-10-8-56-51-58-33-50-2-14-44-61-17-59-1-26-62-24-30-15-11-9-68*60-61-43-50-0-69-29-48-39-18-54-38-22-33-20-17-9-68-11-31-1-16-26-30-42*,23.074411915874503,1629.0,199,0.0
1,65-39-32-37-67-5-18-54-19-69-0-2-50-43-20-55-10-16-26-30-63-6-35-57-51-8-28-56*15-49-1-59-9-16-10-17-20-13-50-23-69-38-36-41-25-4-7-40-46*1-9-17-60-61-43-33-58-41-27-67-18-37-65-5-54-36-45-34-51-8-26-49-15-42-30*19-22-45-36-41-58-64-52-55-10-59-68-9-11-31-1-16-26-8-56-6-47-7-46-40-53-4-25-12-27*60-14-44-61-17-55-8-28-56-6-47-40-7-4-12-25-34-35-57-51-41-27-67-37-65-54-66-19-29-23*56-8-26-30-21-24-63-6-35-34-45-36-38-19-66-48-29-69-23-50-17-43-13-33-58-51-57-41-27*68-1-49-42-62-24-63-6-47-40-4-12-27-41-34-58-64-52-20-17-61-60-44-14-2-50-0-3-29*0-2-23-69-48-39-18-54-36-45-58-64-52-55-10-16-1-11-31-9-17-43-50-13-22-38-66-19*32-18-54-36-45-41-35-6-63-24-42-15-49-11-9-1*48-3-38-36-45-34-51-8-26-1-68-9-16-10-55-52-64-35-57-25-4-53*59-10-52-8-28-56-51-57-34-58-33-43-17-44-14-2-50-13-22-45-41-12-4-40-46-7-53-47-6*40-12-27-67-5-37-65-54-32-39-48-29-3-66-19-38-36-45-58-64-52-55-16-26-49-15-62-24-63-30*11-31-9-17-50-23-3-29-69-66-19-18-54-38-22-33-20-10-16-26-49-15-42-24-63-21-30-62*52-55-10-8-56-51-58-33-50-2-14-44-61-17-59-1-26-62-24-30-15-11-9-68*60-61-43-50-0-69-29-48-39-18-54-38-22-33-20-17-9-68-11-31-1-16-26-30-42*,23.07499857229632,1626.0,190,0.0
2,39-32-37-67-5-18-54-19-69-0-2-50-43-20-55-10-16-26-30-63-6-35-57-51-8-28-56*15-49-1-59-9-16-10-17-20-13-50-23-69-38-36-41-25-4-7-40-46*1-9-17-60-61-43-33-58-41-27-67-18-37-65-5-54-36-45-34-51-8-26-49-15-42-30*19-22-45-36-41-58-64-52-55-10-59-68-9-11-31-1-16-26-8-56-6-47-7-46-40-53-4-25-12-27*60-14-44-61-17-55-8-28-56-6-47-40-7-4-12-25-34-35-57-51-41-27-67-37-65-54-66-19-29-23*56-8-26-30-21-24-63-6-35-34-45-36-38-19-66-48-29-69-23-50-17-43-13-33-58-51-57-41-27*68-1-49-42-62-24-63-6-47-40-4-12-27-41-34-58-64-52-20-17-61-60-44-14-2-50-0-3-29*0-2-23-69-48-39-18-54-36-45-58-64-52-55-10-16-1-11-31-9-17-43-50-13-22-38-66-19*32-18-54-36-45-41-35-6-63-24-42-15-49-11-9-1*48-3-38-36-45-34-51-8-26-1-68-9-16-10-55-52-64-35-57-25-4-53*59-10-52-8-28-56-51-57-34-58-33-43-17-44-14-2-50-13-22-45-41-12-4-40-46-7-53-47-6*40-12-27-67-5-37-65-54-32-39-48-29-3-66-19-38-36-45-58-64-52-55-16-26-49-15-62-24-63-30*11-31-9-17-50-23-3-29-69-66-19-18-54-38-22-33-20-10-16-26-49-15-42-24-63-21-30-62*52-55-10-8-56-51-58-33-50-2-14-44-61-17-59-1-26-62-24-30-15-11-9-68*60-61-43-50-0-69-29-48-39-18-54-38-22-33-20-17-9-68-11-31-1-16-26-30-42*,23.081000119407943,1620.0,198,0.0
0,17-10-59-11-31-9-68-1-26-8-51-41-27-67-37*34-35-57-41-36-19-29-23-2-0-50-43-20-55-10-16-26-49-62-30-21-6-47-40-7*9-68-59-10-52-64-58-45-36-54-18-39-32*32-54-38-66-19-29-23-50-2-14-44-61-17-10-8-56-6-47-53-4-12-25-41-45-22-13-43*8-52-55-16-1-31-11-9-17-20-33-22-19-54-5-18-39-48-29-23-69-38-36-41-25-4-53-47*48-66-69-29-23-50-13-20-52-10-59-1-11-15-49-42-62-26-8-51-35-34-41-27-67-65-18*2-50-13-33-22-45-41-12-40-53-47-6-56-8-28-10-16-1-31*42-15-49-26-8-51-34-45-36-19-69-48-3*52-10-20-55-8-26-30-24-21-63-6-35-34-41-36-54-5-65-37-67-27-25-12-4-7-46-53-47*26-16-1-68-9-11-15-42-62-24-63-6-35-57-34-45-36-54-5-65-67-27-41-51-64-52-20-33-58*16-55-20-33-22-38-18-65-37-32-39-48-29-69-23-50-43-17-59-9-68-11-49-1-26-30-21-63-6-47*20-17-43-13-33-58-51-64-52-55-10-16-26-30-63-6-47-53-46-40-4-25-41-36-38-19-69-0-2*46-40-53-7-4-25-57-51-64-52-20-17-60-44-14-2-23-3-69-66-18-54-5-67-37-65-32-39-48-29*25-57-35-51-56-28-10-55-20-17-44-60-61-43-13-22-19-54-5-37-67-27-12-41-34-58-33-50-23*32-5-37-18-66-3-23-50-43-17-10-16-26-30-24-21-63-6-35-58-64-51-57-34-45-22-36-38-19-65*,23.083850335120992,1541.0,199,0.0
1,17-10-59-11-31-9-68-1-26-8-51-41-27-67-37*34-35-57-41-36-19-29-23-2-0-50-43-20-55-10-16-26-49-62-30-21-6-47-40-7*9-68-59-10-52-64-58-45-36-54-18-39-32*32-54-38-66-19-29-23-50-2-14-44-61-17-10-8-56-6-47-53-4-12-25-41-45-22-13-43*8-52-55-16-1-31-11-9-17-20-33-22-19-54-5-18-39-48-29-23-69-38-36-41-25-4-53-47*48-66-69-29-23-50-13-20-52-10-59-1-11-15-49-42-62-26-8-51-35-34-41-27-67-65*2-50-13-33-22-45-41-12-40-53-47-6-56-8-28-10-16-1-31*42-15-49-26-8-51-34-45-36-19-69-48-3*52-10-20-55-8-26-30-24-21-63-6-35-34-41-36-54-5-65-37-67-27-25-12-4-7-46-53-47*26-16-1-68-9-11-15-42-62-24-63-6-35-57-34-45-36-54-5-65-67-27-41-51-64-52-20-33-58*16-55-20-33-22-38-18-65-37-32-39-48-29-69-23-50-43-17-59-9-68-11-49-1-26-30-21-63-6-47*20-17-43-13-33-58-51-64-52-55-10-16-26-30-63-6-47-53-46-40-4-25-41-36-38-19-69-0-2*46-40-53-7-4-25-57-51-64-52-20-17-60-44-14-2-23-3-69-66-18-54-5-67-37-65-32-39-48-29*25-57-35-51-56-28-10-55-20-17-44-60-61-43-13-22-19-54-5-37-67-27-12-41-34-58-33-50-23*32-5-37-18-66-3-23-50-43-17-10-16-26-30-24-21-63-6-35-58-64-51-57-34-45-22-36-38-19-65*,23.084379883395545,1537.0,197,0.0
6,65-39-32-37-67-5-18-54-19-69-0-2-50-43-20-55-10-16-26-30-63-6-35-57-51-8-28*62-42-15-49-1-59-9-16-10-17-20-13-50-23-69-38-36-41-25-4-7-40*60-61-43-33-58-41-27-67-18-37-65-5-54-36-45-34-51-8-26-49-15-42-30-24-21-63-6-47*19-22-45-36-41-58-64-52-55-10-59-68-9-11-31-1-26-8-56-6-47-7-46-40-53-4-25-12*60-14-44-61-17-55-8-28-56-6-47-40-7-4-12-25-34-35-57-51-41-27-67-37-65-54-19-66-29-23*56-8-26-30-21-24-63-6-35-34-45-36-19-66-48-29-69-23-50-17-43-13-33-58-51-57-41-27*63-6-47-40-4-12-41-34-58-64-52-20-17-61-60-44-14*69-48-39-18-54-36-45-58-64-52-55-10-16-1-11*32-18-54-36-41-35-6-63-24-42-15-11-9-1*48-3-38-36-45-34-51-8-26-1-68-9-16-10-20-52-64-35-57-25-4-53-46*59-10-52-8-28-56-51-57-34-58-33-43-17-44-14-2-50-13-22-45-41-12-4-40-46-7-53-47-6-35*40-12-27-67-5-37-65-54-32-39-48-29-3-66-19-38-36-45-58-64-52-55-16-26-49-15-62-24-63-30*11-31-9-17-50-23-3-29-69-66-19-18-54-38-22-33-20-55-16-26-49-15-42-24-63-21*64-52-55-10-8-56-51-35-58-33-50-2-14-44-61-17-59-1-26-62-24-30-15*60-61-43-50-0-69-29-48-39-18-54-38-22-33-20-17-9-68-11-31-1-16-26-30-62*,23.0959105374915,1496.0,200,0.0
7,65-39-32-37-67-5-18-54-19-69-0-2-50-43-20-55-10-16-26-30-63-6-35-57-51-8-28*62-42-15-49-1-59-9-16-10-17-20-13-50-23-69-38-36-41-25-4-7-40*60-61-43-33-58-41-27-67-18-37-65-5-54-36-45-34-51-8-26-49-15-42-30-24-21-63-6-47*19-22-45-36-41-58-64-52-55-10-59-68-9-11-31-1-26-8-56-6-47-7-46-40-53-4-25-12*60-14-44-61-17-55-8-28-56-6-47-40-7-4-12-25-34-35-57-51-41-27-67-37-65-54-19-66-29-23*56-8-26-30-21-24-63-6-35-34-45-36-19-66-48-29-69-23-50-17-43-13-33-58-51-57-41-27*63-6-47-40-4-12-41-34-58-64-52-20-17-61-60-44-14*69-48-39-18-54-36-45-58-64-52-55-10-16-1*32-18-54-36-41-35-6-63-24-42-15-11-9-1*48-3-38-36-45-34-51-8-26-1-68-9-16-10-20-52-64-35-57-25-4-53-46*59-10-52-8-28-56-51-57-34-58-33-43-17-44-14-2-50-13-22-45-41-12-4-40-46-7-53-47-6-35*40-12-27-67-5-37-65-54-32-39-48-29-3-66-19-38-36-45-58-64-52-55-16-26-49-15-62-24-63-30*68-11-31-9-17-50-23-3-29-69-66-19-18-54-38-22-33-20-55-10-16-26-49-15-42-24-63-21*64-52-55-10-8-56-51-35-58-33-50-2-14-44-61-17-59-1-26-62-24-30-15*60-61-43-50-0-69-29-48-39-18-54-38-22-33-20-17-9-68-11-31-1-16-26-30-62*,23.1203580161668,1495.0,196,0.0
